# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

006F          ; allowed ; recommended #      (o)  LATIN SMALL LETTER O
0070          ; allowed ; recommended #      (p)  LATIN SMALL LETTER P
0071          ; allowed ; recommended #      (q)  LATIN SMALL LETTER Q
0072          ; allowed ; recommended #      (r)  LATIN SMALL LETTER R
0073          ; allowed ; recommended #      (s)  LATIN SMALL LETTER S
0074          ; allowed ; recommended #      (t)  LATIN SMALL LETTER T
0075          ; allowed ; recommended #      (u)  LATIN SMALL LETTER U
0076          ; allowed ; recommended #      (v)  LATIN SMALL LETTER V
0077          ; allowed ; recommended #      (w)  LATIN SMALL LETTER W
0078          ; allowed ; recommended #      (x)  LATIN SMALL LETTER X
0079          ; allowed ; recommended #      (y)  LATIN SMALL LETTER Y
007A          ; allowed ; recommended #      (z)  LATIN SMALL LETTER Z
00C0..00D6    ; allowed ; recommended # [23] (À..Ö)  LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8..00DE    ; allowed ; recommended #  [7] (Ø..Þ)  LATIN CAPITAL LETTER O WITH STROKE..LATIN CAPITAL LETTER THORN
00DF          ; allowed ; recommended #      (ß)  LATIN SMALL LETTER SHARP S
00E0          ; allowed ; recommended #      (à)  LATIN SMALL LETTER A WITH GRAVE
00E1          ; allowed ; recommended #      (á)  LATIN SMALL LETTER A WITH ACUTE
00E2          ; allowed ; recommended #      (â)  LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3          ; allowed ; recommended #      (ã)  LATIN SMALL LETTER A WITH TILDE
00E4          ; allowed ; recommended #      (ä)  LATIN SMALL LETTER A WITH DIAERESIS
00E5          ; allowed ; recommended #      (å)  LATIN SMALL LETTER A WITH RING ABOVE
00E6          ; allowed ; recommended #      (æ)  LATIN SMALL LETTER AE
00E7          ; allowed ; recommended #      (ç)  LATIN SMALL LETTER C WITH CEDILLA
00E8          ; allowed ; recommended #      (è)  LATIN SMALL LETTER E WITH GRAVE
00E9          ; allowed ; recommended #      (é)  LATIN SMALL LETTER E WITH ACUTE
