# Unicode code point	English annotation
U+00A9	Copyright symbol, Copyright
U+00AE	Registered symbol, Registered
U+01F004	Red Dragon Mahjong tile, Mahjong tile, Mahjong
U+01F0CF	Joker card, Joker
U+01F170	Blood Type A, Type A
U+01F171	Blood Type B, Type A
U+01F17E	Blood Type O, Type O
U+01F17F	Parking, parking area
U+01F18E	Blood Type AB, Type AB
U+01F191	cleared the bar, cleared the hurdle
U+01F192	cool!, great, good
U+01F193	free, free of charge
U+01F194	ID, identity
U+01F195	New, New sign
U+01F196	No Good, No Good sign
U+01F197	OK, OK sign
U+01F198	SOS
U+01F199	Updates, updates available, 
U+01F19A	versus, vs.
U+01F21A	non-existent, nothing
U+01F22F	reserved, reserved seat
U+01F232	prohibited, not permitted
U+01F233	vacant, empty, space/seating available
U+01F234	passed, passed sign, approved
U+01F235	full, full sign
U+01F236	fees
U+01F237	monthly, monthly sign, monthly parking
U+01F238	application, application sign
U+01F239	discounts
U+01F23A	in business now, open
U+01F250	good deal, bargain
U+01F251	acceptable sign, acceptable, OK
U+01F300	cyclone, dizzy, typhoon, twister
U+01F301	fog, foggy
U+01F302	umbrella, rain
U+01F303	night stars
U+01F304	sunrise over mountains, sunrise, morning sun
U+01F305	sunrise, morning sun
U+01F306	city landscape at dusk, dusk, evening, sunset
U+01F307	sunset over buildings, sunset, dusk
U+01F308	rainbow
U+01F309	bridge at night, night bridge
U+01F30A	waves, ocean waves
U+01F30B	volcano, volcanic eruption
U+01F30C	Milky Way
U+01F30D	globe for Europe/Africa, globe
U+01F30E	globe for the Americas, globe
U+01F30F	globe for Asia/Australia, globe
U+01F310	globe with meridians, globe
U+01F311	new moon, dark moon, moon
U+01F312	waxing crescent moon, crescent moon
U+01F313	first quarter moon, quarter moon
U+01F314	waxing gibbous moon, gibbous moon
U+01F315	full moon, bright moon, moon
U+01F316	waning gibbous moon, gibbous moon
U+01F317	last quarter moon, quarter moon
U+01F318	waning crescent moon, crescent moon
U+01F319	crescent moon
U+01F31A	new moon with a face, moon with a face
U+01F31B	first quarter moon with a face, quarter moon with a face, moon with a face
U+01F31C	last quarter moon with a face, quarter moon with a face, moon with a face
U+01F31D	full moon with a face, moon with a face
U+01F31E	sun with a face
U+01F31F	shining star, glowing star, glittery, sparkling
U+01F320	shooting star, falling star, star
U+01F330	chestnut
U+01F331	young plant, seedling
U+01F332	evergreen tree, evergreen
U+01F333	shedding tree, deciduous tree
U+01F334	palm tree
