#Code	Version	Default	Labels	Char	Names
U+2639	V1.1	text	people faces	☹	WHITE FROWNING FACE
U+263A	V1.1	text	people faces	☺	WHITE SMILING FACE
U+263B	V1.1	text	people faces	☻	BLACK SMILING FACE
U+263C	V1.1	text	weather	☼	WHITE SUN WITH RAYS
U+263D	V1.1	text		☽	FIRST QUARTER MOON
U+263E	V1.1	text		☾	LAST QUARTER MOON
U+2648	V1.1	emoji	zodiac	♈	ARIES
U+2649	V1.1	emoji	zodiac	♉	TAURUS
U+264A	V1.1	emoji	zodiac	♊	GEMINI
U+264B	V1.1	emoji	zodiac	♋	CANCER
U+264C	V1.1	emoji	zodiac	♌	LEO
U+264D	V1.1	emoji	zodiac	♍	VIRGO
U+264E	V1.1	emoji	zodiac	♎	LIBRA
U+264F	V1.1	emoji	zodiac	♏	SCORPIUS
U+2650	V1.1	emoji	zodiac	♐	SAGITTARIUS
U+2651	V1.1	emoji	zodiac	♑	CAPRICORN
U+2652	V1.1	emoji	zodiac	♒	AQUARIUS
U+2653	V1.1	emoji	zodiac	♓	PISCES
U+2654	V1.1	text	games	♔	WHITE CHESS KING
U+2655	V1.1	text	games	♕	WHITE CHESS QUEEN
U+2656	V1.1	text	games	♖	WHITE CHESS ROOK
U+2657	V1.1	text	games	♗	WHITE CHESS BISHOP
U+2658	V1.1	text	games	♘	WHITE CHESS KNIGHT
U+2659	V1.1	text	games	♙	WHITE CHESS PAWN
U+265A	V1.1	text	games	♚	BLACK CHESS KING
U+265B	V1.1	text	games	♛	BLACK CHESS QUEEN
U+265C	V1.1	text	games	♜	BLACK CHESS ROOK
U+265D	V1.1	text	games	♝	BLACK CHESS BISHOP
U+265E	V1.1	text	games	♞	BLACK CHESS KNIGHT
U+265F	V1.1	text	games	♟	BLACK CHESS PAWN
U+2660	V1.1	text	games	♠	BLACK SPADE SUIT
U+2661	V1.1	text	games	♡	WHITE HEART SUIT
U+2662	V1.1	text	games	♢	WHITE DIAMOND SUIT
U+2663	V1.1	text	games	♣	BLACK CLUB SUIT
U+2664	V1.1	text	games	♤	WHITE SPADE SUIT
U+2665	V1.1	text	games	♥	BLACK HEART SUIT
U+2666	V1.1	text	games	♦	BLACK DIAMOND SUIT
U+2667	V1.1	text	games	♧	WHITE CLUB SUIT
U+2668	V1.1	text		♨	HOT SPRINGS
U+2669	V1.1	text	music	♩	QUARTER NOTE
U+266A	V1.1	text	music	♪	EIGHTH NOTE
U+266B	V1.1	text	music	♫	BEAMED EIGHTH NOTES
U+266C	V1.1	text	music	♬	BEAMED SIXTEENTH NOTES
U+266D	V1.1	text	music	♭	MUSIC FLAT SIGN
U+266E	V1.1	text	music	♮	MUSIC NATURAL SIGN
U+266F	V1.1	text	music	♯	MUSIC SHARP SIGN
U+2702	V1.1	text		✂	BLACK SCISSORS
U+2703	V1.1	text		✃	LOWER BLADE SCISSORS
U+2704	V1.1	text		✄	WHITE SCISSORS
U+2706	V1.1	text		✆	TELEPHONE LOCATION SIGN
U+2707	V1.1	text		✇	TAPE DRIVE
U+2708	V1.1	text		✈	AIRPLANE
U+2709	V1.1	text		✉	ENVELOPE
U+270C	V1.1	text		✌	VICTORY HAND
U+270D	V1.1	text		✍	WRITING HAND
U+270E	V1.1	text		✎	LOWER RIGHT PENCIL
U+270F	V1.1	text		✏	PENCIL
U+2710	V1.1	text		✐	UPPER RIGHT PENCIL
U+2711	V1.1	text		✑	WHITE NIB
U+2712	V1.1	text		✒	BLACK NIB
U+2713	V1.1	text		✓	CHECK MARK
U+2715	V1.1	text		✕	MULTIPLICATION X
U+2717	V1.1	text		✗	BALLOT X
U+2718	V1.1	text		✘	HEAVY BALLOT X
U+2733	V1.1	text		✳	EIGHT SPOKED ASTERISK
U+2734	V1.1	text		✴	EIGHT POINTED BLACK STAR
U+2744	V1.1	text		❄	SNOWFLAKE
