# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
263A ;	text ;	0 ;	face, fitz-optional, human, outlined, people-android, people-apple, relaxed, smile, smiley, smiling ;	j w 	# V1.1 (☺) white smiling face
2639 ;	text ;	1 ;	face, fitz-optional, frowning, human ;	w 	# V1.1 (☹) white frowning face
1F641 ;	emoji ;	2 ;	face, fitz-optional, frowning, human ;	x 	# V7.0 (🙁) slightly frowning face
1F642 ;	emoji ;	3 ;	face, fitz-optional, human, smile, smiley, smiling ;	x 	# V7.0 (🙂) slightly smiling face
1F600 ;	emoji ;	4 ;	face, fitz-optional, grin, grinning, human, people-android, people-apple ;	x 	# V6.1 (😀) grinning face
1F601 ;	emoji ;	5 ;	eye, face, fitz-optional, grin, grinning, human, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😁) grinning face with smiling eyes
1F602 ;	emoji ;	6 ;	face, fitz-optional, human, joy, people-android, people-apple, tears ;	j 	# V6.0 (😂) face with tears of joy
1F603 ;	emoji ;	7 ;	face, fitz-optional, human, mouth, open, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😃) smiling face with open mouth
1F604 ;	emoji ;	8 ;	eye, face, fitz-optional, human, mouth, open, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😄) smiling face with open mouth and smiling eyes
1F605 ;	emoji ;	9 ;	cold, face, fitz-optional, human, open, people-android, people-apple, smile, smiley, smiling, sweat ;	j 	# V6.0 (😅) smiling face with open mouth and cold sweat
1F606 ;	emoji ;	10 ;	face, fitz-optional, human, laughing, mouth, open, people-android, people-apple, satisfied, smile, smiley, smiling ;	j 	# V6.0 (😆) smiling face with open mouth and tightly-closed eyes
1F609 ;	emoji ;	11 ;	face, fitz-optional, human, people-android, people-apple, wink ;	j 	# V6.0 (😉) winking face
1F60A ;	emoji ;	12 ;	blush, eye, face, fitz-optional, human, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😊) smiling face with smiling eyes
1F60B ;	emoji ;	13 ;	delicious, face, fitz-optional, food, human, people-android, people-apple, savouring, smile, smiley, smiling, um, yum ;	j 	# V6.0 (😋) face savouring delicious food
1F60C ;	emoji ;	14 ;	face, fitz-optional, human, people-android, people-apple, relieved ;	j 	# V6.0 (😌) relieved face
1F60D ;	emoji ;	15 ;	eye, face, fitz-optional, heart, human, love, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😍) smiling face with heart-shaped eyes
1F60E ;	emoji ;	16 ;	bright, cool, eye, face, fitz-optional, glasses, human, people-android, people-apple, smile, smiley, smiling, sun, sunglasses, weather ;	x 	# V6.0 (😎) smiling face with sunglasses
1F60F ;	emoji ;	17 ;	face, fitz-optional, human, people-android, people-apple, smirk, smirking ;	j 	# V6.0 (😏) smirking face
1F610 ;	emoji ;	18 ;	deadpan, face, fitz-optional, human, neutral, people-android, people-apple ;	w 	# V6.0 (😐) neutral face
