# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
1F611 ;	emoji ;	19 ;	expressionless, face, fitz-optional, human, inexpressive, people-android, people-apple, unexpressive ;	x 	# V6.1 (😑) expressionless face
1F612 ;	emoji ;	20 ;	face, fitz-optional, human, people-android, people-apple, unamused, unhappy ;	j 	# V6.0 (😒) unamused face
1F613 ;	emoji ;	21 ;	cold, face, fitz-optional, human, people-android, people-apple, sweat ;	j 	# V6.0 (😓) face with cold sweat
1F614 ;	emoji ;	22 ;	dejected, face, fitz-optional, human, pensive, people-android, people-apple ;	j 	# V6.0 (😔) pensive face
1F615 ;	emoji ;	23 ;	confused, face, fitz-optional, human, people-android, people-apple ;	x 	# V6.1 (😕) confused face
1F616 ;	emoji ;	24 ;	confounded, face, fitz-optional, human, people-android, people-apple ;	j 	# V6.0 (😖) confounded face
1F617 ;	emoji ;	25 ;	face, fitz-optional, human, kiss, kissing, people-android, people-apple ;	x 	# V6.1 (😗) kissing face
1F618 ;	emoji ;	26 ;	face, fitz-optional, heart, human, kiss, people-android, people-apple ;	j 	# V6.0 (😘) face throwing a kiss
1F619 ;	emoji ;	27 ;	eye, face, fitz-optional, human, kiss, people-android, people-apple, smile, smiley, smiling ;	x 	# V6.1 (😙) kissing face with smiling eyes
1F61A ;	emoji ;	28 ;	closed, eye, face, fitz-optional, human, kiss, people-android, people-apple ;	j 	# V6.0 (😚) kissing face with closed eyes
1F61B ;	emoji ;	29 ;	face, fitz-optional, human, people-android, people-apple, stuck-out, tongue ;	x 	# V6.1 (😛) face with stuck-out tongue
1F61C ;	emoji ;	30 ;	eye, face, fitz-optional, human, joke, people-android, people-apple, stuck-out, tongue, wink ;	j 	# V6.0 (😜) face with stuck-out tongue and winking eye
1F61D ;	emoji ;	31 ;	eye, face, fitz-optional, horrible, human, people-android, people-apple, stuck-out, taste, tongue ;	j 	# V6.0 (😝) face with stuck-out tongue and tightly-closed eyes
1F61E ;	emoji ;	32 ;	disappointed, face, fitz-optional, human, people-android, people-apple ;	j 	# V6.0 (😞) disappointed face
1F61F ;	emoji ;	33 ;	face, fitz-optional, human, people-android, people-apple, worried ;	x 	# V6.1 (😟) worried face
1F620 ;	emoji ;	34 ;	anger, angry, face, fitz-optional, human, mad, people-android, people-apple ;	j 	# V6.0 (😠) angry face
1F621 ;	emoji ;	35 ;	anger, angry, face, fitz-optional, human, people-android, people-apple, pouting, rage, red ;	j 	# V6.0 (😡) pouting face
1F622 ;	emoji ;	36 ;	cry, face, fitz-optional, human, people-android, people-apple, sad, tear ;	j 	# V6.0 (😢) crying face
1F623 ;	emoji ;	37 ;	face, fitz-optional, human, people-android, people-apple, perserve, persevere, persevering ;	j 	# V6.0 (😣) persevering face
1F624 ;	emoji ;	38 ;	face, fitz-optional, human, people-android, people-apple, triumph, won ;	j 	# V6.0 (😤) face with look of triumph
1F625 ;	emoji ;	39 ;	disappointed, face, fitz-optional, human, people-android, people-apple, relieved, whew ;	j 	# V6.0 (😥) disappointed but relieved face
1F626 ;	emoji ;	40 ;	face, fitz-optional, frowning, human, mouth, open, people-android, people-apple ;	x 	# V6.1 (😦) frowning face with open mouth
1F627 ;	emoji ;	41 ;	anguished, face, fitz-optional, human, people-android, people-apple ;	x 	# V6.1 (😧) anguished face
1F628 ;	emoji ;	42 ;	face, fear, fearful, fitz-optional, human, people-android, people-apple, scared ;	j 	# V6.0 (😨) fearful face
1F629 ;	emoji ;	43 ;	face, fitz-optional, human, people-android, people-apple, tired, weary ;	j 	# V6.0 (😩) weary face
1F62A ;	emoji ;	44 ;	face, fitz-optional, human, people-android, people-apple, sleepy ;	j 	# V6.0 (😪) sleepy face
1F62B ;	emoji ;	45 ;	face, fitz-optional, human, people-android, people-apple, tired ;	j 	# V6.0 (😫) tired face
1F62C ;	emoji ;	46 ;	face, fitz-optional, grimace, grimacing, human, people-android, people-apple ;	x 	# V6.1 (😬) grimacing face
1F62D ;	emoji ;	47 ;	cry, face, fitz-optional, human, people-android, people-apple, sad, sob, tear, tears ;	j 	# V6.0 (😭) loudly crying face
1F62E ;	emoji ;	48 ;	face, fitz-optional, human, mouth, open, people-android, people-apple, sympathy ;	x 	# V6.1 (😮) face with open mouth
1F62F ;	emoji ;	49 ;	face, fitz-optional, human, hushed, people-android, people-apple, stunned, surprised ;	x 	# V6.1 (😯) hushed face
1F630 ;	emoji ;	50 ;	blue, cold, face, fitz-optional, human, mouth, open, people-android, people-apple, rushed, sweat ;	j 	# V6.0 (😰) face with open mouth and cold sweat
1F631 ;	emoji ;	51 ;	face, fear, fearful, fitz-optional, human, people-android, people-apple, scared, scream, screaming ;	j 	# V6.0 (😱) face screaming in fear
1F632 ;	emoji ;	52 ;	astonished, face, fitz-optional, human, people-android, people-apple, shocked, totally ;	j 	# V6.0 (😲) astonished face
1F633 ;	emoji ;	53 ;	dazed, face, fitz-optional, flushed, human, people-android, people-apple ;	j 	# V6.0 (😳) flushed face
1F634 ;	emoji ;	54 ;	face, fitz-optional, human, people-android, people-apple, sleeping ;	x 	# V6.1 (😴) sleeping face
1F635 ;	emoji ;	55 ;	dizzy, face, fitz-optional, human, people-android, people-apple ;	j 	# V6.0 (😵) dizzy face
1F636 ;	emoji ;	56 ;	face, fitz-optional, human, mouth, people-android, people-apple, silent ;	x 	# V6.0 (😶) face without mouth
1F637 ;	emoji ;	57 ;	cold, face, fitz-optional, human, mask, medical, people-android, people-apple, under, weather ;	j 	# V6.0 (😷) face with medical mask
1F607 ;	emoji ;	58 ;	angel, face, fantasy, fitz-optional, halo, human, innocent, people-android, people-apple, smile, smiley, smiling ;	x 	# V6.0 (😇) smiling face with halo
1F608 ;	emoji ;	59 ;	face, fantasy, fitz-optional, horn, human, people-android, people-apple, smile, smiley, smiling ;	x 	# V6.0 (😈) smiling face with horns
1F47F ;	emoji ;	60 ;	devil, face, fairy tale, fantasy, fitz-optional, human, imp, people-android, people-apple ;	j 	# V6.0 (👿) imp
1F466 ;	emoji ;	61 ;	boy, fitz-minimal, human, people-android, people-apple, person ;	j 	# V6.0 (👦) boy
1F467 ;	emoji ;	62 ;	fitz-minimal, girl, human, people-android, people-apple, person ;	j 	# V6.0 (👧) girl
1F468 ;	emoji ;	63 ;	fitz-minimal, human, man, people-android, people-apple, person ;	j 	# V6.0 (👨) man
1F469 ;	emoji ;	64 ;	fitz-minimal, human, people-android, people-apple, person, woman ;	j 	# V6.0 (👩) woman
1F474 ;	emoji ;	65 ;	fitz-minimal, human, man, old, people-android, people-apple, person ;	j 	# V6.0 (👴) older man
1F475 ;	emoji ;	66 ;	fitz-minimal, human, old, people-android, people-apple, person, woman ;	j 	# V6.0 (👵) older woman
1F476 ;	emoji ;	67 ;	baby, fitz-minimal, human, people-android, people-apple, person ;	j 	# V6.0 (👶) baby
1F471 ;	emoji ;	68 ;	blond, fitz-minimal, human, people-android, people-apple, person ;	j 	# V6.0 (👱) person with blond hair
1F46E ;	emoji ;	69 ;	cop, fitz-minimal, human, officer, people-android, people-apple, person, police ;	j 	# V6.0 (👮) police officer
1F472 ;	emoji ;	70 ;	fitz-minimal, gua, human, man, mao, people-android, people-apple, person, pi ;	j 	# V6.0 (👲) man with gua pi mao
1F473 ;	emoji ;	71 ;	fitz-minimal, human, man, people-android, people-apple, person, turban ;	j 	# V6.0 (👳) man with turban
1F477 ;	emoji ;	72 ;	construction, fitz-minimal, human, people-android, people-apple, person, worker ;	j 	# V6.0 (👷) construction worker
1F478 ;	emoji ;	73 ;	fairy tale, fantasy, fitz-minimal, human, people-android, people-apple, person, princess ;	j 	# V6.0 (👸) princess
1F482 ;	emoji ;	74 ;	fitz-minimal, guard, guardsman, human, people-android, people-apple, person ;	j 	# V6.0 (💂) guardsman
1F385 ;	emoji ;	75 ;	activity, celebration, christmas, fantasy, father, fitz-minimal, human, objects-apple, people-android, person, santa ;	j 	# V6.0 (🎅) father christmas
1F47C ;	emoji ;	76 ;	angel, baby, face, fairy tale, fantasy, fitz-minimal, human, people-android, people-apple ;	j 	# V6.0 (👼) baby angel
1F575 ;	text ;	77 ;	human, person, sleuth, spy ;	w 	# V7.0 (🕵) sleuth or spy
1F46F ;	emoji ;	78 ;	bunny, dancers, ear, fitz-minimal, girl, human, people-android, people-apple, person, woman ;	j 	# V6.0 (👯) woman with bunny ears
1F486 ;	emoji ;	79 ;	face, fitz-minimal, human, massage, people-android, people-apple, person, salon ;	j 	# V6.0 (💆) face massage
1F487 ;	emoji ;	80 ;	barber, beauty, fitz-minimal, haircut, human, parlor, people-android, people-apple, person ;	j 	# V6.0 (💇) haircut
1F470 ;	emoji ;	81 ;	bride, fitz-minimal, human, people-android, people-apple, person, veil, wedding ;	j 	# V6.0 (👰) bride with veil
1F64D ;	emoji ;	82 ;	fitz-minimal, frowning, gesture, human, people-android, people-apple, person ;	j 	# V6.0 (🙍) person frowning
1F64E ;	emoji ;	83 ;	face, fitz-minimal, gesture, human, people-android, people-apple, person, pouting ;	j 	# V6.0 (🙎) person with pouting face
1F645 ;	emoji ;	84 ;	face, fitz-minimal, forbidden, gesture, human, no, not, people-android, people-apple, person, prohibited ;	j 	# V6.0 (🙅) face with no good gesture
1F646 ;	emoji ;	85 ;	face, fitz-minimal, gesture, human, ok, people-android, people-apple, person ;	j 	# V6.0 (🙆) face with ok gesture
1F481 ;	emoji ;	86 ;	fitz-minimal, help, human, information, people-android, people-apple, person ;	j 	# V6.0 (💁) information desk person
1F64B ;	emoji ;	87 ;	fitz-minimal, gesture, hand, happy, human, people-android, people-apple, person, raise ;	j 	# V6.0 (🙋) happy person raising one hand
1F647 ;	emoji ;	88 ;	apology, bow, fitz-minimal, gesture, human, people-android, people-apple, person, sorry ;	j 	# V6.0 (🙇) person bowing deeply
1F64C ;	emoji ;	89 ;	body, celebration, fitz-optional, gesture, hand, hooray, human, people-android, people-apple, person, raise ;	j 	# V6.0 (🙌) person raising both hands in celebration
1F64F ;	emoji ;	90 ;	ask, body, fitz-optional, folded, gesture, hand, human, people-android, people-apple, person, please, pray, prayer, praying, thanks ;	j 	# V6.0 (🙏) person with folded hands
1F5E3 ;	text ;	91 ;	face, head, human, person, rating, silhouette, speaking ;	w 	# V7.0 (🗣) speaking head in silhouette
1F464 ;	emoji ;	92 ;	bust, people-android, people-apple, person, silhouette ;	j 	# V6.0 (👤) bust in silhouette
1F465 ;	emoji ;	93 ;	bust, people-android, people-apple, person, silhouette ;	x 	# V6.0 (👥) busts in silhouette
1F6B6 ;	emoji ;	94 ;	fitz-optional, hiker, hiking, human, pedestrian, people-apple, person, places-android, travel, walk, walker, walking ;	j 	# V6.0 (🚶) pedestrian
1F3C3 ;	emoji ;	95 ;	fitz-optional, human, marathon, people-apple, person, places-android, runner, running, sport ;	j 	# V6.0 (🏃) runner
1F483 ;	emoji ;	96 ;	dancer, fitz-optional, human, people-android, people-apple, person ;	j 	# V6.0 (💃) dancer
1F574 ;	text ;	97 ;	business, human, man, person, suit ;	w 	# V7.0 (🕴) man in business suit levitating
1F48F ;	emoji ;	98 ;	couplekiss, human, kiss, people-android, people-apple, person, romance ;	j 	# V6.0 (💏) kiss
1F491 ;	emoji ;	99 ;	couple, heart, human, people-android, people-apple, person, romance ;	j 	# V6.0 (💑) couple with heart
1F46A ;	emoji ;	100 ;	child, family, father, human, mother, people-android, people-apple, person ;	j w 	# V6.0 (👪) family
1F46B ;	emoji ;	101 ;	couple, hand, hold, human, man, people-android, people-apple, person, woman ;	j 	# V6.0 (👫) man and woman holding hands
1F46C ;	emoji ;	102 ;	couple, hand, hold, human, men, people-android, people-apple, person ;	x 	# V6.0 (👬) two men holding hands
1F46D ;	emoji ;	103 ;	couple, hand, hold, human, people-android, people-apple, person, woman ;	x 	# V6.0 (👭) two women holding hands
1F448 ;	emoji ;	104 ;	backhand, body, finger, fitz-optional, hand, human, index, people-android, people-apple, point ;	j w 	# V6.0 (👈) white left pointing backhand index
1F449 ;	emoji ;	105 ;	backhand, body, finger, fitz-optional, hand, human, index, people-android, people-apple, point ;	j w 	# V6.0 (👉) white right pointing backhand index
261D ;	text ;	106 ;	body, finger, fitz-optional, hand, human, index, people-android, people-apple, point, up ;	j w 	# V1.1 (☝) white up pointing index
1F446 ;	emoji ;	107 ;	backhand, body, finger, fitz-optional, hand, human, index, people-android, people-apple, point, up ;	j w 	# V6.0 (👆) white up pointing backhand index
1F595 ;	emoji ;	108 ;	body, extended, finger, fitz-optional, hand, human ;	x 	# V7.0 (🖕) reversed hand with middle finger extended
1F447 ;	emoji ;	109 ;	backhand, body, down, finger, fitz-optional, hand, human, index, people-android, people-apple, point ;	j w 	# V6.0 (👇) white down pointing backhand index
270C ;	text ;	110 ;	body, fitz-optional, hand, human, people-android, people-apple, v, victory ;	z j w 	# V1.1 (✌) victory hand
1F596 ;	emoji ;	111 ;	body, finger, fitz-optional, hand, human, part, spock, vulcan ;	x 	# V7.0 (🖖) raised hand with part between middle and ring fingers
270A ;	emoji ;	112 ;	body, fist, fitz-optional, hand, human, people-android, people-apple ;	j 	# V6.0 (✊) raised fist
270B ;	emoji ;	113 ;	body, fitz-optional, hand, human, people-android, people-apple ;	j 	# V6.0 (✋) raised hand
1F44A ;	emoji ;	114 ;	body, clenched, facepunch, fist, fitz-optional, hand, human, people-android, people-apple, punch ;	j 	# V6.0 (👊) fisted hand sign
1F44B ;	emoji ;	115 ;	body, fitz-optional, hand, human, people-android, people-apple, wave, waving ;	j 	# V6.0 (👋) waving hand sign
1F44C ;	emoji ;	116 ;	body, fitz-optional, hand, human, ok, people-android, people-apple ;	j 	# V6.0 (👌) ok hand sign
1F44D ;	emoji ;	117 ;	+1, body, fitz-optional, hand, human, people-android, people-apple, thumb, thumbs’s up, up ;	j w 	# V6.0 (👍) thumbs up sign
1F44E ;	emoji ;	118 ;	-1, body, down, fitz-optional, hand, human, people-android, people-apple, thumb, thumb’s down ;	j w 	# V6.0 (👎) thumbs down sign
1F44F ;	emoji ;	119 ;	body, clap, fitz-optional, hand, human, people-android, people-apple ;	j 	# V6.0 (👏) clapping hands sign
1F450 ;	emoji ;	120 ;	body, fitz-optional, hand, human, open, people-android, people-apple ;	j 	# V6.0 (👐) open hands sign
270D ;	text ;	121 ;	body, fitz-optional, hand, human, writing ;	z w 	# V1.1 (✍) writing hand
1F590 ;	text ;	122 ;	body, finger, fitz-optional, hand, human, splayed ;	w 	# V7.0 (🖐) raised hand with fingers splayed
1F485 ;	emoji ;	123 ;	body, care, cosmetics, fitz-optional, human, manicure, nail, people-android, people-apple, polish ;	j 	# V6.0 (💅) nail polish
1F4AA ;	emoji ;	124 ;	biceps, body, comic, fitz-optional, flex, human, muscle, people-android, people-apple ;	j 	# V6.0 (💪) flexed biceps
1F463 ;	emoji ;	125 ;	body, clothing, footprint, footprints, people-android, people-apple, print ;	j 	# V6.0 (👣) footprints
1F440 ;	emoji ;	126 ;	body, eyes, face, fitz-optional, human, people-android, people-apple ;	j 	# V6.0 (👀) eyes
1F441 ;	text ;	127 ;	body, eye, fitz-optional, human ;	w 	# V7.0 (👁) eye
1F442 ;	emoji ;	128 ;	body, ear, fitz-optional, human, people-android, people-apple ;	j w 	# V6.0 (👂) ear
1F443 ;	emoji ;	129 ;	body, fitz-optional, human, nose, people-android, people-apple ;	j 	# V6.0 (👃) nose
1F445 ;	emoji ;	130 ;	body, fitz-optional, human, people-android, people-apple, tongue ;	j 	# V6.0 (👅) tongue
1F480 ;	emoji ;	131 ;	body, face, fairy tale, people-android, people-apple, skull ;	j 	# V6.0 (💀) skull
2620 ;	text ;	132 ;	body, crossbones, face, skull ;	x 	# V1.1 (☠) skull and crossbones
1F48B ;	emoji ;	133 ;	emotion, fitz-optional, heart, human, kiss, lips, mark, people-android, people-apple, romance ;	j 	# V6.0 (💋) kiss mark
1F444 ;	emoji ;	134 ;	body, fitz-optional, human, lips, mouth, people-android, people-apple ;	j 	# V6.0 (👄) mouth
1F498 ;	emoji ;	135 ;	arrow, cupid, emotion, heart, people-android, people-apple ;	j 	# V6.0 (💘) heart with arrow
2764 ;	text ;	136 ;	emotion, heart, people-android, people-apple ;	z j 	# V1.1 (❤) heavy black heart
1F493 ;	emoji ;	137 ;	beating, emotion, heart, heartbeat, people-android, people-apple, pulsating ;	j 	# V6.0 (💓) beating heart
1F494 ;	emoji ;	138 ;	break, broken, emotion, heart, people-android, people-apple ;	j 	# V6.0 (💔) broken heart
1F495 ;	emoji ;	139 ;	emotion, heart, love, people-android, people-apple ;	j 	# V6.0 (💕) two hearts
1F496 ;	emoji ;	140 ;	emotion, excited, heart, people-android, people-apple, sparkle, sparkler ;	j 	# V6.0 (💖) sparkling heart
1F497 ;	emoji ;	141 ;	emotion, excited, growing, heart, heartpulse, nervous, people-android, people-apple ;	j 	# V6.0 (💗) growing heart
1F499 ;	emoji ;	142 ;	blue, emotion, heart, people-android, people-apple ;	j 	# V6.0 (💙) blue heart
1F49A ;	emoji ;	143 ;	emotion, green, heart, people-android, people-apple ;	j 	# V6.0 (💚) green heart
1F49B ;	emoji ;	144 ;	emotion, heart, people-android, people-apple, yellow ;	j 	# V6.0 (💛) yellow heart
1F49C ;	emoji ;	145 ;	emotion, heart, people-android, people-apple, purple ;	j 	# V6.0 (💜) purple heart
1F49D ;	emoji ;	146 ;	emotion, heart, objects-apple, people-android, ribbon, valentine ;	j 	# V6.0 (💝) heart with ribbon
1F49E ;	emoji ;	147 ;	emotion, heart, people-android, people-apple, revolving ;	j 	# V6.0 (💞) revolving hearts
1F49F ;	emoji ;	148 ;	emotion, heart, people-android, symbols-apple ;	j 	# V6.0 (💟) heart decoration
2763 ;	text ;	149 ;	emotion, exclamation, heart, mark ;	z 	# V1.1 (❣) heavy heart exclamation mark ornament
1F48C ;	emoji ;	150 ;	emotion, heart, letter, love, mail, people-apple, places-android, romance ;	j 	# V6.0 (💌) love letter
1F4A7 ;	emoji ;	151 ;	cold, comic, drop, droplet, emotion, nature-android, object, people-apple, sweat, weather ;	j 	# V6.0 (💧) droplet
1F4A4 ;	emoji ;	152 ;	comic, emotion, people-apple, sleeping, sleepy, symbols-android, word, zzz ;	j 	# V6.0 (💤) sleeping symbol
1F4A2 ;	emoji ;	153 ;	anger, angry, comic, emotion, people-apple, symbols-android ;	j 	# V6.0 (💢) anger symbol
1F4A3 ;	emoji ;	154 ;	bomb, comic, emotion, object, objects-android, objects-apple ;	j w 	# V6.0 (💣) bomb
1F4A5 ;	emoji ;	155 ;	boom, collision, comic, emotion, people-apple, symbols-android ;	j 	# V6.0 (💥) collision symbol
1F4A6 ;	emoji ;	156 ;	comic, emotion, object, people-apple, splashing, sweat, symbols-android ;	j 	# V6.0 (💦) splashing sweat symbol
1F4A8 ;	emoji ;	157 ;	comic, dash, emotion, object, people-apple, running, symbols-android ;	j 	# V6.0 (💨) dash symbol
1F4AB ;	emoji ;	158 ;	comic, dizzy, emotion, people-apple, star, symbols-android ;	j 	# V6.0 (💫) dizzy symbol
1F4AC ;	emoji ;	159 ;	balloon, bubble, comic, dialog, emotion, objects-android, people-apple, speech ;	j 	# V6.0 (💬) speech balloon
1F4AD ;	emoji ;	160 ;	balloon, bubble, comic, emotion, objects-android, people-apple, thought ;	x 	# V6.0 (💭) thought balloon
1F573 ;	text ;	161 ;	emotion, hole ;	w 	# V7.0 (🕳) hole
1F5EF ;	text ;	162 ;	anger, angry, balloon, bubble, emotion ;	w 	# V7.0 (🗯) right anger bubble
1F453 ;	emoji ;	163 ;	clothing, eye, eyeglasses, glasses, objects-android, people-apple ;	j w 	# V6.0 (👓) eyeglasses
1F576 ;	text ;	164 ;	dark, eye, glasses, object, sunglasses ;	w 	# V7.0 (🕶) dark sunglasses
1F454 ;	emoji ;	165 ;	clothing, necktie, objects-android, people-apple ;	j 	# V6.0 (👔) necktie
1F455 ;	emoji ;	166 ;	clothing, objects-android, people-apple, shirt, tshirt ;	j 	# V6.0 (👕) t-shirt
1F456 ;	emoji ;	167 ;	clothing, jeans, objects-android, pants, people-apple, trousers ;	j 	# V6.0 (👖) jeans
1F457 ;	emoji ;	168 ;	clothing, dress, objects-android, people-apple ;	j 	# V6.0 (👗) dress
1F458 ;	emoji ;	169 ;	clothing, kimono, objects-android, people-apple ;	j 	# V6.0 (👘) kimono
1F459 ;	emoji ;	170 ;	bikini, clothing, objects-android, people-apple ;	j 	# V6.0 (👙) bikini
1F45A ;	emoji ;	171 ;	clothes, clothing, objects-android, people-apple, woman ;	j 	# V6.0 (👚) womans clothes
1F45B ;	emoji ;	172 ;	clothing, coin, objects-android, people-apple, purse ;	j 	# V6.0 (👛) purse
1F45C ;	emoji ;	173 ;	bag, clothing, handbag, objects-android, people-apple ;	j 	# V6.0 (👜) handbag
1F45D ;	emoji ;	174 ;	bag, clothing, objects-android, people-apple, pouch ;	j 	# V6.0 (👝) pouch
1F45E ;	emoji ;	175 ;	clothing, man, objects-android, people-apple, shoe ;	j 	# V6.0 (👞) mans shoe
1F45F ;	emoji ;	176 ;	athletic, clothing, objects-android, people-apple, shoe, sneaker ;	j 	# V6.0 (👟) athletic shoe
1F460 ;	emoji ;	177 ;	clothing, heel, objects-android, people-apple, shoe ;	j 	# V6.0 (👠) high-heeled shoe
1F461 ;	emoji ;	178 ;	clothing, objects-android, people-apple, sandal, woman ;	j 	# V6.0 (👡) womans sandal
1F462 ;	emoji ;	179 ;	boot, clothing, objects-android, people-apple, woman ;	j 	# V6.0 (👢) womans boots
1F451 ;	emoji ;	180 ;	clothing, crown, objects-android, people-apple ;	j 	# V6.0 (👑) crown
1F452 ;	emoji ;	181 ;	clothing, hat, objects-android, people-apple, woman ;	j 	# V6.0 (👒) womans hat
1F3A9 ;	emoji ;	182 ;	activity, entertainment, hat, object, objects-android, people-apple, top, tophat ;	j 	# V6.0 (🎩) top hat
26D1 ;	text ;	183 ;	cross, helmet, travel ;	a 	# V5.2 (⛑) helmet with white cross
1F435 ;	emoji ;	184 ;	animal, face, monkey, nature, nature-android, nature-apple ;	j 	# V6.0 (🐵) monkey face
1F648 ;	emoji ;	185 ;	evil, face, forbidden, gesture, monkey, no, not, people-android, people-apple, prohibited, see ;	j 	# V6.0 (🙈) see-no-evil monkey
1F649 ;	emoji ;	186 ;	evil, face, forbidden, gesture, hear, monkey, no, not, people-android, people-apple, prohibited ;	j 	# V6.0 (🙉) hear-no-evil monkey
1F64A ;	emoji ;	187 ;	evil, face, forbidden, gesture, monkey, no, not, people-android, people-apple, prohibited, speak ;	j 	# V6.0 (🙊) speak-no-evil monkey
1F412 ;	emoji ;	188 ;	animal, monkey, nature, nature-android, nature-apple ;	j 	# V6.0 (🐒) monkey
1F436 ;	emoji ;	189 ;	animal, dog, face, nature, nature-android, nature-apple ;	j 	# V6.0 (🐶) dog face
1F415 ;	emoji ;	190 ;	animal, dog, nature, nature-android, nature-apple ;	w 	# V6.0 (🐕) dog
1F429 ;	emoji ;	191 ;	animal, nature, nature-android, nature-apple, poodle ;	j 	# V6.0 (🐩) poodle
1F43A ;	emoji ;	192 ;	animal, face, nature, nature-android, nature-apple, wolf ;	j 	# V6.0 (🐺) wolf face
1F431 ;	emoji ;	193 ;	animal, cat, face, nature, nature-android, nature-apple ;	j 	# V6.0 (🐱) cat face
1F638 ;	emoji ;	194 ;	animal, cat, eye, face, grin, grinning, nature, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😸) grinning cat face with smiling eyes
1F639 ;	emoji ;	195 ;	animal, cat, face, joy, nature, people-android, people-apple, tears ;	j 	# V6.0 (😹) cat face with tears of joy
1F63A ;	emoji ;	196 ;	animal, cat, face, mouth, nature, open, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😺) smiling cat face with open mouth
1F63B ;	emoji ;	197 ;	animal, cat, eye, face, heart, love, nature, people-android, people-apple, smile, smiley, smiling ;	j 	# V6.0 (😻) smiling cat face with heart-shaped eyes
1F63C ;	emoji ;	198 ;	animal, cat, face, ironic, nature, people-android, people-apple, smile, smiley, smiling, wry ;	j 	# V6.0 (😼) cat face with wry smile
1F63D ;	emoji ;	199 ;	animal, cat, eye, face, kiss, nature, people-android, people-apple ;	j 	# V6.0 (😽) kissing cat face with closed eyes
1F63E ;	emoji ;	200 ;	animal, cat, face, nature, people-android, people-apple, pouting ;	j 	# V6.0 (😾) pouting cat face
1F63F ;	emoji ;	201 ;	animal, cat, cry, face, nature, people-android, people-apple, sad, tear ;	j 	# V6.0 (😿) crying cat face
1F640 ;	emoji ;	202 ;	animal, cat, face, nature, oh, people-android, people-apple, surprised, weary ;	j 	# V6.0 (🙀) weary cat face
