% compkeys-2.1.9d8.txt
% Created: 2000-Apr-18
% Posted:  2000-Apr-18
% Derived from: unidata-2.1.9d8.txt
% Sifter version: 2.1.9d7, 2000-Jan-11

@version 2.1.9d8

24A9 ; [*023F.0020.0004.24A9] [.07E1.0020.0004.24A9] [*0240.0020.0004.24A9] # PARENTHESIZED LATIN SMALL LETTER N; COMPATSEQ
24AA ; [*023F.0020.0004.24AA] [.07F9.0020.0004.24AA] [*0240.0020.0004.24AA] # PARENTHESIZED LATIN SMALL LETTER O; COMPATSEQ
24AB ; [*023F.0020.0004.24AB] [.0811.0020.0004.24AB] [*0240.0020.0004.24AB] # PARENTHESIZED LATIN SMALL LETTER P; COMPATSEQ
24AC ; [*023F.0020.0004.24AC] [.081D.0020.0004.24AC] [*0240.0020.0004.24AC] # PARENTHESIZED LATIN SMALL LETTER Q; COMPATSEQ
24AD ; [*023F.0020.0004.24AD] [.0829.0020.0004.24AD] [*0240.0020.0004.24AD] # PARENTHESIZED LATIN SMALL LETTER R; COMPATSEQ
24AE ; [*023F.0020.0004.24AE] [.0851.0020.0004.24AE] [*0240.0020.0004.24AE] # PARENTHESIZED LATIN SMALL LETTER S; COMPATSEQ
24AF ; [*023F.0020.0004.24AF] [.0869.0020.0004.24AF] [*0240.0020.0004.24AF] # PARENTHESIZED LATIN SMALL LETTER T; COMPATSEQ
24B0 ; [*023F.0020.0004.24B0] [.0881.0020.0004.24B0] [*0240.0020.0004.24B0] # PARENTHESIZED LATIN SMALL LETTER U; COMPATSEQ
24B1 ; [*023F.0020.0004.24B1] [.0899.0020.0004.24B1] [*0240.0020.0004.24B1] # PARENTHESIZED LATIN SMALL LETTER V; COMPATSEQ
24B2 ; [*023F.0020.0004.24B2] [.08A5.0020.0004.24B2] [*0240.0020.0004.24B2] # PARENTHESIZED LATIN SMALL LETTER W; COMPATSEQ
24B3 ; [*023F.0020.0004.24B3] [.08AD.0020.0004.24B3] [*0240.0020.0004.24B3] # PARENTHESIZED LATIN SMALL LETTER X; COMPATSEQ
24B4 ; [*023F.0020.0004.24B4] [.08B1.0020.0004.24B4] [*0240.0020.0004.24B4] # PARENTHESIZED LATIN SMALL LETTER Y; COMPATSEQ
24B5 ; [*023F.0020.0004.24B5] [.08BD.0020.0004.24B5] [*0240.0020.0004.24B5] # PARENTHESIZED LATIN SMALL LETTER Z; COMPATSEQ
3200 ; [*023F.0020.0004.3200] [.0EDD.0020.0004.3200] [*0240.0020.0004.3200] # PARENTHESIZED HANGUL KIYEOK; COMPATSEQ
3201 ; [*023F.0020.0004.3201] [.0EDF.0020.0004.3201] [*0240.0020.0004.3201] # PARENTHESIZED HANGUL NIEUN; COMPATSEQ
3202 ; [*023F.0020.0004.3202] [.0EE0.0020.0004.3202] [*0240.0020.0004.3202] # PARENTHESIZED HANGUL TIKEUT; COMPATSEQ
3203 ; [*023F.0020.0004.3203] [.0EE2.0020.0004.3203] [*0240.0020.0004.3203] # PARENTHESIZED HANGUL RIEUL; COMPATSEQ
3204 ; [*023F.0020.0004.3204] [.0EE3.0020.0004.3204] [*0240.0020.0004.3204] # PARENTHESIZED HANGUL MIEUM; COMPATSEQ
3205 ; [*023F.0020.0004.3205] [.0EE4.0020.0004.3205] [*0240.0020.0004.3205] # PARENTHESIZED HANGUL PIEUP; COMPATSEQ
3206 ; [*023F.0020.0004.3206] [.0EE6.0020.0004.3206] [*0240.0020.0004.3206] # PARENTHESIZED HANGUL SIOS; COMPATSEQ
3207 ; [*023F.0020.0004.3207] [.0EE8.0020.0004.3207] [*0240.0020.0004.3207] # PARENTHESIZED HANGUL IEUNG; COMPATSEQ
3208 ; [*023F.0020.0004.3208] [.0EE9.0020.0004.3208] [*0240.0020.0004.3208] # PARENTHESIZED HANGUL CIEUC; COMPATSEQ
3209 ; [*023F.0020.0004.3209] [.0EEB.0020.0004.3209] [*0240.0020.0004.3209] # PARENTHESIZED HANGUL CHIEUCH; COMPATSEQ
320A ; [*023F.0020.0004.320A] [.0EEC.0020.0004.320A] [*0240.0020.0004.320A] # PARENTHESIZED HANGUL KHIEUKH; COMPATSEQ
320B ; [*023F.0020.0004.320B] [.0EED.0020.0004.320B] [*0240.0020.0004.320B] # PARENTHESIZED HANGUL THIEUTH; COMPATSEQ
320C ; [*023F.0020.0004.320C] [.0EEE.0020.0004.320C] [*0240.0020.0004.320C] # PARENTHESIZED HANGUL PHIEUPH; COMPATSEQ
320D ; [*023F.0020.0004.320D] [.0EEF.0020.0004.320D] [*0240.0020.0004.320D] # PARENTHESIZED HANGUL HIEUH; COMPATSEQ
320E ; [*023F.0020.0004.320E] [.0EDD.0020.0004.320E] [.0F39.0020.0004.320E] [*0240.0020.0004.320E] # PARENTHESIZED HANGUL KIYEOK A; COMPATSEQ
320F ; [*023F.0020.0004.320F] [.0EDF.0020.0004.320F] [.0F39.0020.0004.320F] [*0240.0020.0004.320F] # PARENTHESIZED HANGUL NIEUN A; COMPATSEQ
3210 ; [*023F.0020.0004.3210] [.0EE0.0020.0004.3210] [.0F39.0020.0004.3210] [*0240.0020.0004.3210] # PARENTHESIZED HANGUL TIKEUT A; COMPATSEQ
3211 ; [*023F.0020.0004.3211] [.0EE2.0020.0004.3211] [.0F39.0020.0004.3211] [*0240.0020.0004.3211] # PARENTHESIZED HANGUL RIEUL A; COMPATSEQ
3212 ; [*023F.0020.0004.3212] [.0EE3.0020.0004.3212] [.0F39.0020.0004.3212] [*0240.0020.0004.3212] # PARENTHESIZED HANGUL MIEUM A; COMPATSEQ
3213 ; [*023F.0020.0004.3213] [.0EE4.0020.0004.3213] [.0F39.0020.0004.3213] [*0240.0020.0004.3213] # PARENTHESIZED HANGUL PIEUP A; COMPATSEQ
3214 ; [*023F.0020.0004.3214] [.0EE6.0020.0004.3214] [.0F39.0020.0004.3214] [*0240.0020.0004.3214] # PARENTHESIZED HANGUL SIOS A; COMPATSEQ
3215 ; [*023F.0020.0004.3215] [.0EE8.0020.0004.3215] [.0F39.0020.0004.3215] [*0240.0020.0004.3215] # PARENTHESIZED HANGUL IEUNG A; COMPATSEQ
3216 ; [*023F.0020.0004.3216] [.0EE9.0020.0004.3216] [.0F39.0020.0004.3216] [*0240.0020.0004.3216] # PARENTHESIZED HANGUL CIEUC A; COMPATSEQ
3217 ; [*023F.0020.0004.3217] [.0EEB.0020.0004.3217] [.0F39.0020.0004.3217] [*0240.0020.0004.3217] # PARENTHESIZED HANGUL CHIEUCH A; COMPATSEQ
3218 ; [*023F.0020.0004.3218] [.0EEC.0020.0004.3218] [.0F39.0020.0004.3218] [*0240.0020.0004.3218] # PARENTHESIZED HANGUL KHIEUKH A; COMPATSEQ
3219 ; [*023F.0020.0004.3219] [.0EED.0020.0004.3219] [.0F39.0020.0004.3219] [*0240.0020.0004.3219] # PARENTHESIZED HANGUL THIEUTH A; COMPATSEQ
321A ; [*023F.0020.0004.321A] [.0EEE.0020.0004.321A] [.0F39.0020.0004.321A] [*0240.0020.0004.321A] # PARENTHESIZED HANGUL PHIEUPH A; COMPATSEQ
321B ; [*023F.0020.0004.321B] [.0EEF.0020.0004.321B] [.0F39.0020.0004.321B] [*0240.0020.0004.321B] # PARENTHESIZED HANGUL HIEUH A; COMPATSEQ
321C ; [*023F.0020.0004.321C] [.0EE9.0020.0004.321C] [.0F46.0020.0004.321C] [*0240.0020.0004.321C] # PARENTHESIZED HANGUL CIEUC U; COMPATSEQ
3220 ; [*023F.0020.0004.3220] [.4E00.0020.0004.3220] [*0240.0020.0004.3220] # PARENTHESIZED IDEOGRAPH ONE; COMPATSEQ
3221 ; [*023F.0020.0004.3221] [.4E8C.0020.0004.3221] [*0240.0020.0004.3221] # PARENTHESIZED IDEOGRAPH TWO; COMPATSEQ
3222 ; [*023F.0020.0004.3222] [.4E09.0020.0004.3222] [*0240.0020.0004.3222] # PARENTHESIZED IDEOGRAPH THREE; COMPATSEQ
3223 ; [*023F.0020.0004.3223] [.56DB.0020.0004.3223] [*0240.0020.0004.3223] # PARENTHESIZED IDEOGRAPH FOUR; COMPATSEQ
3224 ; [*023F.0020.0004.3224] [.4E94.0020.0004.3224] [*0240.0020.0004.3224] # PARENTHESIZED IDEOGRAPH FIVE; COMPATSEQ
3225 ; [*023F.0020.0004.3225] [.516D.0020.0004.3225] [*0240.0020.0004.3225] # PARENTHESIZED IDEOGRAPH SIX; COMPATSEQ
3226 ; [*023F.0020.0004.3226] [.4E03.0020.0004.3226] [*0240.0020.0004.3226] # PARENTHESIZED IDEOGRAPH SEVEN; COMPATSEQ
3227 ; [*023F.0020.0004.3227] [.516B.0020.0004.3227] [*0240.0020.0004.3227] # PARENTHESIZED IDEOGRAPH EIGHT; COMPATSEQ
3228 ; [*023F.0020.0004.3228] [.4E5D.0020.0004.3228] [*0240.0020.0004.3228] # PARENTHESIZED IDEOGRAPH NINE; COMPATSEQ
3229 ; [*023F.0020.0004.3229] [.5341.0020.0004.3229] [*0240.0020.0004.3229] # PARENTHESIZED IDEOGRAPH TEN; COMPATSEQ
322A ; [*023F.0020.0004.322A] [.6708.0020.0004.322A] [*0240.0020.0004.322A] # PARENTHESIZED IDEOGRAPH MOON; COMPATSEQ
322B ; [*023F.0020.0004.322B] [.706B.0020.0004.322B] [*0240.0020.0004.322B] # PARENTHESIZED IDEOGRAPH FIRE; COMPATSEQ
322C ; [*023F.0020.0004.322C] [.6C34.0020.0004.322C] [*0240.0020.0004.322C] # PARENTHESIZED IDEOGRAPH WATER; COMPATSEQ
