#Property ;   Source ; Datatype ;   Category
ID_Start ;   UCD ;    Binary ; Identifiers
Pattern_Syntax ; UCD ;    Binary ; Identifiers
Pattern_White_Space ;    UCD ;    Binary ; Identifiers
XID_Continue ;   UCD ;    Binary ; Identifiers
XID_Start ;  UCD ;    Binary ; Identifiers
uts46 ;  UTS ;    Enumerated ; X-IDNA
idna2008c ;  UTS ;    Enumerated ; X-IDNA
idna2003 ;   UTS ;    Enumerated ; X-IDNA
toUts46t ;   UTS ;    String ; X-IDNA
toUts46n ;   UTS ;    String ; X-IDNA
toIdna2003 ; UTS ;    String ; X-IDNA
Dash ;   UCD ;    Binary ; Miscellaneous
Diacritic ;  UCD ;    Binary ; Miscellaneous
Extender ;   UCD ;    Binary ; Miscellaneous
Grapheme_Base ;  UCD ;    Binary ; Miscellaneous
Grapheme_Extend ;    UCD ;    Binary ; Miscellaneous
Grapheme_Link ;  UCD ;    Binary ; Miscellaneous
Hyphen ; UCD ;    Binary ; Miscellaneous
Math ;   UCD ;    Binary ; Miscellaneous
Quotation_Mark ; UCD ;    Binary ; Miscellaneous
STerm ;  UCD ;    Binary ; Miscellaneous
Terminal_Punctuation ;   UCD ;    Binary ; Miscellaneous
ISO_Comment ;    UCD ;    Miscellaneous ;  Miscellaneous
Unicode_1_Name ; UCD ;    Miscellaneous ;  Miscellaneous
Changes_When_NFKC_Casefolded ;   UCD ;    Binary ; Normalization
Full_Composition_Exclusion ; UCD ;    Binary ; Normalization
NFKD_Inert ; X-ICU ;    Binary ; Normalization
NFKC_Inert ; X-ICU ;    Binary ; Normalization
NFD_Inert ;  X-ICU ;    Binary ; Normalization
NFC_Inert ;  X-ICU ;    Binary ; Normalization
isNFKD ; Unicode ;    Binary ; Normalization
isNFKC ; Unicode ;    Binary ; Normalization
isNFD ;  Unicode ;    Binary ; Normalization
isNFC ;  Unicode ;    Binary ; Normalization
Canonical_Combining_Class ;  UCD ;    Enumerated ; Normalization
Decomposition_Type ; UCD ;    Enumerated ; Normalization
NFC_Quick_Check ;    UCD ;    Enumerated ; Normalization
NFD_Quick_Check ;    UCD ;    Enumerated ; Normalization
NFKC_Quick_Check ;   UCD ;    Enumerated ; Normalization
NFKD_Quick_Check ;   UCD ;    Enumerated ; Normalization
Trail_Canonical_Combining_Class ;    X-ICU ;    Enumerated ; Normalization
Lead_Canonical_Combining_Class ; X-ICU ;    Enumerated ; Normalization
NFKC_Casefold ;  UCD ;    String ; Normalization
toNfkd ; Unicode ;    String ; Normalization
toNfkc ; Unicode ;    String ; Normalization
toNfd ;  Unicode ;    String ; Normalization
toNfc ;  Unicode ;    String ; Normalization
ASCII_Hex_Digit ;    UCD ;    Binary ; Numeric
Hex_Digit ;  UCD ;    Binary ; Numeric
Numeric_Type ;   UCD ;    Enumerated ; Numeric
Numeric_Value ;  UCD ;    Numeric ;    Numeric
xdigit ; UTS ;    Binary ; X-Regex
print ;  UTS ;    Binary ; X-Regex
graph ;  UTS ;    Binary ; X-Regex
blank ;  UTS ;    Binary ; X-Regex
alnum ;  UTS ;    Binary ; X-Regex
Join_Control ;   UCD ;    Binary ; Shaping and Rendering
Segment_Starter ;    X-ICU ;   Binary ; Shaping and Rendering
East_Asian_Width ;   UCD ;    Enumerated ; Shaping and Rendering
Grapheme_Cluster_Break ; UCD ;    Enumerated ; Shaping and Rendering
Joining_Group ;  UCD ;    Enumerated ; Shaping and Rendering
Joining_Type ;   UCD ;    Enumerated ; Shaping and Rendering
Line_Break ; UCD ;    Enumerated ; Shaping and Rendering
Sentence_Break ; UCD ;    Enumerated ; Shaping and Rendering
Word_Break ; UCD ;    Enumerated ; Shaping and Rendering

#Bidi_Paired_Bracket ; UCD ;    String ; Bidirectional
Bidi_Paired_Bracket_Type ; UCD ;    Enumerated ; Bidirectional
#Indic_Positional_Category ; UCD ;    Enumerated ; Miscellaneous
#Indic_Syllabic_Category ; UCD ;    Enumerated ; Miscellaneous
Name ; UCD ;    String ; General
#Name_Alias ; UCD ;    String ; General
Script_Extensions ; UCD ;    String ; General

ANY ; UTS ;    Binary ; X-Regex
ASCII ; UTS ;    Binary ; X-Regex
bmp ; UTS ;    Binary ; X-Regex
emoji ; UTR ;    Enumerated ; X-Emoji
idna2008 ; UTS ;    Binary ; X-IDNA
uca ; UTS ;    Binary ; X-UCA
uca2 ; UTS ;    Binary ; X-UCA
uca2.5 ; UTS ;    Binary ; X-UCA
uca3 ; UTS ;    Binary ; X-UCA
#Subheader ; UCD ;    String ; X-NamesList
