4F1E	sǎn(57)
4F1F	wěi(575)
4F20	chuán(704) zhuàn(12)
4F24	shāng(393)
4F2A	wěi(48)
4F2F	bó(137) bo(56)
4F30	gū(67)
4F34	bàn(106)
4F36	ling(15)
4F38	shēn(307)
4F3A	cì(24)
4F3C	shì(599) sì(401)
4F43	diàn(12)
4F46	dàn(2345)
4F4D	wèi(1252)
4F4E	dī(664)
4F4F	zhù(1793)
4F51	yòu(11)
4F53	tǐ(1746)
4F55	hé(691)
4F59	yú(287)
4F5B	fú(252)
4F5C	zuò(4832)
4F60	nǐ(10944)
4F69	pèi(29)
4F73	jiā(21)
4F7F	shǐ(2283)
4F86	lái(14549)
4F8B	lì(369)
4F8D	shì(20)
4F9B	gōng(305) gòng(11)
4F9D	yī(341)
4FA6	zhēn(51)
4FA7	cè(125)
4FAE	wǔ(32)
4FB5	qīn(341)
4FBF	biàn(1235) pián(58)
4FC3	cù(140)
4FC4	é(12)
4FD7	sú(51)
4FD8	fú(31)
4FDD	bǎo(852)
4FE1	xìn(1068)
4FE9	liǎ(196)
4FED	jiǎn(9)
4FEE	xiū(464)
4FEF	fǔ(22)
4FF1	jù(18)
4FFA	ǎn(122)
5006	liǎ(196)
5009	cāng(47)
500B	gè(11693) ge(1891) gě(18)
500D	bèi(219)
5011	men(14950)
5012	dào(530) dǎo(365)
5018	tǎng(45)
5019	hou(2060) hòu(300)
501A	yǐ(34)
501F	jiè(204)
5021	chàng(55)
5026	juàn(28)
503A	zhài(36)
503C	zhí(341)
503E	qīng(175)
5047	jiǎ(222) jià(44)
5049	wěi(575)
504E	wēi(16)
504F	piān(153)
505A	zuò(2166)
505C	tíng(510)
5065	jiàn(142)
5074	cè(125)
5075	zhēn(51)
5076	ǒu(64)
5077	tōu(204)
507D	wěi(48)
507F	cháng(11)
5085	fu(201)
508D	bàng(47)
5098	sǎn(57)
5099	bèi(784)
50A8	chǔ(25)
50AC	cuī(41)
50B2	ào(67)
50B3	chuán(704) zhuàn(12)
50B5	zhài(36)
50B7	shāng(393)
50BB	shǎ(62)
50BE	qīng(175)
50C5	jǐn(402)
50CF	xiàng(233)
50DA	liáo(56)
50F1	gù(25)
50F5	jiāng(34)
50F9	jià(430)
5100	yí(120)
5104	yì(195)
5109	jiǎn(9)
511F	cháng(11)
512A	yōu(287)
5132	chǔ(25)
513F	r(3254) ér(581)
5141	yǔn(102)
5143	yuán(325)
5144	xiōng(97) xiong(25)
5145	chōng(375)
5148	xiān(1962)
5149	guāng(1636)
514B	kè(172)
514D	miǎn(193)
5152	r(3254) ér(581)
5154	tù(100)
515A	dǎng(2652)
515C	dōu(43)
5165	rù(784)
5167	nèi(1434)
5168	quán(2824)
5169	liǎng(3229)
516B	bā(1123)
516C	gōng(1289)
516D	liù(1035)
5171	gòng(1298)
5173	guān(1758)
5174	xìng(499) xīng(164)
5175	bīng(536)
5176	qí(1458)
5177	jù(705) ju(30)
5178	diǎn(98)
517B	yǎng(430)
517C	jiān(40)
517D	shòu(40)
5185	nèi(1434)
5188	gāng(37)
518A	cè(21)
518C	cè(21)
518D	zài(1697)
5192	mào(187)
5199	xiě(1171)
519B	jūn(1842)
519C	nóng(1281)
51A4	yuān(48)
51AC	dōng(272)
51B0	bīng(167)
51B2	chōng(428) chòng(33)
51B3	jué(1503)
51B5	kuàng(719)
51B6	yě(61)
51B7	lěng(453)
51BB	dòng(133)
51C0	jìng(152)
51C4	qī(16)
51C6	zhǔn(897)
51C9	liáng(129)
51CD	dòng(133)
51CF	jiǎn(300)
51D1	còu(69)
51DD	níng(138)
51E0	jǐ(2523) jī(216)
51E1	fán(135)
51E4	fèng(16)
51EB	fú(12)
51ED	píng(134)
51F0	huáng(16)
51F3	dèng(87)
51F6	xiōng(78)
51F8	tū(31)
51F9	āo(31)
51FA	chū(6753)
51FB	jī(644)
51FF	záo(34)
5200	dāo(284)
5206	fēn(2405) fèn(559) fen(532)
5207	qiè(998) qiē(70)
520A	kān(50)
5211	xíng(115)
5212	huà(438) huá(68)
5217	liè(270)
5219	zé(535)
521A	gāng(873)
521B	chuàng(435) chuāng(13)
521D	chū(405)
5224	pàn(252)
5225	bié(2043) biè(14)
5228	páo(12)
5229	lì(1593) li(16)
522B	bié(2043) biè(14)
522E	guā(105)
5230	dào(10331) dao(18)
5236	zhì(1850)
5237	shuā(140)
5239	shā(17) chà(14)
523A	cì(162)
523B	kè(653)
5242	jì(79)
5247	zé(535)
524A	xuē(194) xiāo(33)
524D	qián(3617)
524E	shā(17) chà(14)
5251	jiàn(79)
5254	tī(12)
5256	pōu(24)
525B	gāng(873)
525D	bō(212)
5265	bō(212)
5267	jù(123)
5269	shèng(199)
526A	jiǎn(39)
526F	fù(313)
5272	gē(128)
5275	chuàng(435) chuāng(13)
527F	jiǎo(25)
5287	jù(123)
5288	pī(17)
528D	jiàn(79)
5291	jì(79)
529B	lì(2488) li(97)
529D	quàn(121)
529E	bàn(1187)
529F	gōng(381)
52A0	jiā(1861)
52A1	wu(473) wù(445)
52A3	liè(26)
52A8	dòng(5030)
52A9	zhù(464)
52AA	nǔ(251)
52B1	lì(93)
52B2	jìn(294)
52B3	láo(856)
52BF	shì(442) shi(10)
52C1	jìn(294)
52C3	bó(54)
52C7	yǒng(223)
52C9	miǎn(37)
52D2	lēi(13)
52D5	dòng(5030)
52D8	kān(13)
52D9	wu(473) wù(445)
52DD	shèng(745)
52DE	láo(856)
52E2	shì(442) shi(10)
52E4	qín(100)
52F5	lì(93)
52F8	quàn(121)
52FB	yún(34)
52FE	gōu(42)
5300	yún(34)
5305	bāo(706)
5306	cōng(124)
5316	huà(2148)
5317	běi(726)
5319	shi(13)
5320	jiang(70) jiàng(16)
532A	fěi(118)
532F	huì(73)
5339	pǐ(79)
533A	qū(1211)
533B	yī(460)
533E	biǎn(23)
5340	qū(1211)
5341	shí(4082)
5343	qiān(881)
5347	shēng(197)
5348	wǔ(258) wu(12)
534A	bàn(1143)
534E	huá(29)
534F	xié(150)
5351	bēi(13)
5354	xié(150)
5355	dān(603)
5356	mài(479) mai(51)
5357	nán(749)
535A	bó(121)
535C	bo(25)
5360	zhàn(343)
5361	kǎ(28)
5367	wò(45)
536B	wèi(340)
5370	yìn(300)
5371	wēi(308)
5373	jí(511)
5374	què(1157)
5375	luǎn(87)
5377	juǎn(115) juàn(14)
5378	xiè(28)
537B	què(1157)
5382	chǎng(731)
5385	tīng(59)
5386	lì(819)
5389	lì(146)
538B	yā(625)
538C	yàn(67)
5395	cè(10)
5398	lí(69)
539A	hòu(202)
539F	yuán(1701)
53A2	xiāng(18)
53A6	shà(17)
53A8	chú(48)
53AD	yàn(67)
53B2	lì(146)
53BB	qù(7347)
53BF	xiàn(429)
53C2..53C3	cān(525) shēn(25)
53C8	yòu(4892)
53CA	jí(721)
53CB	you(437) yǒu(275)
53CC	shuāng(373)
53CD	fǎn(2114)
53D1	fā(4834) fa(174) fà(80)
53D4	shū(215) shu(153)
53D6	qǔ(916)
53D7	shòu(1082)
53D8	biàn(1669)
53D9	xù(18)
53DB	pàn(68)
53E0	dié(39)
53E2	cóng(69)
53E3	kǒu(1647) kou(74)
53E4	gǔ(440)
53E5	jù(624)
53E6	lìng(476)
53EA	zhǐ(3118) zhī(749)
53EB	jiào(2238)
53EC	zhào(235)
53ED	ba(25)
53EE	dīng(38)
53EF	kě(6054)
53F0	tái(530)
53F2	shǐ(847)
53F3	yòu(490)
53F6	yè(301)
53F7	hào(462) hao(16) háo(12)
53F8	sī(309)
53F9	tàn(153)
53FC	diāo(16)
5401	xū(20) yù(12)
5403	chī(1684)
5404	gè(1806)
5406	yāo(37)
5408	hé(1585)
5409	jí(13)
540A	diào(59)
540C	tóng(4634) tong(34) tòng(17)
540D	míng(767)
540E	hòu(4342)
5410	tǔ(73) tù(38)
5411	xiàng(2542)
5413	xià(135)
5417	ma(1456) má(93)
541B	jūn(34)
541E	tūn(30)
541F	yín(24)
5426	fǒu(230)
5427	ba(2073)
5428	dūn(157)
5429	fēn(48)
542B	hán(320)
542C	tīng(2028) ting(48)
542D	kēng(10)
542F	qǐ(60)
5435	chǎo(85)
5436	ne(2307) nà(13)
5438	xī(371)
5439	chuī(239)
543B	wěn(10)
543C	hǒu(63)
5440	ya(1018) yā(398)
5443	è(14)
5446	dāi(136)
5448	chéng(40)
544A	gào(995)
5450	ne(2307) nà(13)
5457	bei(22)
5458	yuán(1766)
545C	wū(11)
5462	ne(2307) ní(21)
5468	zhōu(396)
5473	wèi(281)
5475	ā(392) hē(64)
5478	pēi(32)
547B	shēn(13)
547C	hū(378) hu(107)
547D	mìng(2703)
5480	jǔ(15)
5482	zā(18)
5486	páo(19)
548B	zǎ(17)
548C	hé(9513) huo(38) he(24) hè(9)
5490	fu(72)
5492	zhòu(11)
5495	gu(14)
5496	kā(9)
5499	lóng(26)
549B	níng(11)
54A6	yí(41)
54A7	lie(53)
54AC	yǎo(166)
54B1	zán(741) zan(11)
54B3	hāi(46) ké(39)
54B8	xián(10)
54BD	yàn(29) yè(23) yān(9)
54C0	āi(55)
54C1	pǐn(876)
