cjkAlternateMorohashi ; kAlternateMorohashi ; Provisional

cjkCheungBauerIndex ; kCheungBauerIndex ; Provisional
cjkCowles ; kCowles ; Provisional
cjkDaeJaweon ; kDaeJaweon ; Provisional
cjkFennIndex ; kFennIndex ; Provisional
cjkGSR ; kGSR ; Provisional
cjkHanYu ; kHanYu ; Provisional
cjkIRGDaeJaweon ; kIRGDaeJaweon ; Provisional
cjkIRGDaiKanwaZiten ; kIRGDaiKanwaZiten ; Provisional
cjkIRGHanyuDaZidian ; kIRGHanyuDaZidian ; Provisional
cjkIRGKangXi ; kIRGKangXi ; Provisional
cjkKangXi ; kKangXi ; Provisional
cjkKarlgren ; kKarlgren ; Provisional
cjkLau ; kLau ; Provisional
cjkMatthews ; kMatthews ; Provisional
cjkMeyerWempe ; kMeyerWempe ; Provisional
cjkMorohashi ; kMorohashi ; Provisional
cjkNelson ; kNelson ; Provisional
cjkSBGY ; kSBGY ; Provisional
cjkCangjie ; kCangjie ; Provisional
cjkCheungBauer ; kCheungBauer ; Provisional
cjkCihaiT ; kCihaiT ; Provisional
cjkFenn ; kFenn ; Provisional
cjkFourCornerCode ; kFourCornerCode ; Provisional
cjkFrequency ; kFrequency ; Provisional
cjkGradeLevel ; kGradeLevel ; Provisional
cjkHDZRadBreak ; kHDZRadBreak ; Provisional
cjkHKGlyph ; kHKGlyph ; Provisional
cjkPhonetic ; kPhonetic ; Provisional
cjkBigFive ; kBigFive ; Provisional
cjkCCCII ; kCCCII ; Provisional
cjkCNS1986 ; kCNS1986 ; Provisional
cjkCNS1992 ; kCNS1992 ; Provisional
cjkEACC ; kEACC ; Provisional
cjkGB0 ; kGB0 ; Provisional
cjkGB1 ; kGB1 ; Provisional
cjkGB3 ; kGB3 ; Provisional
cjkGB5 ; kGB5 ; Provisional
cjkGB7 ; kGB7 ; Provisional
cjkGB8 ; kGB8 ; Provisional
cjkHKSCS ; kHKSCS ; Provisional
cjkIBMJapan ; kIBMJapan ; Provisional
cjkJa ; kJa ; Provisional
cjkJis0 ; kJis0 ; Provisional
cjkJis1 ; kJis1 ; Provisional
cjkJIS0213 ; kJIS0213 ; Provisional
cjkKPS0 ; kKPS0 ; Provisional
cjkKPS1 ; kKPS1 ; Provisional
cjkKSC0 ; kKSC0 ; Provisional
cjkKSC1 ; kKSC1 ; Provisional
cjkMainlandTelegraph ; kMainlandTelegraph ; Provisional
cjkPseudoGB1 ; kPseudoGB1 ; Provisional
cjkTaiwanTelegraph ; kTaiwanTelegraph ; Provisional
cjkXerox ; kXerox ; Provisional
cjkRSAdobe_Japan1_6 ; kRSAdobe_Japan1_6 ; Provisional
cjkRSJapanese ; kRSJapanese ; Provisional
cjkRSKangXi ; kRSKangXi ; Provisional
cjkRSKanWa ; kRSKanWa ; Provisional
cjkRSKorean ; kRSKorean ; Provisional
cjkCantonese ; kCantonese ; Provisional
cjkDefinition ; kDefinition ; Provisional
cjkHangul ; kHangul ; Provisional
cjkHanyuPinlu ; kHanyuPinlu ; Provisional
cjkHanyuPinyin ; kHanyuPinyin ; Provisional
cjkJapaneseKun ; kJapaneseKun ; Provisional
cjkJapaneseOn ; kJapaneseOn ; Provisional
cjkKorean ; kKorean ; Provisional
cjkTang ; kTang ; Provisional
cjkVietnamese ; kVietnamese ; Provisional
cjkXHC1983 ; kXHC1983 ; Provisional
cjkSemanticVariant ; kSemanticVariant ; Provisional
cjkSpecializedSemanticVariant ; kSpecializedSemanticVariant ; Provisional
cjkZVariant ; kZVariant ; Provisional
cjkJinmeiyoKanji ; kJinmeiyoKanji ; Provisional
cjkJoyoKanji ; kJoyoKanji ; Provisional
cjkKoreanEducationHanja ; kKoreanEducationHanja ; Provisional
cjkKoreanName ; kKoreanName ; Provisional
cjkTGH ; kTGH ; Provisional
# 13.0
cjkTGHZ2013              ; kTGHZ2013 ; Provisional
# 14.0
cjkStrange               ; kStrange ; Provisional
# 15.0
cjkAlternateTotalStrokes ; kAlternateTotalStrokes ; Provisional
# 15.1
cjkJapanese              ; kJapanese ; Provisional
cjkMojiJoho              ; kMojiJoho ; Provisional
cjkSMSZD2003Index        ; kSMSZD2003Index ; Provisional
cjkSMSZD2003Readings     ; kSMSZD2003Readings ; Provisional
# 16.0
cjkFanqie                ; kFanqie ; Provisional
cjkZhuang                ; kZhuang ; Provisional

# [183-C29] Consensus: In TangutSources.txt,
# change the tag kRSTUnicode to kTGT_RSUnicode.
# For Unicode Version 17.0. See L2/25-087 item 1.9.
# (Changed between 17 alpha and beta.)
kTGT_RSUnicode           ; kTGT_RSUnicode ; kRSTUnicode ; Provisional

# [183-C30] Consensus: In NushuSources.txt,
