# LinkTermination.txt
# Date: 2025-12-05 16:48:30 GMT 
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# The usage and stability of these values is covered in https://www.unicode.org/reports/tr58/
#

# ================================================

# Property:	LinkTermination

#  All code points not explicitly listed for LinkTermination
#  have the value Hard.

# @missing: 0000..10FFFF; Hard

# ================================================

0021..0022    ; Soft    # 1.1    [2] EXCLAMATION MARK..QUOTATION MARK
0027          ; Soft    # 1.1        APOSTROPHE
002C          ; Soft    # 1.1        COMMA
002E          ; Soft    # 1.1        FULL STOP
003A..003B    ; Soft    # 1.1    [2] COLON..SEMICOLON
003F          ; Soft    # 1.1        QUESTION MARK
00AB          ; Soft    # 1.1        LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00BB          ; Soft    # 1.1        RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
037E          ; Soft    # 1.1        GREEK QUESTION MARK
0387          ; Soft    # 1.1        GREEK ANO TELEIA
0589          ; Soft    # 1.1        ARMENIAN FULL STOP
05C3          ; Soft    # 1.1        HEBREW PUNCTUATION SOF PASUQ
060C          ; Soft    # 1.1        ARABIC COMMA
061B          ; Soft    # 1.1        ARABIC SEMICOLON
061D          ; Soft    # 14.0       ARABIC END OF TEXT MARK
061E          ; Soft    # 4.1        ARABIC TRIPLE DOT PUNCTUATION MARK
061F          ; Soft    # 1.1        ARABIC QUESTION MARK
06D4          ; Soft    # 1.1        ARABIC FULL STOP
0700..070A    ; Soft    # 3.0   [11] SYRIAC END OF PARAGRAPH..SYRIAC CONTRACTION
070C          ; Soft    # 3.0        SYRIAC HARKLEAN METOBELUS
07F8..07F9    ; Soft    # 5.0    [2] NKO COMMA..NKO EXCLAMATION MARK
0830..0835    ; Soft    # 5.2    [6] SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION SHIYYAALAA
0837..083E    ; Soft    # 5.2    [8] SAMARITAN PUNCTUATION MELODIC QITSA..SAMARITAN PUNCTUATION ANNAAU
085E          ; Soft    # 6.0        MANDAIC PUNCTUATION
0964..0965    ; Soft    # 1.1    [2] DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0E5A..0E5B    ; Soft    # 1.1    [2] THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0F08          ; Soft    # 2.0        TIBETAN MARK SBRUL SHAD
0F0D..0F12    ; Soft    # 2.0    [6] TIBETAN MARK SHAD..TIBETAN MARK RGYA GRAM SHAD
104A..104B    ; Soft    # 3.0    [2] MYANMAR SIGN LITTLE SECTION..MYANMAR SIGN SECTION
1361..1368    ; Soft    # 3.0    [8] ETHIOPIC WORDSPACE..ETHIOPIC PARAGRAPH SEPARATOR
166E          ; Soft    # 3.0        CANADIAN SYLLABICS FULL STOP
16EB..16ED    ; Soft    # 3.0    [3] RUNIC SINGLE PUNCTUATION..RUNIC CROSS PUNCTUATION
1735..1736    ; Soft    # 3.2    [2] PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
17D4..17D6    ; Soft    # 3.0    [3] KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17DA          ; Soft    # 3.0        KHMER SIGN KOOMUUT
1802..1805    ; Soft    # 3.0    [4] MONGOLIAN COMMA..MONGOLIAN FOUR DOTS
1808..1809    ; Soft    # 3.0    [2] MONGOLIAN MANCHU COMMA..MONGOLIAN MANCHU FULL STOP
1944..1945    ; Soft    # 4.0    [2] LIMBU EXCLAMATION MARK..LIMBU QUESTION MARK
1AA8..1AAB    ; Soft    # 5.2    [4] TAI THAM SIGN KAAN..TAI THAM SIGN SATKAANKUU
1B4E..1B4F    ; Soft    # 16.0   [2] BALINESE INVERTED CARIK SIKI..BALINESE INVERTED CARIK PAREREN
1B5A..1B5B    ; Soft    # 5.0    [2] BALINESE PANTI..BALINESE PAMADA
1B5D..1B5F    ; Soft    # 5.0    [3] BALINESE CARIK PAMUNGKAH..BALINESE CARIK PAREREN
1B7D..1B7E    ; Soft    # 14.0   [2] BALINESE PANTI LANTANG..BALINESE PAMADA LANTANG
1B7F          ; Soft    # 16.0       BALINESE PANTI BAWAK
1C3B..1C3F    ; Soft    # 5.1    [5] LEPCHA PUNCTUATION TA-ROL..LEPCHA PUNCTUATION TSHOOK
1C7E..1C7F    ; Soft    # 5.1    [2] OL CHIKI PUNCTUATION MUCAAD..OL CHIKI PUNCTUATION DOUBLE MUCAAD
2018..2019    ; Soft    # 1.1    [2] LEFT SINGLE QUOTATION MARK..RIGHT SINGLE QUOTATION MARK
201B..201D    ; Soft    # 1.1    [3] SINGLE HIGH-REVERSED-9 QUOTATION MARK..RIGHT DOUBLE QUOTATION MARK
201F          ; Soft    # 1.1        DOUBLE HIGH-REVERSED-9 QUOTATION MARK
2024          ; Soft    # 1.1        ONE DOT LEADER
2039..203A    ; Soft    # 1.1    [2] SINGLE LEFT-POINTING ANGLE QUOTATION MARK..SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
203C..203D    ; Soft    # 1.1    [2] DOUBLE EXCLAMATION MARK..INTERROBANG
2047          ; Soft    # 3.2        DOUBLE QUESTION MARK
2048..2049    ; Soft    # 3.0    [2] QUESTION EXCLAMATION MARK..EXCLAMATION QUESTION MARK
275B..275E    ; Soft    # 1.1    [4] HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT..HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
275F..2760    ; Soft    # 6.0    [2] HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT..HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
2CF9..2CFB    ; Soft    # 4.1    [3] COPTIC OLD NUBIAN FULL STOP..COPTIC OLD NUBIAN INDIRECT QUESTION MARK
2E00..2E0D    ; Soft    # 4.1   [14] RIGHT ANGLE SUBSTITUTION MARKER..RIGHT RAISED OMISSION BRACKET
2E1C..2E1D    ; Soft    # 4.1    [2] LEFT LOW PARAPHRASE BRACKET..RIGHT LOW PARAPHRASE BRACKET
2E20..2E21    ; Soft    # 5.1    [2] LEFT VERTICAL BAR WITH QUILL..RIGHT VERTICAL BAR WITH QUILL
2E2E          ; Soft    # 5.1        REVERSED QUESTION MARK
2E3C          ; Soft    # 7.0        STENOGRAPHIC FULL STOP
2E41          ; Soft    # 7.0        REVERSED COMMA
2E4C          ; Soft    # 11.0       MEDIEVAL COMMA
2E4E          ; Soft    # 11.0       PUNCTUS ELEVATUS MARK
2E4F          ; Soft    # 12.0       CORNISH VERSE DIVIDER
2E53..2E54    ; Soft    # 14.0   [2] MEDIEVAL EXCLAMATION MARK..MEDIEVAL QUESTION MARK
3001..3002    ; Soft    # 1.1    [2] IDEOGRAPHIC COMMA..IDEOGRAPHIC FULL STOP
A4FE..A4FF    ; Soft    # 5.2    [2] LISU PUNCTUATION COMMA..LISU PUNCTUATION FULL STOP
A60D..A60F    ; Soft    # 5.1    [3] VAI COMMA..VAI QUESTION MARK
A6F3..A6F7    ; Soft    # 5.2    [5] BAMUM FULL STOP..BAMUM QUESTION MARK
A876..A877    ; Soft    # 5.0    [2] PHAGS-PA MARK SHAD..PHAGS-PA MARK DOUBLE SHAD
A8CE..A8CF    ; Soft    # 5.1    [2] SAURASHTRA DANDA..SAURASHTRA DOUBLE DANDA
