# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty.
CM QU_Pf QU_Pi SP ; Yes ; 
BAmEastAsian CM QU_Pf CM ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi ; Yes ; 
BAmEastAsian QU_Pf QU_Pi CM ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP ; Yes ; 
SP IS CM PRmEastAsian ; SP IS CM / PRmEastAsian ; 
SP QU_Pf QU_Pi CM ; Yes ; 
SP QU_Pf QU_Pi SP ; Yes ; 
SP QU_Pf QU_Pi QU_Pi ; Yes ; 
QUmPimPf QU_Pi SP CM ; Yes ; 
QUmPimPf QU_Pi SP HY ; Yes ; 
QUmPimPf QU_Pi SP HH ; Yes ; 
QUmPimPf QU_Pi SP ZWJ ; Yes ; 
OPmEastAsian SP IS CM ; Yes ; SP IS CM / PRmEastAsian
OPmEastAsian SP IS ZWJ ; Yes ; 
OPmEastAsian SP HY CM ; Yes ; 
OPmEastAsian SP HY ZWJ ; Yes ; 
OPmEastAsian SP QU_Pf CM ; Yes ; 
OPmEastAsian SP HH CM ; Yes ; 
OPmEastAsian SP HH ZWJ ; Yes ; 
QU_Pi SP HY CM ; Yes ; 
QU_Pi SP HY ZWJ ; Yes ; 
QU_Pi SP HH CM ; Yes ; 
QU_Pi SP HH ZWJ ; Yes ; 
QU_Pi QU_Pi SP CM ; Yes ; 
QU_Pi QU_Pi SP HY ; Yes ; 
QU_Pi QU_Pi SP HH ; Yes ; 
QU_Pi QU_Pi SP ZWJ ; Yes ; 
JL CM QU_Pi CM ; Yes ; 
JL CM QU_Pi JL ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi PR_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi ID_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi OP_EastAsian ; JL CM / QU_Pi JL ; 
JL CM QU_Pi CL_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi AL_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi EB_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi BA_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi CJ ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi H2 ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi H3 ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi PO_EastAsian ; JL CM / QU_Pi JL ; JL / QU_Pi JL
JL CM QU_Pi GL_EastAsian ; JL CM / QU_Pi JL ; 
JL CM QU_Pf CM ; Yes ; JL QU_Pf CM / JL
JL CM QU_Pf ZWJ ; Yes ; 
JL QU_Pf CM JL ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM PR_EastAsian ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM ID_EastAsian ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM OP_EastAsian ; JL QU_Pf CM / JL ; 
JL QU_Pf CM AL_EastAsian ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM EB_EastAsian ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM H2 ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM H3 ; JL QU_Pf CM / JL ; JL / QU_Pi JL
JL QU_Pf CM PO_EastAsian ; JL QU_Pf CM / JL ; JL / QU_Pi JL
CB ZWJ HY CM ; Yes ; 
CB ZWJ HY ZWJ ; Yes ; 
CB ZWJ HH CM ; Yes ; 
CB ZWJ HH ZWJ ; Yes ; 
RI ZWJ RI CM ; Yes ; RI RI CM / ALmEastAsianmDottedCircle
RI ZWJ RI ZWJ ; Yes ; 
RI ZWJ RI RI ; RI RI / ALmEastAsianmDottedCircle ; RI RI / ALmEastAsianmDottedCircle
RI RI CM ALmEastAsianmDottedCircle ; RI RI CM / ALmEastAsianmDottedCircle ; 
CM QU_Pf QU_Pi SP CM ; Yes ; 
CM QU_Pf QU_Pi SP HY ; Yes ; 
CM QU_Pf QU_Pi SP HH ; Yes ; 
CM QU_Pf QU_Pi SP ZWJ ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi CM ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP CM ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HY ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HH ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP ZWJ ; Yes ; 
SP QU_Pf QU_Pi SP CM ; Yes ; 
SP QU_Pf QU_Pi SP HY ; Yes ; 
SP QU_Pf QU_Pi SP HH ; Yes ; 
SP QU_Pf QU_Pi SP ZWJ ; Yes ; 
SP QU_Pf QU_Pi QU_Pi CM ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP ; Yes ; 
QUmPimPf QU_Pi SP HY CM ; Yes ; 
QUmPimPf QU_Pi SP HY ZWJ ; Yes ; 
QUmPimPf QU_Pi SP HH CM ; Yes ; 
QUmPimPf QU_Pi SP HH ZWJ ; Yes ; 
QU_Pi QU_Pi SP HY CM ; Yes ; 
QU_Pi QU_Pi SP HY ZWJ ; Yes ; 
QU_Pi QU_Pi SP HH CM ; Yes ; 
QU_Pi QU_Pi SP HH ZWJ ; Yes ; 
RI ZWJ RI CM RI ; RI RI CM / ALmEastAsianmDottedCircle ; RI RI / ALmEastAsianmDottedCircle
CM QU_Pf QU_Pi SP HY CM ; Yes ; 
CM QU_Pf QU_Pi SP HY ZWJ ; Yes ; 
CM QU_Pf QU_Pi SP HH CM ; Yes ; 
CM QU_Pf QU_Pi SP HH ZWJ ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP CM ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HY ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HH ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP ZWJ ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HY CM ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HY ZWJ ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HH CM ; Yes ; 
BAmEastAsian QU_Pf QU_Pi SP HH ZWJ ; Yes ; 
SP QU_Pf QU_Pi SP HY CM ; Yes ; 
SP QU_Pf QU_Pi SP HY ZWJ ; Yes ; 
SP QU_Pf QU_Pi SP HH CM ; Yes ; 
SP QU_Pf QU_Pi SP HH ZWJ ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP CM ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HY ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HH ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP ZWJ ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HY CM ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HY ZWJ ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HH CM ; Yes ; 
BAmEastAsian CM QU_Pf QU_Pi SP HH ZWJ ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HY CM ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HY ZWJ ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HH CM ; Yes ; 
SP QU_Pf QU_Pi QU_Pi SP HH ZWJ ; Yes ; 
