# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty.
START ; No ; 
CM ; Yes ; 
BAmEastAsian ; Yes ; 
LF ; Yes ; 
CR ; Yes ; 
SP ; Yes ; 
EXmEastAsian ; Yes ; 
QUmPimPf ; Yes ; 
ALmEastAsianmDottedCircle ; Yes ; 
PRmEastAsian ; Yes ; 
POmEastAsian ; Yes ; 
OPmEastAsian ; Yes ; 
CP ; Yes ; 
IS ; Yes ; 
HY ; Yes ; 
SY ; Yes ; 
NU ; Yes ; 
CLmEastAsian ; Yes ; 
GLmEastAsian ; Yes ; 
QU_Pi ; Yes ; 
BB ; Yes ; 
HH ; Yes ; 
HL ; Yes ; 
JL ; Yes ; JL / QU_Pi JL
JV ; Yes ; 
JT ; Yes ; 
AK ; Yes ; 
IDmEastAsianmExtPictUnassigned ; Yes ; 
ZW ; Yes ; ZW / CM
ZWJ ; Yes ; 
B2 ; Yes ; 
WJ ; Yes ; 
PR_EastAsian ; Yes ; JL / QU_Pi JL
ID_EastAsian ; Yes ; JL / QU_Pi JL
OP_EastAsian ; Yes ; 
CL_EastAsian ; Yes ; JL / QU_Pi JL
AL_EastAsian ; Yes ; JL / QU_Pi JL
AL_DottedCircle ; Yes ; 
EBmEastAsian ; Yes ; 
EB_EastAsian ; Yes ; JL / QU_Pi JL
BA_EastAsian ; Yes ; JL / QU_Pi JL
CJ ; Yes ; JL / QU_Pi JL
H2 ; Yes ; JL / QU_Pi JL
H3 ; Yes ; JL / QU_Pi JL
PO_EastAsian ; Yes ; JL / QU_Pi JL
CB ; Yes ; 
AP ; Yes ; 
GL_EastAsian ; Yes ; 
ID_ExtPictUnassigned ; Yes ; 
RI ; Yes ; 
XX_ExtPictUnassigned ; Yes ; 
CM HY ; Yes ; 
CM QU_Pf ; Yes ; 
BAmEastAsian CM ; Yes ; 
BAmEastAsian QU_Pf ; Yes ; 
BAmEastAsian ZWJ ; Yes ; 
SP IS ; No ; SP IS / PRmEastAsian
SP QU_Pf ; No ; 
EXmEastAsian CM ; Yes ; 
EXmEastAsian ZWJ ; Yes ; 
QUmPimPf CM ; Yes ; 
QUmPimPf QU_Pi ; Yes ; 
ALmEastAsianmDottedCircle CM ; Yes ; 
ALmEastAsianmDottedCircle ZWJ ; Yes ; 
PRmEastAsian CM ; Yes ; 
PRmEastAsian OPmEastAsian ; No ; 
PRmEastAsian ZWJ ; Yes ; 
POmEastAsian CM ; Yes ; 
POmEastAsian ZWJ ; Yes ; 
OPmEastAsian CM ; Yes ; 
OPmEastAsian SP ; Yes ; 
CP CM ; Yes ; 
CP SP ; Yes ; 
CP ZWJ ; Yes ; 
IS CM ; Yes ; 
IS ZWJ ; Yes ; 
HY CM ; Yes ; 
HY ZWJ ; Yes ; 
SY CM ; Yes ; 
SY ZWJ ; Yes ; 
NU CM ; Yes ; 
NU CP ; Yes ; 
NU IS ; Yes ; 
NU SY ; Yes ; 
NU CLmEastAsian ; Yes ; 
NU ZWJ ; Yes ; 
NU CL_EastAsian ; Yes ; JL / QU_Pi JL
CLmEastAsian CM ; Yes ; 
CLmEastAsian ZWJ ; Yes ; 
GLmEastAsian CM ; Yes ; 
GLmEastAsian HY ; Yes ; 
GLmEastAsian HH ; Yes ; 
QU_Pi CM ; Yes ; 
QU_Pi SP ; Yes ; 
QU_Pi QU_Pi ; Yes ; 
BB CM ; Yes ; 
BB ZWJ ; Yes ; 
HH CM ; Yes ; 
HH ZWJ ; Yes ; 
HL CM ; Yes ; 
HL HY ; Yes ; 
HL HH ; Yes ; 
HL ZWJ ; Yes ; 
JL CM ; Yes ; JL CM / QU_Pi JL
JL QU_Pi ; Yes ; 
JL QU_Pf ; Yes ; JL QU_Pf / JL
JL ZWJ ; Yes ; 
JV CM ; Yes ; 
JV ZWJ ; Yes ; 
JT CM ; Yes ; 
JT ZWJ ; Yes ; 
AK CM ; Yes ; 
AK AK ; No ; 
AK VI ; Yes ; 
AK ZWJ ; Yes ; 
IDmEastAsianmExtPictUnassigned CM ; Yes ; 
IDmEastAsianmExtPictUnassigned ZWJ ; Yes ; 
ZW CM ; ZW / CM ; 
ZW SP ; Yes ; ZW / CM
B2 CM ; Yes ; 
B2 SP ; Yes ; 
B2 ZWJ ; Yes ; 
WJ CM ; Yes ; 
PR_EastAsian CM ; Yes ; JL CM / QU_Pi JL
PR_EastAsian ZWJ ; Yes ; 
ID_EastAsian CM ; Yes ; JL CM / QU_Pi JL
ID_EastAsian ZWJ ; Yes ; 
OP_EastAsian CM ; Yes ; 
CL_EastAsian CM ; Yes ; JL CM / QU_Pi JL
CL_EastAsian ZWJ ; Yes ; 
AL_EastAsian CM ; Yes ; JL CM / QU_Pi JL
AL_EastAsian ZWJ ; Yes ; 
AL_DottedCircle CM ; Yes ; 
AL_DottedCircle ZWJ ; Yes ; 
EBmEastAsian CM ; Yes ; 
EBmEastAsian ZWJ ; Yes ; 
EB_EastAsian CM ; Yes ; JL CM / QU_Pi JL
EB_EastAsian ZWJ ; Yes ; 
BA_EastAsian CM ; Yes ; JL CM / QU_Pi JL
BA_EastAsian ZWJ ; Yes ; 
CJ CM ; Yes ; JL CM / QU_Pi JL
CJ ZWJ ; Yes ; 
H2 CM ; Yes ; JL CM / QU_Pi JL
H2 ZWJ ; Yes ; 
H3 CM ; Yes ; JL CM / QU_Pi JL
H3 ZWJ ; Yes ; 
PO_EastAsian CM ; Yes ; JL CM / QU_Pi JL
PO_EastAsian ZWJ ; Yes ; 
CB CM ; Yes ; 
CB ZWJ ; Yes ; 
AP CM ; Yes ; 
AP ZWJ ; Yes ; 
GL_EastAsian CM ; Yes ; 
ID_ExtPictUnassigned CM ; Yes ; 
ID_ExtPictUnassigned ZWJ ; Yes ; 
RI CM ; Yes ; 
RI ZWJ ; Yes ; 
RI RI ; No ; RI RI / ALmEastAsianmDottedCircle
XX_ExtPictUnassigned CM ; Yes ; 
XX_ExtPictUnassigned ZWJ ; Yes ; 
CM HY CM ; Yes ; 
CM HY ZWJ ; Yes ; 
CM QU_Pf  ; Yes ; 
CM QU_Pf CM ; Yes ; 
CM QU_Pf QU_Pi ; Yes ; 
BAmEastAsian CM QU_Pf ; Yes ; 
BAmEastAsian QU_Pf CM ; Yes ; 
BAmEastAsian QU_Pf QU_Pi ; Yes ; 
SP IS CM ; No ; SP IS CM / PRmEastAsian
SP IS PRmEastAsian ; SP IS / PRmEastAsian ; 
SP IS ZWJ ; No ; 
SP QU_Pf QU_Pi ; Yes ; 
QUmPimPf QU_Pi CM ; Yes ; 
QUmPimPf QU_Pi SP ; Yes ; 
PRmEastAsian OPmEastAsian IS ; No ; 
OPmEastAsian SP CM ; Yes ; 
OPmEastAsian SP IS ; Yes ; SP IS / PRmEastAsian
OPmEastAsian SP HY ; Yes ; 
OPmEastAsian SP QU_Pf ; Yes ; 
OPmEastAsian SP HH ; Yes ; 
OPmEastAsian SP ZWJ ; Yes ; 
NU CP CM ; Yes ; 
NU CP ZWJ ; Yes ; 
NU IS CM ; Yes ; 
NU IS ZWJ ; Yes ; 
NU SY CM ; Yes ; 
NU SY ZWJ ; Yes ; 
NU CLmEastAsian CM ; Yes ; 
NU CLmEastAsian ZWJ ; Yes ; 
NU CL_EastAsian CM ; Yes ; JL CM / QU_Pi JL
NU CL_EastAsian ZWJ ; Yes ; 
GLmEastAsian HY CM ; Yes ; 
GLmEastAsian HY ZWJ ; Yes ; 
GLmEastAsian HH CM ; Yes ; 
GLmEastAsian HH ZWJ ; Yes ; 
QU_Pi SP CM ; Yes ; 
QU_Pi SP HY ; Yes ; 
QU_Pi SP HH ; Yes ; 
QU_Pi SP ZWJ ; Yes ; 
QU_Pi QU_Pi CM ; Yes ; 
QU_Pi QU_Pi SP ; Yes ; 
HL HY CM ; Yes ; 
HL HY ZWJ ; Yes ; 
HL HH CM ; Yes ; 
HL HH ZWJ ; Yes ; 
JL CM QU_Pi ; Yes ; 
JL CM QU_Pf ; Yes ; JL QU_Pf / JL
JL QU_Pi CM ; Yes ; 
JL QU_Pi JL ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi PR_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi ID_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi OP_EastAsian ; JL / QU_Pi JL ; 
JL QU_Pi CL_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi AL_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi EB_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi BA_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi CJ ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi H2 ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi H3 ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi PO_EastAsian ; JL / QU_Pi JL ; JL / QU_Pi JL
JL QU_Pi GL_EastAsian ; JL / QU_Pi JL ; 
JL QU_Pf CM ; Yes ; JL QU_Pf CM / JL
JL QU_Pf JL ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf ZWJ ; Yes ; 
JL QU_Pf PR_EastAsian ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf ID_EastAsian ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf OP_EastAsian ; JL QU_Pf / JL ; 
JL QU_Pf AL_EastAsian ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf EB_EastAsian ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf H2 ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf H3 ; JL QU_Pf / JL ; JL / QU_Pi JL
JL QU_Pf PO_EastAsian ; JL QU_Pf / JL ; JL / QU_Pi JL
AK VI CM ; Yes ; 
AK VI ZWJ ; Yes ; 
ZW SP EXmEastAsian ; ZW / CM ; 
ZW SP CP ; ZW / CM ; 
ZW SP IS ; ZW / CM ; SP IS / PRmEastAsian
ZW SP SY ; ZW / CM ; 
ZW SP CLmEastAsian ; ZW / CM ; 
ZW SP QU_Pf ; ZW / CM ; 
ZW SP WJ ; ZW / CM ; 
ZW SP CL_EastAsian ; ZW / CM ; JL / QU_Pi JL
ZW SP EX_EastAsian ; ZW / CM ; JL / QU_Pi JL
CB ZWJ HY ; Yes ; 
CB ZWJ HH ; Yes ; 
RI ZWJ RI ; Yes ; RI RI / ALmEastAsianmDottedCircle
RI RI CM ; No ; RI RI CM / ALmEastAsianmDottedCircle
RI RI ALmEastAsianmDottedCircle ; RI RI / ALmEastAsianmDottedCircle ; 
RI RI ZWJ ; Yes ; 
CM QU_Pf QU_Pi CM ; Yes ; 
