# From state ; class name or eot ; to state
START ; CM ; CM
START ; BAmEastAsian ; BAmEastAsian
START ; LF ; LF
START ; BK|NL ; LF
START ; CR ; CR
START ; SP ; SP
START ; EXmEastAsian ; EXmEastAsian
START ; QUmPimPf ; QUmPimPf
START ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
START ; PRmEastAsian ; PRmEastAsian
START ; POmEastAsian ; POmEastAsian
START ; OPmEastAsian ; OPmEastAsian
START ; CP ; CP
START ; IS ; IS
START ; HY ; HY
START ; SY ; SY
START ; NU ; NU
START ; CLmEastAsian ; CLmEastAsian
START ; GLmEastAsian ; GLmEastAsian
START ; QU_Pi ; QU_Pi
START ; BB ; BB
START ; QU_Pf ; QUmPimPf
START ; HH ; HH
START ; HL ; HL
START ; JL ; JL
START ; JV ; JV
START ; JT ; JT
START ; NSmEastAsian ; EXmEastAsian
START ; AK ; AK
START ; VI ; EXmEastAsian
START ; AS ; AK
START ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
START ; VF ; EXmEastAsian
START ; ZW ; ZW
START ; ZWJ ; ZWJ
START ; B2 ; B2
START ; INmEastAsian ; EXmEastAsian
START ; WJ ; WJ
START ; PR_EastAsian ; PR_EastAsian
START ; ID_EastAsian ; ID_EastAsian
START ; OP_EastAsian ; OP_EastAsian
START ; CL_EastAsian ; CL_EastAsian
START ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
START ; AL_DottedCircle ; AL_DottedCircle
START ; EBmEastAsian ; EBmEastAsian
START ; EB_EastAsian ; EB_EastAsian
START ; BA_EastAsian ; BA_EastAsian
START ; NS_EastAsian|CJ ; CJ
START ; H2 ; H2
START ; H3 ; H3
START ; EX_EastAsian ; CJ
START ; IN_EastAsian ; CJ
START ; PO_EastAsian ; PO_EastAsian
START ; CB ; CB
START ; AP ; AP
START ; GL_EastAsian ; GL_EastAsian
START ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
START ; RI ; RI
START ; EM ; ID_EastAsian
START ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
START ; SAmMnmMc ; ALmEastAsianmDottedCircle
START ; SA_Mn|SA_Mc ; CM
CM ; CM ; CM
CM ; BAmEastAsian ; BAmEastAsian
CM ; LF ; LF
CM ; BK|NL ; LF
CM ; CR ; CR
CM ; SP ; SP
CM ; EXmEastAsian ; EXmEastAsian
CM ; QUmPimPf ; QUmPimPf
CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
CM ; PRmEastAsian ; PRmEastAsian
CM ; POmEastAsian ; POmEastAsian
CM ; OPmEastAsian ; OPmEastAsian
CM ; CP ; CP
CM ; IS ; IS
CM ; HY ; CM HY
CM ; SY ; SY
CM ; NU ; NU
CM ; CLmEastAsian ; CLmEastAsian
CM ; GLmEastAsian ; GLmEastAsian
CM ; QU_Pi ; QUmPimPf
CM ; QU_Pf ; CM QU_Pf
CM ; HH ; BAmEastAsian
CM ; HL ; HL
CM ; NSmEastAsian ; EXmEastAsian
CM ; ZW ; ZW
CM ; ZWJ ; ZWJ
CM ; INmEastAsian ; EXmEastAsian
CM ; WJ ; WJ
CM ; PR_EastAsian ; PR_EastAsian
CM ; CL_EastAsian ; CL_EastAsian
CM ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
CM ; AL_DottedCircle ; AL_DottedCircle
CM ; BA_EastAsian ; BA_EastAsian
CM ; NS_EastAsian|CJ ; CJ
CM ; EX_EastAsian ; CJ
CM ; IN_EastAsian ; CJ
CM ; PO_EastAsian ; PO_EastAsian
CM ; GL_EastAsian ; GL_EastAsian
CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
CM ; SAmMnmMc ; ALmEastAsianmDottedCircle
CM ; SA_Mn|SA_Mc ; CM
BAmEastAsian ; CM ; BAmEastAsian CM
BAmEastAsian ; BAmEastAsian ; BAmEastAsian
BAmEastAsian ; LF ; LF
BAmEastAsian ; BK|NL ; LF
