# State name ; Accepting (Yes, No, or lookahead name); lookahead name or empty; Break type.
START ; No ;  ; 
Numeric Single_Quote ; No ;  ; 
ALettermExtPict Single_Quote ; No ;  ; 
Hebrew_Letter Double_Quote ; No ;  ; 
XXmExtPict ; Yes ;  ; 
LF ; Yes ;  ; 
CR ; Yes ;  ; 
WSegSpace ; Yes ;  ; 
ExtendNumLet ; Yes ;  ; 
ZWJ ; Yes ;  ; 
RI ; Yes ;  ; 
ExtendNumLet ZWJ ; Yes ;  ; 
RI ZWJ ; Yes ;  ; 
Hebrew_Letter Single_Quote Extend ; Yes ;  ; 
Hebrew_Letter Single_Quote ZWJ ; Yes ;  ; 
Numeric ; Yes ;  ; 
Numeric ExtendNumLet ; Yes ;  ; 
Numeric ZWJ ; Yes ;  ; 
ALettermExtPict ; Yes ;  ; 
Hebrew_Letter ; Yes ;  ; 
ALettermExtPict ExtendNumLet ; Yes ;  ; 
ALettermExtPict ZWJ ; Yes ;  ; 
Hebrew_Letter Single_Quote ; Yes ;  ; 
Hebrew_Letter ZWJ ; Yes ;  ; 
Katakana ; Yes ;  ; 
Katakana ExtendNumLet ; Yes ;  ; 
Katakana ZWJ ; Yes ;  ; 
