# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1-draft
# Generated: 2010-01-16, 01:33:41 GMT
# Checkin: $Revision: 1.1 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

01AA..01AB    ; restricted ; obsolete phonetic                           #  [2] (ƪ..ƫ)  LATIN LETTER REVERSED ESH LOOP..LATIN SMALL LETTER T WITH PALATAL HOOK
01B9..01BB    ; restricted ; obsolete phonetic                           #  [3] (ƹ..ƻ)  LATIN SMALL LETTER EZH REVERSED..LATIN LETTER TWO WITH STROKE
01BE          ; restricted ; archaic phonetic                            #      (ƾ)  LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
01BF          ; restricted ; archaic                                     #      (ƿ)  LATIN LETTER WYNN
01C0..01C3    ; restricted ; technical symbol (phonetic)                 #  [4] (ǀ..ǃ)  LATIN LETTER DENTAL CLICK..LATIN LETTER RETROFLEX CLICK
021C..021D    ; restricted ; archaic                                     #  [2] (Ȝ..ȝ)  LATIN CAPITAL LETTER YOGH..LATIN SMALL LETTER YOGH
0234..0236    ; restricted ; academic                                    #  [3] (ȴ..ȶ)  LATIN SMALL LETTER L WITH CURL..LATIN SMALL LETTER T WITH CURL
0250..0252    ; restricted ; technical symbol (phonetic)                 #  [3] (ɐ..ɒ)  LATIN SMALL LETTER TURNED A..LATIN SMALL LETTER TURNED ALPHA
0255          ; restricted ; technical symbol (phonetic)                 #      (ɕ)  LATIN SMALL LETTER C WITH CURL
0258          ; restricted ; technical symbol (phonetic)                 #      (ɘ)  LATIN SMALL LETTER REVERSED E
025A          ; restricted ; technical symbol (phonetic)                 #      (ɚ)  LATIN SMALL LETTER SCHWA WITH HOOK
025C..025E    ; restricted ; technical symbol (phonetic)                 #  [3] (ɜ..ɞ)  LATIN SMALL LETTER REVERSED OPEN E..LATIN SMALL LETTER CLOSED REVERSED OPEN E
025F          ; restricted ; obsolete phonetic                           #      (ɟ)  LATIN SMALL LETTER DOTLESS J WITH STROKE
0261..0262    ; restricted ; technical symbol (phonetic)                 #  [2] (ɡ..ɢ)  LATIN SMALL LETTER SCRIPT G..LATIN LETTER SMALL CAPITAL G
0264..0267    ; restricted ; technical symbol (phonetic)                 #  [4] (ɤ..ɧ)  LATIN SMALL LETTER RAMS HORN..LATIN SMALL LETTER HENG WITH HOOK
026A..026E    ; restricted ; technical symbol (phonetic)                 #  [5] (ɪ..ɮ)  LATIN LETTER SMALL CAPITAL I..LATIN SMALL LETTER LEZH
0270..0271    ; restricted ; technical symbol (phonetic)                 #  [2] (ɰ..ɱ)  LATIN SMALL LETTER TURNED M WITH LONG LEG..LATIN SMALL LETTER M WITH HOOK
0273..0274    ; restricted ; technical symbol (phonetic)                 #  [2] (ɳ..ɴ)  LATIN SMALL LETTER N WITH RETROFLEX HOOK..LATIN LETTER SMALL CAPITAL N
0276          ; restricted ; technical symbol (phonetic)                 #      (ɶ)  LATIN LETTER SMALL CAPITAL OE
0277          ; restricted ; obsoleted by IPA in 1989                    #      (ɷ)  LATIN SMALL LETTER CLOSED OMEGA
