# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1-draft
# Generated: 2010-01-16, 01:33:41 GMT
# Checkin: $Revision: 1.1 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

2018          ; restricted ; not in XID+                                 #      (‘)  LEFT SINGLE QUOTATION MARK
201A..2023    ; restricted ; not in XID+                                 # [10] (‚..‣)  SINGLE LOW-9 QUOTATION MARK..TRIANGULAR BULLET
2027          ; restricted ; technical                                   #      (‧)  HYPHENATION POINT
202A..202E    ; restricted ; default-ignorable                           #  [5] (U+202A..U+202E)  LEFT-TO-RIGHT EMBEDDING..RIGHT-TO-LEFT OVERRIDE
2030..2032    ; restricted ; not in XID+                                 #  [3] (‰..′)  PER MILLE SIGN..PRIME
2035          ; restricted ; not in XID+                                 #      (‵)  REVERSED PRIME
2038..203B    ; restricted ; not in XID+                                 #  [4] (‸..※)  CARET..REFERENCE MARK
203D          ; restricted ; not in XID+                                 #      (‽)  INTERROBANG
203F..2040    ; restricted ; technical                                   #  [2] (‿..⁀)  UNDERTIE..CHARACTER TIE
2041..2046    ; restricted ; not in XID+                                 #  [6] (⁁..⁆)  CARET INSERTION POINT..RIGHT SQUARE BRACKET WITH QUILL
204A..2052    ; restricted ; not in XID+                                 #  [9] (⁊..⁒)  TIRONIAN SIGN ET..COMMERCIAL MINUS SIGN
2060..2064    ; restricted ; default-ignorable                           #  [5] (U+2060..U+2064)  WORD JOINER..INVISIBLE PLUS
206A..206F    ; restricted ; deprecated or discouraged                   #  [6] (U+206A..U+206F)  INHIBIT SYMMETRIC SWAPPING..NOMINAL DIGIT SHAPES
20A0..20A7    ; restricted ; not in XID+                                 #  [8] (₠..₧)  EURO-CURRENCY SIGN..PESETA SIGN
20A9..20B1    ; restricted ; not in XID+                                 #  [9] (₩..₱)  WON SIGN..PESO SIGN
20D0..20DC    ; restricted ; UAX31 T4 Candidate Exclusions               # [13] (⃐..⃜)  COMBINING LEFT HARPOON ABOVE..COMBINING FOUR DOTS ABOVE
20DD..20E0    ; restricted ; not in XID+                                 #  [4] (⃝..⃠)  COMBINING ENCLOSING CIRCLE..COMBINING ENCLOSING CIRCLE BACKSLASH
20E1          ; restricted ; UAX31 T4 Candidate Exclusions               #      (⃡)  COMBINING LEFT RIGHT ARROW ABOVE
20E2..20E4    ; restricted ; not in XID+                                 #  [3] (⃢..⃤)  COMBINING ENCLOSING SCREEN..COMBINING ENCLOSING UPWARD POINTING TRIANGLE
20E5..20F0    ; restricted ; UAX31 T4 Candidate Exclusions               # [12] (⃥..⃰)  COMBINING REVERSE SOLIDUS OVERLAY..COMBINING ASTERISK ABOVE
2104          ; restricted ; not in XID+                                 #      (℄)  CENTRE LINE SYMBOL
2108          ; restricted ; not in XID+                                 #      (℈)  SCRUPLE
2114          ; restricted ; not in XID+                                 #      (℔)  L B BAR SYMBOL
2117          ; restricted ; not in XID+                                 #      (℗)  SOUND RECORDING COPYRIGHT
2118          ; restricted ; technical symbol (math)                     #      (℘)  SCRIPT CAPITAL P
211E..211F    ; restricted ; not in XID+                                 #  [2] (℞..℟)  PRESCRIPTION TAKE..RESPONSE
2123          ; restricted ; not in XID+                                 #      (℣)  VERSICLE
2125          ; restricted ; not in XID+                                 #      (℥)  OUNCE SIGN
2127          ; restricted ; not in XID+                                 #      (℧)  INVERTED OHM SIGN
2129          ; restricted ; not in XID+                                 #      (℩)  TURNED GREEK SMALL LETTER IOTA
212E          ; restricted ; technical                                   #      (℮)  ESTIMATED SYMBOL
2132          ; restricted ; archaic                                     #      (Ⅎ)  TURNED CAPITAL F
213A          ; restricted ; not in XID+                                 #      (℺)  ROTATED CAPITAL Q
2141..2144    ; restricted ; not in XID+                                 #  [4] (⅁..⅄)  TURNED SANS-SERIF CAPITAL G..TURNED SANS-SERIF CAPITAL Y
214A..214B    ; restricted ; not in XID+                                 #  [2] (⅊..⅋)  PROPERTY LINE..TURNED AMPERSAND
214E          ; restricted ; archaic                                     #      (ⅎ)  TURNED SMALL F
2180..2183    ; restricted ; presentation form                           #  [4] (ↀ..Ↄ)  ROMAN NUMERAL ONE THOUSAND C D..ROMAN NUMERAL REVERSED ONE HUNDRED
2190..222B    ; restricted ; not in XID+                                 # [156] (←..∫)  LEFTWARDS ARROW..INTEGRAL
222E          ; restricted ; not in XID+                                 #      (∮)  CONTOUR INTEGRAL
2231..2328    ; restricted ; not in XID+                                 # [248] (∱..⌨)  CLOCKWISE INTEGRAL..KEYBOARD
2329..232A    ; restricted ; deprecated or discouraged                   #  [2] (〈..〉)  LEFT-POINTING ANGLE BRACKET..RIGHT-POINTING ANGLE BRACKET
232B..23CE    ; restricted ; not in XID+                                 # [164] (⌫..⏎)  ERASE TO THE LEFT..RETURN SYMBOL
2400..2426    ; restricted ; not in XID+                                 # [39] (␀..␦)  SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM TWO
2440..244A    ; restricted ; not in XID+                                 # [11] (⑀..⑊)  OCR HOOK..OCR DOUBLE BACKSLASH
2460..24EA    ; restricted ; presentation form                           # [139] (①..⓪)  CIRCLED DIGIT ONE..CIRCLED DIGIT ZERO
24EB..24FE    ; restricted ; not in XID+                                 # [20] (⓫..⓾)  NEGATIVE CIRCLED NUMBER ELEVEN..DOUBLE CIRCLED NUMBER TEN
24FF          ; restricted ; presentation form                           #      (⓿)  NEGATIVE CIRCLED DIGIT ZERO
2500..2613    ; restricted ; not in XID+                                 # [276] (─..☓)  BOX DRAWINGS LIGHT HORIZONTAL..SALTIRE
2616..2617    ; restricted ; not in XID+                                 #  [2] (☖..☗)  WHITE SHOGI PIECE..BLACK SHOGI PIECE
2619..267D    ; restricted ; not in XID+                                 # [101] (☙..♽)  REVERSED ROTATED FLORAL HEART BULLET..PARTIALLY-RECYCLED PAPER SYMBOL
2680..2689    ; restricted ; not in XID+                                 # [10] (⚀..⚉)  DIE FACE-1..BLACK CIRCLE WITH TWO WHITE DOTS
2701..2704    ; restricted ; not in XID+                                 #  [4] (✁..✄)  UPPER BLADE SCISSORS..WHITE SCISSORS
2706..2709    ; restricted ; not in XID+                                 #  [4] (✆..✉)  TELEPHONE LOCATION SIGN..ENVELOPE
270C..2727    ; restricted ; not in XID+                                 # [28] (✌..✧)  VICTORY HAND..WHITE FOUR POINTED STAR
2729..274B    ; restricted ; not in XID+                                 # [35] (✩..❋)  STRESS OUTLINED WHITE STAR..HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274D          ; restricted ; not in XID+                                 #      (❍)  SHADOWED WHITE CIRCLE
274F..2752    ; restricted ; not in XID+                                 #  [4] (❏..❒)  LOWER RIGHT DROP-SHADOWED WHITE SQUARE..UPPER RIGHT SHADOWED WHITE SQUARE
2756          ; restricted ; not in XID+                                 #      (❖)  BLACK DIAMOND MINUS WHITE X
2758..275E    ; restricted ; not in XID+                                 #  [7] (❘..❞)  LIGHT VERTICAL BAR..HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
2761..2794    ; restricted ; not in XID+                                 # [52] (❡..➔)  CURVED STEM PARAGRAPH SIGN ORNAMENT..HEAVY WIDE-HEADED RIGHTWARDS ARROW
2798..27AF    ; restricted ; not in XID+                                 # [24] (➘..➯)  HEAVY SOUTH EAST ARROW..NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1..27BE    ; restricted ; not in XID+                                 # [14] (➱..➾)  NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW..OPEN-OUTLINED RIGHTWARDS ARROW
27D0..27EB    ; restricted ; not in XID+                                 # [28] (⟐..⟫)  WHITE DIAMOND WITH CENTRED DOT..MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27F0..2A0B    ; restricted ; not in XID+                                 # [540] (⟰..⨋)  UPWARDS QUADRUPLE ARROW..SUMMATION WITH INTEGRAL
2A0D..2A73    ; restricted ; not in XID+                                 # [103] (⨍..⩳)  FINITE PART INTEGRAL..EQUALS SIGN ABOVE TILDE OPERATOR
2A77..2ADB    ; restricted ; not in XID+                                 # [101] (⩷..⫛)  EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW..TRANSVERSAL INTERSECTION
2ADD..2AFF    ; restricted ; not in XID+                                 # [35] (⫝..⫿)  NONFORKING..N-ARY WHITE VERTICAL BAR
2C00..2C2E    ; restricted ; UAX31 T4 Candidate Exclusions               # [47] (Ⰰ..Ⱞ)  GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C30..2C5E    ; restricted ; UAX31 T4 Candidate Exclusions               # [47] (ⰰ..ⱞ)  GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C75..2C76    ; restricted ; archaic                                     #  [2] (Ⱶ..ⱶ)  LATIN CAPITAL LETTER HALF H..LATIN SMALL LETTER HALF H
2C77..2C7B    ; restricted ; academic                                    #  [5] (ⱷ..ⱻ)  LATIN SMALL LETTER TAILLESS PHI..LATIN LETTER SMALL CAPITAL TURNED E
2C80..2CF1    ; restricted ; UAX31 T4 Candidate Exclusions               # [114] (Ⲁ..⳱)  COPTIC CAPITAL LETTER ALFA..COPTIC COMBINING SPIRITUS LENIS
2CF9..2CFF    ; restricted ; UAX31 T4 Candidate Exclusions               #  [7] (⳹..⳿)  COPTIC OLD NUBIAN FULL STOP..COPTIC MORPHOLOGICAL DIVIDER
2E00..2E0D    ; restricted ; technical (editorial)                       # [14] (⸀..⸍)  RIGHT ANGLE SUBSTITUTION MARKER..RIGHT RAISED OMISSION BRACKET
2E80..2E99    ; restricted ; not in XID+                                 # [26] (⺀..⺙)  CJK RADICAL REPEAT..CJK RADICAL RAP
2E9B..2E9E    ; restricted ; not in XID+                                 #  [4] (⺛..⺞)  CJK RADICAL CHOKE..CJK RADICAL DEATH
2EA0..2EF2    ; restricted ; not in XID+                                 # [83] (⺠..⻲)  CJK RADICAL CIVILIAN..CJK RADICAL J-SIMPLIFIED TURTLE
3001..3004    ; restricted ; not in XID+                                 #  [4] (、..〄)  IDEOGRAPHIC COMMA..JAPANESE INDUSTRIAL STANDARD SYMBOL
3008..3020    ; restricted ; not in XID+                                 # [25] (〈..〠)  LEFT ANGLE BRACKET..POSTAL MARK FACE
3021..302F    ; restricted ; technical                                   # [15] (〡..〯)  HANGZHOU NUMERAL ONE..HANGUL DOUBLE DOT TONE MARK
3030          ; restricted ; not in XID+                                 #      (〰)  WAVY DASH
3031..3035    ; restricted ; presentation form                           #  [5] (〱..〵)  VERTICAL KANA REPEAT MARK..VERTICAL KANA REPEAT MARK LOWER HALF
3037          ; restricted ; not in XID+                                 #      (〷)  IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL
303B..303C    ; restricted ; presentation form                           #  [2] (〻..〼)  VERTICAL IDEOGRAPHIC ITERATION MARK..MASU MARK
303D..303F    ; restricted ; not in XID+                                 #  [3] (〽..〿)  PART ALTERNATION MARK..IDEOGRAPHIC HALF FILL SPACE
30A0          ; restricted ; technical                                   #      (゠)  KATAKANA-HIRAGANA DOUBLE HYPHEN
3164          ; restricted ; default-ignorable                           #      (U+3164)  HANGUL FILLER
3165..318E    ; restricted ; archaic                                     # [42] (ㅥ..ㆎ)  HANGUL LETTER SSANGNIEUN..HANGUL LETTER ARAEAE
3190..3191    ; restricted ; not in XID+                                 #  [2] (㆐..㆑)  IDEOGRAPHIC ANNOTATION LINKING MARK..IDEOGRAPHIC ANNOTATION REVERSE MARK
3251..327E    ; restricted ; presentation form                           # [46] (㉑..㉾)  CIRCLED NUMBER TWENTY ONE..CIRCLED HANGUL IEUNG U
327F          ; restricted ; not in XID+                                 #      (㉿)  KOREAN STANDARD SYMBOL
3280..32FE    ; restricted ; presentation form                           # [127] (㊀..㋾)  CIRCLED IDEOGRAPH ONE..CIRCLED KATAKANA WO
32FF          ; restricted ; presentation form                           #      (U+32FF)  <reserved-32FF>
3300..33FF    ; restricted ; presentation form                           # [256] (㌀..㏿)  SQUARE APAATO..SQUARE GAL
4DC0..4DFF    ; restricted ; technical                                   # [64] (䷀..䷿)  HEXAGRAM FOR THE CREATIVE HEAVEN..HEXAGRAM FOR BEFORE COMPLETION
A490..A4C6    ; restricted ; not in XID+                                 # [55] (꒐..꓆)  YI RADICAL QOT..YI RADICAL KE
A4D0..A62B    ; restricted ; UAX31 T5 Limited Use                        # [348] (ꓐ..ꘫ)  LISU LETTER BA..VAI SYLLABLE NDOLE DO
A6A0..A6F7    ; restricted ; UAX31 T5 Limited Use                        # [88] (ꚠ..꛷)  BAMUM LETTER A..BAMUM QUESTION MARK
A700..A707    ; restricted ; archaic                                     #  [8] (꜀..꜇)  MODIFIER LETTER CHINESE TONE YIN PING..MODIFIER LETTER CHINESE TONE YANG RU
A708..A716    ; restricted ; technical (phonetic)                        # [15] (꜈..꜖)  MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR..MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
A722..A72F    ; restricted ; academic                                    # [14] (Ꜣ..ꜯ)  LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF..LATIN SMALL LETTER CUATRILLO WITH COMMA
A779..A787    ; restricted ; archaic                                     # [15] (Ꝺ..ꞇ)  LATIN CAPITAL LETTER INSULAR D..LATIN SMALL LETTER INSULAR T
A7FB..A7FF    ; restricted ; archaic                                     #  [5] (ꟻ..ꟿ)  LATIN EPIGRAPHIC LETTER REVERSED F..LATIN EPIGRAPHIC LETTER ARCHAIC M
A800..A82B    ; restricted ; UAX31 T5 Limited Use                        # [44] (ꠀ..꠫)  SYLOTI NAGRI LETTER A..SYLOTI NAGRI POETRY MARK-4
A840..A877    ; restricted ; UAX31 T4 Candidate Exclusions               # [56] (ꡀ..꡷)  PHAGS-PA LETTER KA..PHAGS-PA MARK DOUBLE SHAD
A880..A8C4    ; restricted ; UAX31 T5 Limited Use                        # [69] (ꢀ..꣄)  SAURASHTRA SIGN ANUSVARA..SAURASHTRA SIGN VIRAMA
A8CE..A8D9    ; restricted ; UAX31 T5 Limited Use                        # [12] (꣎..꣙)  SAURASHTRA DANDA..SAURASHTRA DIGIT NINE
A900..A92F    ; restricted ; UAX31 T5 Limited Use                        # [48] (꤀..꤯)  KAYAH LI DIGIT ZERO..KAYAH LI SIGN SHYA
A930..A953    ; restricted ; UAX31 T4 Candidate Exclusions               # [36] (ꤰ..꥓)  REJANG LETTER KA..REJANG VIRAMA
A95F          ; restricted ; UAX31 T4 Candidate Exclusions               #      (꥟)  REJANG SECTION MARK
A980..A9CD    ; restricted ; UAX31 T5 Limited Use                        # [78] (ꦀ..꧍)  JAVANESE SIGN PANYANGGA..JAVANESE TURNED PADA PISELEH
A9CF..A9D9    ; restricted ; UAX31 T5 Limited Use                        # [11] (ꧏ..꧙)  JAVANESE PANGRANGKEP..JAVANESE DIGIT NINE
A9DE..A9DF    ; restricted ; UAX31 T5 Limited Use                        #  [2] (꧞..꧟)  JAVANESE PADA TIRTA TUMETES..JAVANESE PADA ISEN-ISEN
AA00..AA36    ; restricted ; UAX31 T5 Limited Use                        # [55] (ꨀ..ꨶ)  CHAM LETTER A..CHAM CONSONANT SIGN WA
AA40..AA4D    ; restricted ; UAX31 T5 Limited Use                        # [14] (ꩀ..ꩍ)  CHAM LETTER FINAL K..CHAM CONSONANT SIGN FINAL H
AA50..AA59    ; restricted ; UAX31 T5 Limited Use                        # [10] (꩐..꩙)  CHAM DIGIT ZERO..CHAM DIGIT NINE
AA5C..AA5F    ; restricted ; UAX31 T5 Limited Use                        #  [4] (꩜..꩟)  CHAM PUNCTUATION SPIRAL..CHAM PUNCTUATION TRIPLE DANDA
AA80..AAC2    ; restricted ; UAX31 T5 Limited Use                        # [67] (ꪀ..ꫂ)  TAI VIET LETTER LOW KO..TAI VIET TONE MAI SONG
AADB..AADF    ; restricted ; UAX31 T5 Limited Use                        #  [5] (ꫛ..꫟)  TAI VIET SYMBOL KON..TAI VIET SYMBOL KOI KOI
ABC0..ABED    ; restricted ; UAX31 T5 Limited Use                        # [46] (ꯀ..꯭)  MEETEI MAYEK LETTER KOK..MEETEI MAYEK APUN IYEK
ABF0..ABF9    ; restricted ; UAX31 T5 Limited Use                        # [10] (꯰..꯹)  MEETEI MAYEK DIGIT ZERO..MEETEI MAYEK DIGIT NINE
FB00..FB06    ; restricted ; presentation form                           #  [7] (ﬀ..ﬆ)  LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FB07..FB12    ; restricted ; presentation form                           # [12] (U+FB07..U+FB12)  <reserved-FB07>..<reserved-FB12>
FB13..FB17    ; restricted ; presentation form                           #  [5] (ﬓ..ﬗ)  ARMENIAN SMALL LIGATURE MEN NOW..ARMENIAN SMALL LIGATURE MEN XEH
FB18..FB1C    ; restricted ; presentation form                           #  [5] (U+FB18..U+FB1C)  <reserved-FB18>..<reserved-FB1C>
FB1D..FB36    ; restricted ; presentation form                           # [26] (יִ..זּ)  HEBREW LETTER YOD WITH HIRIQ..HEBREW LETTER ZAYIN WITH DAGESH
FB37          ; restricted ; presentation form                           #      (U+FB37)  <reserved-FB37>
FB38..FB3C    ; restricted ; presentation form                           #  [5] (טּ..לּ)  HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3D          ; restricted ; presentation form                           #      (U+FB3D)  <reserved-FB3D>
FB3E          ; restricted ; presentation form                           #      (מּ)  HEBREW LETTER MEM WITH DAGESH
FB3F          ; restricted ; presentation form                           #      (U+FB3F)  <reserved-FB3F>
FB40..FB41    ; restricted ; presentation form                           #  [2] (נּ..סּ)  HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB42          ; restricted ; presentation form                           #      (U+FB42)  <reserved-FB42>
FB43..FB44    ; restricted ; presentation form                           #  [2] (ףּ..פּ)  HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB45          ; restricted ; presentation form                           #      (U+FB45)  <reserved-FB45>
FB46..FBB1    ; restricted ; presentation form                           # [108] (צּ..ﮱ)  HEBREW LETTER TSADI WITH DAGESH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM
FBB2..FBD2    ; restricted ; presentation form                           # [33] (U+FBB2..U+FBD2)  <reserved-FBB2>..<reserved-FBD2>
FBD3..FD3D    ; restricted ; presentation form                           # [363] (ﯓ..ﴽ)  ARABIC LETTER NG ISOLATED FORM..ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
FD3E..FD3F    ; restricted ; not in XID+                                 #  [2] (﴾..﴿)  ORNATE LEFT PARENTHESIS..ORNATE RIGHT PARENTHESIS
FD40..FD4F    ; restricted ; presentation form                           # [16] (U+FD40..U+FD4F)  <reserved-FD40>..<reserved-FD4F>
FD50..FD8F    ; restricted ; presentation form                           # [64] (ﵐ..ﶏ)  ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM..ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
FD90..FD91    ; restricted ; presentation form                           #  [2] (U+FD90..U+FD91)  <reserved-FD90>..<reserved-FD91>
FD92..FDC7    ; restricted ; presentation form                           # [54] (ﶒ..ﷇ)  ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM..ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
FDC8..FDEF    ; restricted ; presentation form                           # [40] (U+FDC8..U+FDEF)  <reserved-FDC8>..<noncharacter-FDEF>
FDF0..FDFD    ; restricted ; presentation form                           # [14] (ﷰ..﷽)  ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM..ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM
FDFE..FDFF    ; restricted ; presentation form                           #  [2] (U+FDFE..U+FDFF)  <reserved-FDFE>..<reserved-FDFF>
FE00..FE19    ; restricted ; presentation form                           # [26] (U+FE00..︙)  VARIATION SELECTOR-1..PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
FE1A..FE1F    ; restricted ; presentation form                           #  [6] (U+FE1A..U+FE1F)  <reserved-FE1A>..<reserved-FE1F>
FE20..FE26    ; restricted ; presentation form                           #  [7] (︠..︦)  COMBINING LIGATURE LEFT HALF..COMBINING CONJOINING MACRON
FE27..FE2F    ; restricted ; presentation form                           #  [9] (U+FE27..U+FE2F)  <reserved-FE27>..<reserved-FE2F>
FE30..FE44    ; restricted ; presentation form                           # [21] (︰..﹄)  PRESENTATION FORM FOR VERTICAL TWO DOT LEADER..PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
FE45..FE46    ; restricted ; not in XID+                                 #  [2] (﹅..﹆)  SESAME DOT..WHITE SESAME DOT
FE47..FE52    ; restricted ; presentation form                           # [12] (﹇..﹒)  PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET..SMALL FULL STOP
FE53          ; restricted ; presentation form                           #      (U+FE53)  <reserved-FE53>
FE54..FE66    ; restricted ; presentation form                           # [19] (﹔..﹦)  SMALL SEMICOLON..SMALL EQUALS SIGN
FE67          ; restricted ; presentation form                           #      (U+FE67)  <reserved-FE67>
FE68..FE6B    ; restricted ; presentation form                           #  [4] (﹨..﹫)  SMALL REVERSE SOLIDUS..SMALL COMMERCIAL AT
FE6C..FE6F    ; restricted ; presentation form                           #  [4] (U+FE6C..U+FE6F)  <reserved-FE6C>..<reserved-FE6F>
FE70..FE74    ; restricted ; presentation form                           #  [5] (ﹰ..ﹴ)  ARABIC FATHATAN ISOLATED FORM..ARABIC KASRATAN ISOLATED FORM
FE75          ; restricted ; presentation form                           #      (U+FE75)  <reserved-FE75>
FE76..FEFC    ; restricted ; presentation form                           # [135] (ﹶ..ﻼ)  ARABIC FATHA ISOLATED FORM..ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFF          ; restricted ; default-ignorable                           #      (U+FEFF)  ZERO WIDTH NO-BREAK SPACE
FFA0          ; restricted ; default-ignorable                           #      (U+FFA0)  HALFWIDTH HANGUL FILLER
10000..1000B  ; restricted ; UAX31 T4 Candidate Exclusions               # [12] (𐀀..𐀋)  LINEAR B SYLLABLE B008 A..LINEAR B SYLLABLE B046 JE
1000D..10026  ; restricted ; UAX31 T4 Candidate Exclusions               # [26] (𐀍..𐀦)  LINEAR B SYLLABLE B036 JO..LINEAR B SYLLABLE B032 QO
10028..1003A  ; restricted ; UAX31 T4 Candidate Exclusions               # [19] (𐀨..𐀺)  LINEAR B SYLLABLE B060 RA..LINEAR B SYLLABLE B042 WO
1003C..1003D  ; restricted ; UAX31 T4 Candidate Exclusions               #  [2] (𐀼..𐀽)  LINEAR B SYLLABLE B017 ZA..LINEAR B SYLLABLE B074 ZE
1003F..1004D  ; restricted ; UAX31 T4 Candidate Exclusions               # [15] (𐀿..𐁍)  LINEAR B SYLLABLE B020 ZO..LINEAR B SYLLABLE B091 TWO
10050..1005D  ; restricted ; UAX31 T4 Candidate Exclusions               # [14] (𐁐..𐁝)  LINEAR B SYMBOL B018..LINEAR B SYMBOL B089
10080..100FA  ; restricted ; UAX31 T4 Candidate Exclusions               # [123] (𐂀..𐃺)  LINEAR B IDEOGRAM B100 MAN..LINEAR B IDEOGRAM VESSEL B305
10140..10174  ; restricted ; archaic                                     # [53] (𐅀..𐅴)  GREEK ACROPHONIC ATTIC ONE QUARTER..GREEK ACROPHONIC STRATIAN FIFTY MNAS
101D0..101FD  ; restricted ; UAX31 T4 Candidate Exclusions               # [46] (𐇐..𐇽)  PHAISTOS DISC SIGN PEDESTRIAN..PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
10280..1029C  ; restricted ; UAX31 T4 Candidate Exclusions               # [29] (𐊀..𐊜)  LYCIAN LETTER A..LYCIAN LETTER X
102A0..102D0  ; restricted ; UAX31 T4 Candidate Exclusions               # [49] (𐊠..𐋐)  CARIAN LETTER A..CARIAN LETTER UUU3
10300..1031E  ; restricted ; UAX31 T4 Candidate Exclusions               # [31] (𐌀..𐌞)  OLD ITALIC LETTER A..OLD ITALIC LETTER UU
10320..10323  ; restricted ; not in XID+                                 #  [4] (𐌠..𐌣)  OLD ITALIC NUMERAL ONE..OLD ITALIC NUMERAL FIFTY
10330..1034A  ; restricted ; UAX31 T4 Candidate Exclusions               # [27] (𐌰..𐍊)  GOTHIC LETTER AHSA..GOTHIC LETTER NINE HUNDRED
10380..1039D  ; restricted ; UAX31 T4 Candidate Exclusions               # [30] (𐎀..𐎝)  UGARITIC LETTER ALPA..UGARITIC LETTER SSU
1039F..103C3  ; restricted ; UAX31 T4 Candidate Exclusions               # [37] (𐎟..𐏃)  UGARITIC WORD DIVIDER..OLD PERSIAN SIGN HA
103C8..103D5  ; restricted ; UAX31 T4 Candidate Exclusions               # [14] (𐏈..𐏕)  OLD PERSIAN SIGN AURAMAZDAA..OLD PERSIAN NUMBER HUNDRED
10400..1049D  ; restricted ; UAX31 T4 Candidate Exclusions               # [158] (𐐀..𐒝)  DESERET CAPITAL LETTER LONG I..OSMANYA LETTER OO
104A0..104A9  ; restricted ; UAX31 T4 Candidate Exclusions               # [10] (𐒠..𐒩)  OSMANYA DIGIT ZERO..OSMANYA DIGIT NINE
10800..10805  ; restricted ; UAX31 T4 Candidate Exclusions               #  [6] (𐠀..𐠅)  CYPRIOT SYLLABLE A..CYPRIOT SYLLABLE JA
10808         ; restricted ; UAX31 T4 Candidate Exclusions               #      (𐠈)  CYPRIOT SYLLABLE JO
1080A..10835  ; restricted ; UAX31 T4 Candidate Exclusions               # [44] (𐠊..𐠵)  CYPRIOT SYLLABLE KA..CYPRIOT SYLLABLE WO
10837..10838  ; restricted ; UAX31 T4 Candidate Exclusions               #  [2] (𐠷..𐠸)  CYPRIOT SYLLABLE XA..CYPRIOT SYLLABLE XE
1083C         ; restricted ; UAX31 T4 Candidate Exclusions               #      (𐠼)  CYPRIOT SYLLABLE ZA
1083F..10855  ; restricted ; UAX31 T4 Candidate Exclusions               # [23] (𐠿..𐡕)  CYPRIOT SYLLABLE ZO..IMPERIAL ARAMAIC LETTER TAW
10857..1085F  ; restricted ; UAX31 T4 Candidate Exclusions               #  [9] (𐡗..𐡟)  IMPERIAL ARAMAIC SECTION SIGN..IMPERIAL ARAMAIC NUMBER TEN THOUSAND
10900..1091B  ; restricted ; UAX31 T4 Candidate Exclusions               # [28] (𐤀..𐤛)  PHOENICIAN LETTER ALF..PHOENICIAN NUMBER THREE
1091F..10939  ; restricted ; UAX31 T4 Candidate Exclusions               # [27] (𐤟..𐤹)  PHOENICIAN WORD SEPARATOR..LYDIAN LETTER C
1093F         ; restricted ; UAX31 T4 Candidate Exclusions               #      (𐤿)  LYDIAN TRIANGULAR MARK
10A00..10A03  ; restricted ; UAX31 T4 Candidate Exclusions               #  [4] (𐨀..𐨃)  KHAROSHTHI LETTER A..KHAROSHTHI VOWEL SIGN VOCALIC R
10A05..10A06  ; restricted ; UAX31 T4 Candidate Exclusions               #  [2] (𐨅..𐨆)  KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SIGN O
10A0C..10A13  ; restricted ; UAX31 T4 Candidate Exclusions               #  [8] (𐨌..𐨓)  KHAROSHTHI VOWEL LENGTH MARK..KHAROSHTHI LETTER GHA
10A15..10A17  ; restricted ; UAX31 T4 Candidate Exclusions               #  [3] (𐨕..𐨗)  KHAROSHTHI LETTER CA..KHAROSHTHI LETTER JA
10A19..10A33  ; restricted ; UAX31 T4 Candidate Exclusions               # [27] (𐨙..𐨳)  KHAROSHTHI LETTER NYA..KHAROSHTHI LETTER TTTHA
