#Property ;   Source ; Datatype ;   Category
Bidi_Control ;   UCD ;    Binary ; Bidirectional
Bidi_Mirrored ;  UCD ;    Binary ; Bidirectional
Bidi_Class ; UCD ;    Enumerated ; Bidirectional
Bidi_Mirroring_Glyph ;   UCD ;    String ; Bidirectional
Case_Ignorable ; UCD ;    Binary ; Case
Cased ;  UCD ;    Binary ; Case
Changes_When_Casefolded ;    UCD ;    Binary ; Case
Changes_When_Casemapped ;    UCD ;    Binary ; Case
Changes_When_Lowercased ;    UCD ;    Binary ; Case
Changes_When_Titlecased ;    UCD ;    Binary ; Case
Changes_When_Uppercased ;    UCD ;    Binary ; Case
Lowercase ;  UCD ;    Binary ; Case
Soft_Dotted ;    UCD ;    Binary ; Case
Uppercase ;  UCD ;    Binary ; Case
Case_Folding ;   UCD ;    String ; Case
Lowercase_Mapping ;  UCD ;    String ; Case
Simple_Case_Folding ;    UCD ;    String ; Case
Simple_Lowercase_Mapping ;   UCD ;    String ; Case
Simple_Titlecase_Mapping ;   UCD ;    String ; Case
Simple_Uppercase_Mapping ;   UCD ;    String ; Case
Titlecase_Mapping ;  UCD ;    String ; Case
Uppercase_Mapping ;  UCD ;    String ; Case
Case_Sensitive ; ICU ;    Binary ; Casing
isUppercase ;    Unicode ;    Binary ; Casing
isTitlecase ;    Unicode ;    Binary ; Casing
isLowercase ;    Unicode ;    Binary ; Casing
isCasefolded ;   Unicode ;    Binary ; Casing
isCased ;    Unicode ;    Binary ; Casing
toUppercase ;    Unicode ;    String ; Casing
toTitlecase ;    Unicode ;    String ; Casing
toLowercase ;    Unicode ;    String ; Casing
toCasefold ; Unicode ;    String ; Casing
Ideographic ;    UCD ;    Binary ; CJK
IDS_Binary_Operator ;    UCD ;    Binary ; CJK
IDS_Trinary_Operator ;   UCD ;    Binary ; CJK
Radical ;    UCD ;    Binary ; CJK
Unified_Ideograph ;  UCD ;    Binary ; CJK
HanType ;    Demo ;   Enumerated ; CJK
enc_Shift_JIS ;  Demo ;   String ; Encoding
enc_ISO-8859-9 ; Demo ;   String ; Encoding
enc_ISO-8859-8 ; Demo ;   String ; Encoding
enc_ISO-8859-7 ; Demo ;   String ; Encoding
enc_ISO-8859-6 ; Demo ;   String ; Encoding
enc_ISO-8859-5 ; Demo ;   String ; Encoding
enc_ISO-8859-4 ; Demo ;   String ; Encoding
enc_ISO-8859-3 ; Demo ;   String ; Encoding
enc_ISO-8859-2 ; Demo ;   String ; Encoding
enc_ISO-8859-15 ;    Demo ;   String ; Encoding
enc_ISO-8859-14 ;    Demo ;   String ; Encoding
enc_ISO-8859-13 ;    Demo ;   String ; Encoding
enc_ISO-8859-10 ;    Demo ;   String ; Encoding
enc_ISO-8859-1 ; Demo ;   String ; Encoding
enc_GBK ;    Demo ;   String ; Encoding
enc_GB2312 ; Demo ;   String ; Encoding
enc_Big5 ;   Demo ;   String ; Encoding
Alphabetic ; UCD ;    Binary ; General
Default_Ignorable_Code_Point ;   UCD ;    Binary ; General
Deprecated ; UCD ;    Binary ; General
Logical_Order_Exception ;    UCD ;    Binary ; General
Noncharacter_Code_Point ;    UCD ;    Binary ; General
Variation_Selector ; UCD ;    Binary ; General
White_Space ;    UCD ;    Binary ; General
Age ;    UCD ;    Catalog ;    General
Block ;  UCD ;    Catalog ;    General
Script ; UCD ;    Catalog ;    General
General_Category ;   UCD ;    Enumerated ; General
Hangul_Syllable_Type ;   UCD ;    Enumerated ; General
Usage ;  UTS ;    Enumerated ; General
Script_Specials ;    UTS ;    Enumerated ; General
identifier-restriction ; UTS ;    Enumerated ; General
confusable ; UTS ;    Enumerated ; General
subhead ;    Unicode ;    String ; General
ID_Continue ;    UCD ;    Binary ; Identifiers
ID_Start ;   UCD ;    Binary ; Identifiers
Pattern_Syntax ; UCD ;    Binary ; Identifiers
Pattern_White_Space ;    UCD ;    Binary ; Identifiers
XID_Continue ;   UCD ;    Binary ; Identifiers
XID_Start ;  UCD ;    Binary ; Identifiers
uts46 ;  UTS ;    Enumerated ; IDNA
idna2008c ;  UTS ;    Enumerated ; IDNA
