#Source;	RSC;	RNU;	RUI	#				Source Name	Causes
2F2A;	3;	43;	5C22	#	⼪	→	尢	KANGXI RADICAL LAME;	CJKRadicals.txt, NFKC
2E8E;	3;	43;	5C22	#	⺎	→	尢	CJK RADICAL LAME ONE;	NamesList
2E8F;	4;	43;	5C23	#	⺏	→	尣	CJK RADICAL LAME TWO;	UCA, NamesList
2E90;	3;	43;	5C22	#	⺐	→	尢	CJK RADICAL LAME THREE;	UCA, NamesList
2E91;	4;	43;	5C23	#	⺑	→	尣	CJK RADICAL LAME FOUR;	NamesList
2E91;	4;	43;	21BC2	#	⺑	→	𡯂	CJK RADICAL LAME FOUR;	kRSUnicode
2E8E;	3;	43;	5140	#	⺎	→	兀	CJK RADICAL LAME ONE;	kRSAdobe
2F2B;	3;	44;	5C38	#	⼫	→	尸	KANGXI RADICAL CORPSE;	CJKRadicals.txt, NFKC
2F2C;	3;	45;	5C6E	#	⼬	→	屮	KANGXI RADICAL SPROUT;	CJKRadicals.txt, NFKC
2F2D;	3;	46;	5C71	#	⼭	→	山	KANGXI RADICAL MOUNTAIN;	CJKRadicals.txt, NFKC
2F2E;	3;	47;	5DDB	#	⼮	→	巛	KANGXI RADICAL RIVER;	CJKRadicals.txt, NFKC
2F2F;	3;	48;	5DE5	#	⼯	→	工	KANGXI RADICAL WORK;	CJKRadicals.txt, NFKC
2F30;	3;	49;	5DF1	#	⼰	→	己	KANGXI RADICAL ONESELF;	CJKRadicals.txt, NFKC
2E92;	3;	49;	5DF3	#	⺒	→	巳	CJK RADICAL SNAKE;	UCA, NamesList
2F31;	3;	50;	5DFE	#	⼱	→	巾	KANGXI RADICAL TURBAN;	CJKRadicals.txt, NFKC
2F32;	3;	51;	5E72	#	⼲	→	干	KANGXI RADICAL DRY;	CJKRadicals.txt, NFKC
2F33;	3;	52;	5E7A	#	⼳	→	幺	KANGXI RADICAL SHORT THREAD;	CJKRadicals.txt, NFKC
2E93;	3;	52;	5E7A	#	⺓	→	幺	CJK RADICAL THREAD;	UCA, NamesList
2F34;	3;	53;	5E7F	#	⼴	→	广	KANGXI RADICAL DOTTED CLIFF;	CJKRadicals.txt, NFKC
2F35;	2, 3;	54;	5EF4	#	⼵	→	廴	KANGXI RADICAL LONG STRIDE;	CJKRadicals.txt, NFKC
2F36;	3;	55;	5EFE	#	⼶	→	廾	KANGXI RADICAL TWO HANDS;	CJKRadicals.txt, NFKC
2F37;	3;	56;	5F0B	#	⼷	→	弋	KANGXI RADICAL SHOOT;	CJKRadicals.txt, NFKC
2F38;	3;	57;	5F13	#	⼸	→	弓	KANGXI RADICAL BOW;	CJKRadicals.txt, NFKC
2F39;	3;	58;	5F50	#	⼹	→	彐	KANGXI RADICAL SNOUT;	CJKRadicals.txt, NFKC
2E94;	3;	58;	5F51	#	⺔	→	彑	CJK RADICAL SNOUT ONE;	UCA, NamesList
2E95;	3;	58;	5F50	#	⺕	→	彐	CJK RADICAL SNOUT TWO;	NamesList
2F3A;	3;	59;	5F61	#	⼺	→	彡	KANGXI RADICAL BRISTLE;	CJKRadicals.txt, NFKC
2F3B;	3;	60;	5F73	#	⼻	→	彳	KANGXI RADICAL STEP;	CJKRadicals.txt, NFKC
2F3C;	4;	61;	5FC3	#	⼼	→	心	KANGXI RADICAL HEART;	CJKRadicals.txt, NFKC
2E96;	3;	61;	5FC4	#	⺖	→	忄	CJK RADICAL HEART ONE;	UCA, NamesList
2E97;	4;	61;	5FC3	#	⺗	→	心	CJK RADICAL HEART TWO;	NamesList
2E97;	4;	61;	38FA	#	⺗	→	㣺	CJK RADICAL HEART TWO;	kRSAdobe
2F3D;	4;	62;	6208	#	⼽	→	戈	KANGXI RADICAL HALBERD;	CJKRadicals.txt, NFKC
2F3E;	4;	63;	6236	#	⼾	→	戶	KANGXI RADICAL DOOR;	CJKRadicals.txt, NFKC
2F3E;	4;	63;	6237	#	⼾	→	户	KANGXI RADICAL DOOR;	kRSUnicode
2F3E;	4;	63;	6238	#	⼾	→	戸	KANGXI RADICAL DOOR;	kRSUnicode
2F3F;	4;	64;	624B	#	⼿	→	手	KANGXI RADICAL HAND;	CJKRadicals.txt, NFKC
2E98;	3;	64;	624C	#	⺘	→	扌	CJK RADICAL HAND;	UCA, NamesList
2F40;	4;	65;	652F	#	⽀	→	支	KANGXI RADICAL BRANCH;	CJKRadicals.txt, NFKC
2F41;	4;	66;	6534	#	⽁	→	攴	KANGXI RADICAL RAP;	CJKRadicals.txt, NFKC
2E99;	4;	66;	6535	#	⺙	→	攵	CJK RADICAL RAP;	UCA, NamesList
2F42;	4;	67;	6587	#	⽂	→	文	KANGXI RADICAL SCRIPT;	CJKRadicals.txt, NFKC
2F43;	4;	68;	6597	#	⽃	→	斗	KANGXI RADICAL DIPPER;	CJKRadicals.txt, NFKC
2F44;	4;	69;	65A4	#	⽄	→	斤	KANGXI RADICAL AXE;	CJKRadicals.txt, NFKC
2F45;	4;	70;	65B9	#	⽅	→	方	KANGXI RADICAL SQUARE;	CJKRadicals.txt, NFKC
2F46;	4;	71;	65E0	#	⽆	→	无	KANGXI RADICAL NOT;	CJKRadicals.txt, NFKC
2E9B;	4, 5;	71;	65E1	#	⺛	→	旡	CJK RADICAL CHOKE;	UCA, NamesList
2F47;	4;	72;	65E5	#	⽇	→	日	KANGXI RADICAL SUN;	CJKRadicals.txt, NFKC
2E9C;	4;	72;	65E5	#	⺜	→	日	CJK RADICAL SUN;	NamesList
2F48;	4;	73;	66F0	#	⽈	→	曰	KANGXI RADICAL SAY;	CJKRadicals.txt, NFKC
2F49;	4;	74;	6708	#	⽉	→	月	KANGXI RADICAL MOON;	CJKRadicals.txt, NFKC
2E9D;	4;	74;	6708	#	⺝	→	月	CJK RADICAL MOON;	NamesList
2F4A;	4;	75;	6728	#	⽊	→	木	KANGXI RADICAL TREE;	CJKRadicals.txt, NFKC
2F4B;	4;	76;	6B20	#	⽋	→	欠	KANGXI RADICAL LACK;	CJKRadicals.txt, NFKC
2F4C;	4;	77;	6B62	#	⽌	→	止	KANGXI RADICAL STOP;	CJKRadicals.txt, NFKC
