#Country	Internet Users 2000	Internet Users Latest
China	22,500,000	384,000,000
United States	95,350,692	234,372,000
Japan	47,080,000	95,979,000
India	5,000,000	81,000,000
Brazil	4,999,840	72,027,700
Germany	24,004,349	65,123,800
Russia	3,100,010	59,700,000
United Kingdom	15,401,826	51,442,100
France	8,500,057	44,625,300
Korea, South	19,040,000	37,475,800
Turkey	2,000,000	35,000,000
Iran	250,000	33,200,000
Mexico	2,712,285	30,600,000
Italy	13,198,418	30,026,400
Indonesia	2,000,000	30,000,000
Spain	5,387,775	29,093,984
Canada	12,701,772	25,086,000
Philippines	2,000,000	24,000,000
Nigeria	200,000	23,982,200
Vietnam	200,000	22,779,887
Poland	2,800,025	22,450,600
Colombia	878,017	20,788,818
Argentina	2,500,000	20,000,000
Pakistan	133,900	18,500,000
Australia	6,599,700	17,033,826
Malaysia	3,700,000	16,902,600
Egypt	450,000	16,636,000
Thailand	2,300,000	16,100,000
Ukraine	200,000	15,300,000
Taiwan	6,260,000	15,143,000
Netherlands	3,900,393	14,872,200
Morocco	100,000	10,442,500
Saudi Arabia	200,000	9,800,000
Venezuela	950,014	8,846,535
Sweden	4,047,181	8,397,900
Chile	1,757,462	8,369,036
Belgium	1,999,803	8,113,200
Romania	800,031	7,786,700
Peru	2,499,640	7,636,400
Czech Republic	999,970	6,680,800
Hungary	715,027	6,176,400
Austria	2,099,658	6,143,600
Switzerland	2,134,362	5,739,300
South Africa	2,400,000	5,300,000
Israel	1,270,000	5,263,146
Portugal	2,499,420	5,168,800
Greece	999,940	4,970,700
Hong Kong�*	2,283,000	4,878,713
Denmark	1,950,123	4,750,500
Finland	1,927,269	4,480,900
Belarus	179,999	4,436,800
Norway	2,200,149	4,431,100
Sudan	30,000	4,200,000
Serbia	399,981	4,107,000
Algeria	50,000	4,100,000
Slovakia	649,968	4,063,600
Syria	30,000	3,935,000
United Arab Emirates	735,000	3,777,900
Tunisia	100,000	3,500,000
Bulgaria	430,019	3,395,000
Singapore	1,200,000	3,370,000
New Zealand	830,040	3,360,000
Kenya	200,000	3,359,600
Ireland	783,973	3,042,600
Dominican Republic	55,000	3,000,000
Uganda	40,000	2,500,000
Uzbekistan	7,500	2,469,000
Azerbaijan	12,000	2,444,600
Kazakhstan	70,000	2,300,000
Guatemala	65,000	2,280,000
Croatia	200,000	2,244,400
Lithuania	224,994	2,103,471
Ecuador	180,000	1,840,678
Jordan	127,300	1,741,900
Cuba	60,000	1,605,000
Jamaica	59,999	1,581,100
Costa Rica	250,000	1,579,000
Latvia	149,995	1,503,400
Zimbabwe	50,000	1,481,000
Bosnia-Herzegovina	7,000	1,441,000
Uruguay	369,961	1,340,000
Albania	2,500	1,300,000
Slovenia	300,023	1,298,500
Moldova	25,000	1,295,000
Oman	90,000	1,236,700
Sri Lanka	121,500	1,163,500
Kuwait	150,000	1,100,000
Macedonia	30,000	1,057,400
Bolivia	120,000	1,050,000
Georgia	20,000	1,024,000
Senegal	40,000	1,020,000
Haiti	6,000	1,000,000
Puerto Rico	200,000	1,000,000
Lebanon	300,000	1,000,000
Ghana	30,000	997,000
El Salvador	40,000	975,000
Estonia	366,616	969,700
Panama	45,000	959,900
Honduras	39,999	958,500
Paraguay	20,000	894,200
Kyrgystan	51,600	850,000
Cameroon	20,000	725,000
Zambia	20,000	700,000
Cote d'Ivoire	40,000	660,000
Bahrain	40,000	649,300
Nicaragua	50,000	600,000
Tajikistan	2,000	600,000
Bangladesh	100,000	556,000
Angola	30,000	550,000
Laos	6,000	527,400
Tanzania	115,000	520,000
Afganistan	1,000	500,000
Nepal	50,000	499,000
Trinidad & Tobago	100,000	485,000
Qatar	30,000	436,000
Cyprus	120,000	433,800
Luxembourg	100,000	424,500
Yemen	15,000	420,000
Mauritius	87,000	380,000
Kosovo	377,000	377,000
Ethiopia	10,000	360,000
Palestine(West Bk.)	35,000	356,000
Mozambique	30,000	350,000
Togo	100,000	350,000
Mongolia	30,000	330,000
Iraq	12,500	325,000
Libya	10,000	323,000
Madagascar	30,000	316,100
Malawi	15,000	316,000
Iceland	152,632	301,600
Rwanda	5,000	300,000
Montenegro	294,000	294,000
Congo, Dem. Rep.	500	290,000
Reunion (FR)	130,000	280,000
Macao�*	60,000	259,000
Malta	40,000	240,600
Brunei Darussalem	30,000	217,000
Guyana	3,000	205,000
Eritrea	5,000	200,000
Mali	18,800	200,000
Armenia	30,000	191,000
Martinique	5,000	170,000
Benin	15,000	160,000
Congo	500	155,000
Saint Lucia	3,000	142,900
Barbados	6,000	142,000
Burkina Faso	10,000	140,000
Chad	1,000	130,000
Botswana	15,000	120,000
Papau New Guinea	108,011	120,000
Bahamas	13,100	115,800
Gambia	4,000	114,200
Namibia	30,000	113,500
Myanmar	1,000	108,900
Guadeloupe	8,000	103,000
Fiji	7,500	103,000
Cape Verde	8,000	102,800
Somalia	200	102,000
Gabon	15,000	90,000
Guinea	8,000	90,000
French Polynesia	8,000	90,000
Guam	5,000	85,000
New Caledonia	23,998	85,000
Niger	5,000	80,000
Swaziland	10,000	80,000
St. Vincent & Grenadines	3,500	76,000
Turkmenistan	2,000	75,000
Cambodia	6,000	74,000
Lesotho	4,000	73,300
Maldives	6,000	71,700
Andorra	5,000	67,200
Burundi	3,000	65,000
Antigua & Barbuda	5,000	65,000
Mauritania	5,000	60,000
Belize	15,000	60,000
French Guiana	2,000	54,000
Greenland	17,802	52,000
Bermuda	25,000	51,000
Suriname	11,699	50,000
Guernsey & Alderney	20,000	48,300
Bhutan	500	45,000
Faroe Islands	3,000	37,500
Guinea-Bissau	1,500	37,100
Seychelles	6,000	33,900
US Virgin Islands	12,000	30,000
Jersey	7,999	29,500
Dominica	2,000	27,500
Grenada	4,100	27,000
Sao Tome & Principe	6,500	24,800
Aruba	4,000	24,000
Cayman Islands	7,800	24,000
Comoros	1,500	23,000
Liechtenstein	8,998	23,000
Monaco	6,999	23,000
Gibraltar	1,600	20,200
Liberia	500	20,000
Djibouti	1,400	19,200
Central African Rep.	1,500	19,000
St. Kitts & Nevis	2,000	17,000
San Marino	2,500	17,000
Vanuatu	3,000	17,000
Micronesia	2,000	16,000
Sierra Leone	5,000	13,900
Equatorial Guinea	500	12,000
Northern Marianas	10,000	10,000
Solomon Islands	2,000	10,000
Samoa	500	9,000
Tonga	1,000	8,400
Palau	5,400	5,400
Cook Islands	5,000	5,000
Anguilla	919	4,500
Tuvalu	4,200	4,200
British Virgin Islands	4,000	4,000
Falkland Islands	2,483	2,483
Marshall Islands	500	2,200
Netherlands Antilles	2,000	2,000
Kiribati	1,000	2,000
Timor-Leste	0	1,800
Monserrat	1,200	1,200
Wallis & Futuna	1,200	1,200
Niue	450	1,000
Saint Helena (UK)	0	800
Tokelau	66	800
Norfolk Island	700	700
Christmas Island	464	464
Nauru	300	300
Vatican City State	93	93
