# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

24ED;	0031 0033;	missing_NFKC	 # ( ⓭ → 13 )	NEGATIVE CIRCLED NUMBER THIRTEEN → DIGIT ONE + DIGIT THREE
24EE;	0031 0034;	missing_NFKC	 # ( ⓮ → 14 )	NEGATIVE CIRCLED NUMBER FOURTEEN → DIGIT ONE + DIGIT FOUR
24EF;	0031 0035;	missing_NFKC	 # ( ⓯ → 15 )	NEGATIVE CIRCLED NUMBER FIFTEEN → DIGIT ONE + DIGIT FIVE
24F0;	0031 0036;	missing_NFKC	 # ( ⓰ → 16 )	NEGATIVE CIRCLED NUMBER SIXTEEN → DIGIT ONE + DIGIT SIX
24F1;	0031 0037;	missing_NFKC	 # ( ⓱ → 17 )	NEGATIVE CIRCLED NUMBER SEVENTEEN → DIGIT ONE + DIGIT SEVEN
24F2;	0031 0038;	missing_NFKC	 # ( ⓲ → 18 )	NEGATIVE CIRCLED NUMBER EIGHTEEN → DIGIT ONE + DIGIT EIGHT
24F3;	0031 0039;	missing_NFKC	 # ( ⓳ → 19 )	NEGATIVE CIRCLED NUMBER NINETEEN → DIGIT ONE + DIGIT NINE
24F4;	0032 0030;	missing_NFKC	 # ( ⓴ → 20 )	NEGATIVE CIRCLED NUMBER TWENTY → DIGIT TWO + DIGIT ZERO
24F5;	0031;	missing_NFKC	 # ( ⓵ → 1 )	DOUBLE CIRCLED DIGIT ONE → DIGIT ONE
24F6;	0032;	missing_NFKC	 # ( ⓶ → 2 )	DOUBLE CIRCLED DIGIT TWO → DIGIT TWO
24F7;	0033;	missing_NFKC	 # ( ⓷ → 3 )	DOUBLE CIRCLED DIGIT THREE → DIGIT THREE
24F8;	0034;	missing_NFKC	 # ( ⓸ → 4 )	DOUBLE CIRCLED DIGIT FOUR → DIGIT FOUR
24F9;	0035;	missing_NFKC	 # ( ⓹ → 5 )	DOUBLE CIRCLED DIGIT FIVE → DIGIT FIVE
24FA;	0036;	missing_NFKC	 # ( ⓺ → 6 )	DOUBLE CIRCLED DIGIT SIX → DIGIT SIX
24FB;	0037;	missing_NFKC	 # ( ⓻ → 7 )	DOUBLE CIRCLED DIGIT SEVEN → DIGIT SEVEN
24FC;	0038;	missing_NFKC	 # ( ⓼ → 8 )	DOUBLE CIRCLED DIGIT EIGHT → DIGIT EIGHT
24FD;	0039;	missing_NFKC	 # ( ⓽ → 9 )	DOUBLE CIRCLED DIGIT NINE → DIGIT NINE
24FE;	0031 0030;	missing_NFKC	 # ( ⓾ → 10 )	DOUBLE CIRCLED NUMBER TEN → DIGIT ONE + DIGIT ZERO
24FF;	0030;	missing_NFKC	 # ( ⓿ → 0 )	NEGATIVE CIRCLED DIGIT ZERO → DIGIT ZERO
2776;	0031;	missing_NFKC	 # ( ❶ → 1 )	DINGBAT NEGATIVE CIRCLED DIGIT ONE → DIGIT ONE
2777;	0032;	missing_NFKC	 # ( ❷ → 2 )	DINGBAT NEGATIVE CIRCLED DIGIT TWO → DIGIT TWO
2778;	0033;	missing_NFKC	 # ( ❸ → 3 )	DINGBAT NEGATIVE CIRCLED DIGIT THREE → DIGIT THREE
2779;	0034;	missing_NFKC	 # ( ❹ → 4 )	DINGBAT NEGATIVE CIRCLED DIGIT FOUR → DIGIT FOUR
277A;	0035;	missing_NFKC	 # ( ❺ → 5 )	DINGBAT NEGATIVE CIRCLED DIGIT FIVE → DIGIT FIVE
277B;	0036;	missing_NFKC	 # ( ❻ → 6 )	DINGBAT NEGATIVE CIRCLED DIGIT SIX → DIGIT SIX
277C;	0037;	missing_NFKC	 # ( ❼ → 7 )	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN → DIGIT SEVEN
277D;	0038;	missing_NFKC	 # ( ❽ → 8 )	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT → DIGIT EIGHT
277E;	0039;	missing_NFKC	 # ( ❾ → 9 )	DINGBAT NEGATIVE CIRCLED DIGIT NINE → DIGIT NINE
277F;	0031 0030;	missing_NFKC	 # ( ❿ → 10 )	DINGBAT NEGATIVE CIRCLED NUMBER TEN → DIGIT ONE + DIGIT ZERO
2780;	0031;	missing_NFKC	 # ( ➀ → 1 )	DINGBAT CIRCLED SANS-SERIF DIGIT ONE → DIGIT ONE
2781;	0032;	missing_NFKC	 # ( ➁ → 2 )	DINGBAT CIRCLED SANS-SERIF DIGIT TWO → DIGIT TWO
2782;	0033;	missing_NFKC	 # ( ➂ → 3 )	DINGBAT CIRCLED SANS-SERIF DIGIT THREE → DIGIT THREE
2783;	0034;	missing_NFKC	 # ( ➃ → 4 )	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR → DIGIT FOUR
2784;	0035;	missing_NFKC	 # ( ➄ → 5 )	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE → DIGIT FIVE
2785;	0036;	missing_NFKC	 # ( ➅ → 6 )	DINGBAT CIRCLED SANS-SERIF DIGIT SIX → DIGIT SIX
2786;	0037;	missing_NFKC	 # ( ➆ → 7 )	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN → DIGIT SEVEN
2787;	0038;	missing_NFKC	 # ( ➇ → 8 )	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT → DIGIT EIGHT
2788;	0039;	missing_NFKC	 # ( ➈ → 9 )	DINGBAT CIRCLED SANS-SERIF DIGIT NINE → DIGIT NINE
2789;	0031 0030;	missing_NFKC	 # ( ➉ → 10 )	DINGBAT CIRCLED SANS-SERIF NUMBER TEN → DIGIT ONE + DIGIT ZERO
278A;	0031;	missing_NFKC	 # ( ➊ → 1 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE → DIGIT ONE
