# Cases where N4M differs from XNFKCCF
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=04+. digraph

1EFA;	1EFB;	006C 006C;	04+. digraph	 # ( Ỻ → ỻ )	LATIN CAPITAL LETTER MIDDLE-WELSH LL → LATIN SMALL LETTER MIDDLE-WELSH LL

#@override reason=04+. final_form

05DA;	05DA;	05DB;	04+. final_form	 # ( ך → ך )	HEBREW LETTER FINAL KAF → HEBREW LETTER FINAL KAF
05DD;	05DD;	05DE;	04+. final_form	 # ( ם → ם )	HEBREW LETTER FINAL MEM → HEBREW LETTER FINAL MEM
05DF;	05DF;	05E0;	04+. final_form	 # ( ן → ן )	HEBREW LETTER FINAL NUN → HEBREW LETTER FINAL NUN
05E3;	05E3;	05E4;	04+. final_form	 # ( ף → ף )	HEBREW LETTER FINAL PE → HEBREW LETTER FINAL PE
05E5;	05E5;	05E6;	04+. final_form	 # ( ץ → ץ )	HEBREW LETTER FINAL TSADI → HEBREW LETTER FINAL TSADI
FB26;	05DD;	05DE;	04+. final_form	 # ( ﬦ → ם )	HEBREW LETTER WIDE FINAL MEM → HEBREW LETTER FINAL MEM
FB3A;	05DA 05BC;	05DB 05BC;	04+. final_form	 # ( ךּ → ךּ )	HEBREW LETTER FINAL KAF WITH DAGESH → HEBREW LETTER FINAL KAF + HEBREW POINT DAGESH OR MAPIQ
FB43;	05E3 05BC;	05E4 05BC;	04+. final_form	 # ( ףּ → ףּ )	HEBREW LETTER FINAL PE WITH DAGESH → HEBREW LETTER FINAL PE + HEBREW POINT DAGESH OR MAPIQ

#@override reason=04+. fixed_NFKC

2044;	2044;	002F;	04+. fixed_NFKC	 # ( ⁄ → ⁄ )	FRACTION SLASH → FRACTION SLASH
2215;	2215;	002F;	04+. fixed_NFKC	 # ( ∕ → ∕ )	DIVISION SLASH → DIVISION SLASH

#@override reason=04+. fixed_superscript

3378;	3378;	0064 006D 00B2;	04+. fixed_superscript	 # ( ㍸ → ㍸ )	SQUARE DM SQUARED → SQUARE DM SQUARED
3379;	3379;	0064 006D 00B3;	04+. fixed_superscript	 # ( ㍹ → ㍹ )	SQUARE DM CUBED → SQUARE DM CUBED
339F;	339F;	006D 006D 00B2;	04+. fixed_superscript	 # ( ㎟ → ㎟ )	SQUARE MM SQUARED → SQUARE MM SQUARED
33A0;	33A0;	0063 006D 00B2;	04+. fixed_superscript	 # ( ㎠ → ㎠ )	SQUARE CM SQUARED → SQUARE CM SQUARED
33A1;	33A1;	006D 00B2;	04+. fixed_superscript	 # ( ㎡ → ㎡ )	SQUARE M SQUARED → SQUARE M SQUARED
33A2;	33A2;	006B 006D 00B2;	04+. fixed_superscript	 # ( ㎢ → ㎢ )	SQUARE KM SQUARED → SQUARE KM SQUARED
33A3;	33A3;	006D 006D 00B3;	04+. fixed_superscript	 # ( ㎣ → ㎣ )	SQUARE MM CUBED → SQUARE MM CUBED
33A4;	33A4;	0063 006D 00B3;	04+. fixed_superscript	 # ( ㎤ → ㎤ )	SQUARE CM CUBED → SQUARE CM CUBED
33A5;	33A5;	006D 00B3;	04+. fixed_superscript	 # ( ㎥ → ㎥ )	SQUARE M CUBED → SQUARE M CUBED
33A6;	33A6;	006B 006D 00B3;	04+. fixed_superscript	 # ( ㎦ → ㎦ )	SQUARE KM CUBED → SQUARE KM CUBED

#@override reason=04+. fixed_superscript + add separator

33A8;	33A8;	0020 006D 002F 0073 00B2 0020;	04+. fixed_superscript + add separator	 # ( ㎨ → ㎨ )	SQUARE M OVER S SQUARED → SQUARE M OVER S SQUARED
33AF;	33AF;	0020 0072 0061 0064 002F 0073 00B2 0020;	04+. fixed_superscript + add separator	 # ( ㎯ → ㎯ )	SQUARE RAD OVER S SQUARED → SQUARE RAD OVER S SQUARED

#@override reason=04+. missing_NFKC

24EB;	24EB;	0031 0031;	04+. missing_NFKC	 # ( ⓫ → ⓫ )	NEGATIVE CIRCLED NUMBER ELEVEN → NEGATIVE CIRCLED NUMBER ELEVEN
24EC;	24EC;	0031 0032;	04+. missing_NFKC	 # ( ⓬ → ⓬ )	NEGATIVE CIRCLED NUMBER TWELVE → NEGATIVE CIRCLED NUMBER TWELVE
24ED;	24ED;	0031 0033;	04+. missing_NFKC	 # ( ⓭ → ⓭ )	NEGATIVE CIRCLED NUMBER THIRTEEN → NEGATIVE CIRCLED NUMBER THIRTEEN
24EE;	24EE;	0031 0034;	04+. missing_NFKC	 # ( ⓮ → ⓮ )	NEGATIVE CIRCLED NUMBER FOURTEEN → NEGATIVE CIRCLED NUMBER FOURTEEN
24EF;	24EF;	0031 0035;	04+. missing_NFKC	 # ( ⓯ → ⓯ )	NEGATIVE CIRCLED NUMBER FIFTEEN → NEGATIVE CIRCLED NUMBER FIFTEEN
24F0;	24F0;	0031 0036;	04+. missing_NFKC	 # ( ⓰ → ⓰ )	NEGATIVE CIRCLED NUMBER SIXTEEN → NEGATIVE CIRCLED NUMBER SIXTEEN
24F1;	24F1;	0031 0037;	04+. missing_NFKC	 # ( ⓱ → ⓱ )	NEGATIVE CIRCLED NUMBER SEVENTEEN → NEGATIVE CIRCLED NUMBER SEVENTEEN
24F2;	24F2;	0031 0038;	04+. missing_NFKC	 # ( ⓲ → ⓲ )	NEGATIVE CIRCLED NUMBER EIGHTEEN → NEGATIVE CIRCLED NUMBER EIGHTEEN
24F3;	24F3;	0031 0039;	04+. missing_NFKC	 # ( ⓳ → ⓳ )	NEGATIVE CIRCLED NUMBER NINETEEN → NEGATIVE CIRCLED NUMBER NINETEEN
24F4;	24F4;	0032 0030;	04+. missing_NFKC	 # ( ⓴ → ⓴ )	NEGATIVE CIRCLED NUMBER TWENTY → NEGATIVE CIRCLED NUMBER TWENTY
24F5;	24F5;	0031;	04+. missing_NFKC	 # ( ⓵ → ⓵ )	DOUBLE CIRCLED DIGIT ONE → DOUBLE CIRCLED DIGIT ONE
24F6;	24F6;	0032;	04+. missing_NFKC	 # ( ⓶ → ⓶ )	DOUBLE CIRCLED DIGIT TWO → DOUBLE CIRCLED DIGIT TWO
24F7;	24F7;	0033;	04+. missing_NFKC	 # ( ⓷ → ⓷ )	DOUBLE CIRCLED DIGIT THREE → DOUBLE CIRCLED DIGIT THREE
24F8;	24F8;	0034;	04+. missing_NFKC	 # ( ⓸ → ⓸ )	DOUBLE CIRCLED DIGIT FOUR → DOUBLE CIRCLED DIGIT FOUR
24F9;	24F9;	0035;	04+. missing_NFKC	 # ( ⓹ → ⓹ )	DOUBLE CIRCLED DIGIT FIVE → DOUBLE CIRCLED DIGIT FIVE
24FA;	24FA;	0036;	04+. missing_NFKC	 # ( ⓺ → ⓺ )	DOUBLE CIRCLED DIGIT SIX → DOUBLE CIRCLED DIGIT SIX
24FB;	24FB;	0037;	04+. missing_NFKC	 # ( ⓻ → ⓻ )	DOUBLE CIRCLED DIGIT SEVEN → DOUBLE CIRCLED DIGIT SEVEN
24FC;	24FC;	0038;	04+. missing_NFKC	 # ( ⓼ → ⓼ )	DOUBLE CIRCLED DIGIT EIGHT → DOUBLE CIRCLED DIGIT EIGHT
24FD;	24FD;	0039;	04+. missing_NFKC	 # ( ⓽ → ⓽ )	DOUBLE CIRCLED DIGIT NINE → DOUBLE CIRCLED DIGIT NINE
24FE;	24FE;	0031 0030;	04+. missing_NFKC	 # ( ⓾ → ⓾ )	DOUBLE CIRCLED NUMBER TEN → DOUBLE CIRCLED NUMBER TEN
24FF;	24FF;	0030;	04+. missing_NFKC	 # ( ⓿ → ⓿ )	NEGATIVE CIRCLED DIGIT ZERO → NEGATIVE CIRCLED DIGIT ZERO
2776;	2776;	0031;	04+. missing_NFKC	 # ( ❶ → ❶ )	DINGBAT NEGATIVE CIRCLED DIGIT ONE → DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777;	2777;	0032;	04+. missing_NFKC	 # ( ❷ → ❷ )	DINGBAT NEGATIVE CIRCLED DIGIT TWO → DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778;	2778;	0033;	04+. missing_NFKC	 # ( ❸ → ❸ )	DINGBAT NEGATIVE CIRCLED DIGIT THREE → DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779;	2779;	0034;	04+. missing_NFKC	 # ( ❹ → ❹ )	DINGBAT NEGATIVE CIRCLED DIGIT FOUR → DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A;	277A;	0035;	04+. missing_NFKC	 # ( ❺ → ❺ )	DINGBAT NEGATIVE CIRCLED DIGIT FIVE → DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B;	277B;	0036;	04+. missing_NFKC	 # ( ❻ → ❻ )	DINGBAT NEGATIVE CIRCLED DIGIT SIX → DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C;	277C;	0037;	04+. missing_NFKC	 # ( ❼ → ❼ )	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN → DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D;	277D;	0038;	04+. missing_NFKC	 # ( ❽ → ❽ )	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT → DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E;	277E;	0039;	04+. missing_NFKC	 # ( ❾ → ❾ )	DINGBAT NEGATIVE CIRCLED DIGIT NINE → DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F;	277F;	0031 0030;	04+. missing_NFKC	 # ( ❿ → ❿ )	DINGBAT NEGATIVE CIRCLED NUMBER TEN → DINGBAT NEGATIVE CIRCLED NUMBER TEN
