#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'1680	'3.0	'Zs	'None	OGHAM SPACE MARK	' 	' 	' 	' 			Tr≠UCA	'1680	'1680	'1680	'0020	16. NFKC_CF-None
'109C5	'8.0	'No	'None	MEROITIC CURSIVE NUMBER SIX	'𐧅	'𐧅	'𐧅	'6			Tr≠UCA	'109C5	'109C5	'109C5	'0036	16. NFKC_CF-None
'109C6	'8.0	'No	'None	MEROITIC CURSIVE NUMBER SEVEN	'𐧆	'𐧆	'𐧆	'7			Tr≠UCA	'109C6	'109C6	'109C6	'0037	16. NFKC_CF-None
'109C7	'8.0	'No	'None	MEROITIC CURSIVE NUMBER EIGHT	'𐧇	'𐧇	'𐧇	'8			Tr≠UCA	'109C7	'109C7	'109C7	'0038	16. NFKC_CF-None
'109C8	'8.0	'No	'None	MEROITIC CURSIVE NUMBER NINE	'𐧈	'𐧈	'𐧈	'9			Tr≠UCA	'109C8	'109C8	'109C8	'0039	16. NFKC_CF-None
'10A40	'4.1	'No	'None	KHAROSHTHI DIGIT ONE	'𐩀	'𐩀	'𐩀	'1			Tr≠UCA	'10A40	'10A40	'10A40	'0031	16. NFKC_CF-None
'10A41	'4.1	'No	'None	KHAROSHTHI DIGIT TWO	'𐩁	'𐩁	'𐩁	'2			Tr≠UCA	'10A41	'10A41	'10A41	'0032	16. NFKC_CF-None
'10A42	'4.1	'No	'None	KHAROSHTHI DIGIT THREE	'𐩂	'𐩂	'𐩂	'3			Tr≠UCA	'10A42	'10A42	'10A42	'0033	16. NFKC_CF-None
'10A43	'4.1	'No	'None	KHAROSHTHI DIGIT FOUR	'𐩃	'𐩃	'𐩃	'4			Tr≠UCA	'10A43	'10A43	'10A43	'0034	16. NFKC_CF-None
'10A7D	'5.2	'No	'None	OLD SOUTH ARABIAN NUMBER ONE	'𐩽	'𐩽	'𐩽	'1			Tr≠UCA	'10A7D	'10A7D	'10A7D	'0031	16. NFKC_CF-None
'10A9D	'7.0	'No	'None	OLD NORTH ARABIAN NUMBER ONE	'𐪝	'𐪝	'𐪝	'1			Tr≠UCA	'10A9D	'10A9D	'10A9D	'0031	16. NFKC_CF-None
'10AEB	'7.0	'No	'None	MANICHAEAN NUMBER ONE	'𐫫	'𐫫	'𐫫	'1			Tr≠UCA	'10AEB	'10AEB	'10AEB	'0031	16. NFKC_CF-None
'10AEC	'7.0	'No	'None	MANICHAEAN NUMBER FIVE	'𐫬	'𐫬	'𐫬	'5			Tr≠UCA	'10AEC	'10AEC	'10AEC	'0035	16. NFKC_CF-None
'10B58	'5.2	'No	'None	INSCRIPTIONAL PARTHIAN NUMBER ONE	'𐭘	'𐭘	'𐭘	'1			Tr≠UCA	'10B58	'10B58	'10B58	'0031	16. NFKC_CF-None
'10B59	'5.2	'No	'None	INSCRIPTIONAL PARTHIAN NUMBER TWO	'𐭙	'𐭙	'𐭙	'2			Tr≠UCA	'10B59	'10B59	'10B59	'0032	16. NFKC_CF-None
'10B5A	'5.2	'No	'None	INSCRIPTIONAL PARTHIAN NUMBER THREE	'𐭚	'𐭚	'𐭚	'3			Tr≠UCA	'10B5A	'10B5A	'10B5A	'0033	16. NFKC_CF-None
'10B5B	'5.2	'No	'None	INSCRIPTIONAL PARTHIAN NUMBER FOUR	'𐭛	'𐭛	'𐭛	'4			Tr≠UCA	'10B5B	'10B5B	'10B5B	'0034	16. NFKC_CF-None
'10B78	'5.2	'No	'None	INSCRIPTIONAL PAHLAVI NUMBER ONE	'𐭸	'𐭸	'𐭸	'1			Tr≠UCA	'10B78	'10B78	'10B78	'0031	16. NFKC_CF-None
'10B79	'5.2	'No	'None	INSCRIPTIONAL PAHLAVI NUMBER TWO	'𐭹	'𐭹	'𐭹	'2			Tr≠UCA	'10B79	'10B79	'10B79	'0032	16. NFKC_CF-None
'10B7A	'5.2	'No	'None	INSCRIPTIONAL PAHLAVI NUMBER THREE	'𐭺	'𐭺	'𐭺	'3			Tr≠UCA	'10B7A	'10B7A	'10B7A	'0033	16. NFKC_CF-None
'10B7B	'5.2	'No	'None	INSCRIPTIONAL PAHLAVI NUMBER FOUR	'𐭻	'𐭻	'𐭻	'4			Tr≠UCA	'10B7B	'10B7B	'10B7B	'0034	16. NFKC_CF-None
'10BA9	'7.0	'No	'None	PSALTER PAHLAVI NUMBER ONE	'𐮩	'𐮩	'𐮩	'1			Tr≠UCA	'10BA9	'10BA9	'10BA9	'0031	16. NFKC_CF-None
'10BAA	'7.0	'No	'None	PSALTER PAHLAVI NUMBER TWO	'𐮪	'𐮪	'𐮪	'2			Tr≠UCA	'10BAA	'10BAA	'10BAA	'0032	16. NFKC_CF-None
'10BAB	'7.0	'No	'None	PSALTER PAHLAVI NUMBER THREE	'𐮫	'𐮫	'𐮫	'3			Tr≠UCA	'10BAB	'10BAB	'10BAB	'0033	16. NFKC_CF-None
'10BAC	'7.0	'No	'None	PSALTER PAHLAVI NUMBER FOUR	'𐮬	'𐮬	'𐮬	'4			Tr≠UCA	'10BAC	'10BAC	'10BAC	'0034	16. NFKC_CF-None
'10CFA	'8.0	'No	'None	OLD HUNGARIAN NUMBER ONE	'𐳺	'𐳺	'𐳺	'1			Tr≠UCA	'10CFA	'10CFA	'10CFA	'0031	16. NFKC_CF-None
'10CFB	'8.0	'No	'None	OLD HUNGARIAN NUMBER FIVE	'𐳻	'𐳻	'𐳻	'5			Tr≠UCA	'10CFB	'10CFB	'10CFB	'0035	16. NFKC_CF-None
'10E60	'5.2	'No	'None	RUMI DIGIT ONE	'𐹠	'𐹠	'𐹠	'1			Tr≠UCA	'10E60	'10E60	'10E60	'0031	16. NFKC_CF-None
'10E61	'5.2	'No	'None	RUMI DIGIT TWO	'𐹡	'𐹡	'𐹡	'2			Tr≠UCA	'10E61	'10E61	'10E61	'0032	16. NFKC_CF-None
'10E62	'5.2	'No	'None	RUMI DIGIT THREE	'𐹢	'𐹢	'𐹢	'3			Tr≠UCA	'10E62	'10E62	'10E62	'0033	16. NFKC_CF-None
'10E63	'5.2	'No	'None	RUMI DIGIT FOUR	'𐹣	'𐹣	'𐹣	'4			Tr≠UCA	'10E63	'10E63	'10E63	'0034	16. NFKC_CF-None
'10E64	'5.2	'No	'None	RUMI DIGIT FIVE	'𐹤	'𐹤	'𐹤	'5			Tr≠UCA	'10E64	'10E64	'10E64	'0035	16. NFKC_CF-None
'10E65	'5.2	'No	'None	RUMI DIGIT SIX	'𐹥	'𐹥	'𐹥	'6			Tr≠UCA	'10E65	'10E65	'10E65	'0036	16. NFKC_CF-None
'10E66	'5.2	'No	'None	RUMI DIGIT SEVEN	'𐹦	'𐹦	'𐹦	'7			Tr≠UCA	'10E66	'10E66	'10E66	'0037	16. NFKC_CF-None
'10E67	'5.2	'No	'None	RUMI DIGIT EIGHT	'𐹧	'𐹧	'𐹧	'8			Tr≠UCA	'10E67	'10E67	'10E67	'0038	16. NFKC_CF-None
'10E68	'5.2	'No	'None	RUMI DIGIT NINE	'𐹨	'𐹨	'𐹨	'9			Tr≠UCA	'10E68	'10E68	'10E68	'0039	16. NFKC_CF-None
'11052	'6.0	'No	'None	BRAHMI NUMBER ONE	'𑁒	'𑁒	'𑁒	'1			Tr≠UCA	'11052	'11052	'11052	'0031	16. NFKC_CF-None
'11053	'6.0	'No	'None	BRAHMI NUMBER TWO	'𑁓	'𑁓	'𑁓	'2			Tr≠UCA	'11053	'11053	'11053	'0032	16. NFKC_CF-None
'11054	'6.0	'No	'None	BRAHMI NUMBER THREE	'𑁔	'𑁔	'𑁔	'3			Tr≠UCA	'11054	'11054	'11054	'0033	16. NFKC_CF-None
'11055	'6.0	'No	'None	BRAHMI NUMBER FOUR	'𑁕	'𑁕	'𑁕	'4			Tr≠UCA	'11055	'11055	'11055	'0034	16. NFKC_CF-None
'11056	'6.0	'No	'None	BRAHMI NUMBER FIVE	'𑁖	'𑁖	'𑁖	'5			Tr≠UCA	'11056	'11056	'11056	'0035	16. NFKC_CF-None
'11057	'6.0	'No	'None	BRAHMI NUMBER SIX	'𑁗	'𑁗	'𑁗	'6			Tr≠UCA	'11057	'11057	'11057	'0036	16. NFKC_CF-None
'11058	'6.0	'No	'None	BRAHMI NUMBER SEVEN	'𑁘	'𑁘	'𑁘	'7			Tr≠UCA	'11058	'11058	'11058	'0037	16. NFKC_CF-None
'11059	'6.0	'No	'None	BRAHMI NUMBER EIGHT	'𑁙	'𑁙	'𑁙	'8			Tr≠UCA	'11059	'11059	'11059	'0038	16. NFKC_CF-None
'1105A	'6.0	'No	'None	BRAHMI NUMBER NINE	'𑁚	'𑁚	'𑁚	'9			Tr≠UCA	'1105A	'1105A	'1105A	'0039	16. NFKC_CF-None
'111E1	'7.0	'No	'None	SINHALA ARCHAIC DIGIT ONE	'𑇡	'𑇡	'𑇡	'1			Tr≠UCA	'111E1	'111E1	'111E1	'0031	16. NFKC_CF-None
'111E2	'7.0	'No	'None	SINHALA ARCHAIC DIGIT TWO	'𑇢	'𑇢	'𑇢	'2			Tr≠UCA	'111E2	'111E2	'111E2	'0032	16. NFKC_CF-None
'111E3	'7.0	'No	'None	SINHALA ARCHAIC DIGIT THREE	'𑇣	'𑇣	'𑇣	'3			Tr≠UCA	'111E3	'111E3	'111E3	'0033	16. NFKC_CF-None
'111E4	'7.0	'No	'None	SINHALA ARCHAIC DIGIT FOUR	'𑇤	'𑇤	'𑇤	'4			Tr≠UCA	'111E4	'111E4	'111E4	'0034	16. NFKC_CF-None
'111E5	'7.0	'No	'None	SINHALA ARCHAIC DIGIT FIVE	'𑇥	'𑇥	'𑇥	'5			Tr≠UCA	'111E5	'111E5	'111E5	'0035	16. NFKC_CF-None
'111E6	'7.0	'No	'None	SINHALA ARCHAIC DIGIT SIX	'𑇦	'𑇦	'𑇦	'6			Tr≠UCA	'111E6	'111E6	'111E6	'0036	16. NFKC_CF-None
'111E7	'7.0	'No	'None	SINHALA ARCHAIC DIGIT SEVEN	'𑇧	'𑇧	'𑇧	'7			Tr≠UCA	'111E7	'111E7	'111E7	'0037	16. NFKC_CF-None
'111E8	'7.0	'No	'None	SINHALA ARCHAIC DIGIT EIGHT	'𑇨	'𑇨	'𑇨	'8			Tr≠UCA	'111E8	'111E8	'111E8	'0038	16. NFKC_CF-None
'111E9	'7.0	'No	'None	SINHALA ARCHAIC DIGIT NINE	'𑇩	'𑇩	'𑇩	'9			Tr≠UCA	'111E9	'111E9	'111E9	'0039	16. NFKC_CF-None
'1369	'3.0	'No	'None	ETHIOPIC DIGIT ONE	'፩	'፩	'፩	'1			Tr≠UCA	'1369	'1369	'1369	'0031	16. NFKC_CF-None
'136A	'3.0	'No	'None	ETHIOPIC DIGIT TWO	'፪	'፪	'፪	'2			Tr≠UCA	'136A	'136A	'136A	'0032	16. NFKC_CF-None
'136B	'3.0	'No	'None	ETHIOPIC DIGIT THREE	'፫	'፫	'፫	'3			Tr≠UCA	'136B	'136B	'136B	'0033	16. NFKC_CF-None
'136C	'3.0	'No	'None	ETHIOPIC DIGIT FOUR	'፬	'፬	'፬	'4			Tr≠UCA	'136C	'136C	'136C	'0034	16. NFKC_CF-None
'136D	'3.0	'No	'None	ETHIOPIC DIGIT FIVE	'፭	'፭	'፭	'5			Tr≠UCA	'136D	'136D	'136D	'0035	16. NFKC_CF-None
'136E	'3.0	'No	'None	ETHIOPIC DIGIT SIX	'፮	'፮	'፮	'6			Tr≠UCA	'136E	'136E	'136E	'0036	16. NFKC_CF-None
'136F	'3.0	'No	'None	ETHIOPIC DIGIT SEVEN	'፯	'፯	'፯	'7			Tr≠UCA	'136F	'136F	'136F	'0037	16. NFKC_CF-None
'1370	'3.0	'No	'None	ETHIOPIC DIGIT EIGHT	'፰	'፰	'፰	'8			Tr≠UCA	'1370	'1370	'1370	'0038	16. NFKC_CF-None
'1371	'3.0	'No	'None	ETHIOPIC DIGIT NINE	'፱	'፱	'፱	'9			Tr≠UCA	'1371	'1371	'1371	'0039	16. NFKC_CF-None
'17F0	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK SON	'៰	'៰	'៰	'0			Tr≠UCA	'17F0	'17F0	'17F0	'0030	16. NFKC_CF-None
'17F1	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK MUOY	'៱	'៱	'៱	'1			Tr≠UCA	'17F1	'17F1	'17F1	'0031	16. NFKC_CF-None
'17F2	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK PII	'៲	'៲	'៲	'2			Tr≠UCA	'17F2	'17F2	'17F2	'0032	16. NFKC_CF-None
'17F3	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK BEI	'៳	'៳	'៳	'3			Tr≠UCA	'17F3	'17F3	'17F3	'0033	16. NFKC_CF-None
'17F4	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK BUON	'៴	'៴	'៴	'4			Tr≠UCA	'17F4	'17F4	'17F4	'0034	16. NFKC_CF-None
'17F5	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK PRAM	'៵	'៵	'៵	'5			Tr≠UCA	'17F5	'17F5	'17F5	'0035	16. NFKC_CF-None
'17F6	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK PRAM-MUOY	'៶	'៶	'៶	'6			Tr≠UCA	'17F6	'17F6	'17F6	'0036	16. NFKC_CF-None
'17F7	'4.0	'No	'None	KHMER SYMBOL LEK ATTAK PRAM-PII	'៷	'៷	'៷	'7			Tr≠UCA	'17F7	'17F7	'17F7	'0037	16. NFKC_CF-None
