#Code	Age	GC	DT	Name	N4M	Trial	NFKCCF	UCA	Δ	Δ	Δ	N4M Hex	Trial Hex	NFKCCF Hex	UCA Hex	Trial Reasons
'1680	'3.0	'Zs	'None	OGHAM SPACE MARK	' 	' 	' 	' 			Tr≠UCA	'1680	'1680	'1680	'0020	16. NFKC_CF-None
'19DE	'4.1	'So	'None	NEW TAI LUE SIGN LAE	'᧞	'᧞	'᧞	'ᦜᦶ			Tr≠UCA	'19DE	'19DE	'19DE	'199C 19B6	16. NFKC_CF-None
'19DF	'4.1	'So	'None	NEW TAI LUE SIGN LAEV	'᧟	'᧟	'᧟	'ᦜᦶᧁ			Tr≠UCA	'19DF	'19DF	'19DF	'199C 19B6 19C1	16. NFKC_CF-None
'1D157	'3.1	'So	'None	MUSICAL SYMBOL VOID NOTEHEAD	'𝅗	'𝅗	'𝅗	'𝅗𝅥			Tr≠UCA	'1D157	'1D157	'1D157	'1D157 1D165	16. NFKC_CF-None
'1D158	'3.1	'So	'None	MUSICAL SYMBOL NOTEHEAD BLACK	'𝅘	'𝅘	'𝅘	'𝅘𝅥𝅮			Tr≠UCA	'1D158	'1D158	'1D158	'1D158 1D165 1D16E	16. NFKC_CF-None
'1D1B9	'3.1	'So	'None	MUSICAL SYMBOL SEMIBREVIS WHITE	'𝆹	'𝆹	'𝆹	'𝆹𝅥𝅮			Tr≠UCA	'1D1B9	'1D1B9	'1D1B9	'1D1B9 1D165 1D16E	16. NFKC_CF-None
'1D1BA	'3.1	'So	'None	MUSICAL SYMBOL SEMIBREVIS BLACK	'𝆺	'𝆺	'𝆺	'𝆺𝅥𝅮			Tr≠UCA	'1D1BA	'1D1BA	'1D1BA	'1D1BA 1D165 1D16E	16. NFKC_CF-None
'3008	'1.1	'Ps	'None	LEFT ANGLE BRACKET	'〈	'〈	'〈	'〈			Tr≠UCA	'3008	'3008	'3008	'2329	16. NFKC_CF-None
'180A	'3.0	'Po	'None	MONGOLIAN NIRUGU	'᠊	'᠊	'᠊	'∅			Tr≠UCA	'180A	'180A	'180A	'	16. NFKC_CF-None
'1CD3	'5.2	'Po	'None	VEDIC SIGN NIHSHVASA	'᳓	'᳓	'᳓	'∅			Tr≠UCA	'1CD3	'1CD3	'1CD3	'	16. NFKC_CF-None
'3009	'1.1	'Pe	'None	RIGHT ANGLE BRACKET	'〉	'〉	'〉	'〉			Tr≠UCA	'3009	'3009	'3009	'232A	16. NFKC_CF-None
'0C78	'5.1	'No	'None	TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF FOUR	'౸	'౸	'౸	'0			Tr≠UCA	'0C78	'0C78	'0C78	'0030	16. NFKC_CF-None
'0C79	'5.1	'No	'None	TELUGU FRACTION DIGIT ONE FOR ODD POWERS OF FOUR	'౹	'౹	'౹	'1			Tr≠UCA	'0C79	'0C79	'0C79	'0031	16. NFKC_CF-None
'0C7A	'5.1	'No	'None	TELUGU FRACTION DIGIT TWO FOR ODD POWERS OF FOUR	'౺	'౺	'౺	'2			Tr≠UCA	'0C7A	'0C7A	'0C7A	'0032	16. NFKC_CF-None
'0C7B	'5.1	'No	'None	TELUGU FRACTION DIGIT THREE FOR ODD POWERS OF FOUR	'౻	'౻	'౻	'3			Tr≠UCA	'0C7B	'0C7B	'0C7B	'0033	16. NFKC_CF-None
'0C7C	'5.1	'No	'None	TELUGU FRACTION DIGIT ONE FOR EVEN POWERS OF FOUR	'౼	'౼	'౼	'1			Tr≠UCA	'0C7C	'0C7C	'0C7C	'0031	16. NFKC_CF-None
'0C7D	'5.1	'No	'None	TELUGU FRACTION DIGIT TWO FOR EVEN POWERS OF FOUR	'౽	'౽	'౽	'2			Tr≠UCA	'0C7D	'0C7D	'0C7D	'0032	16. NFKC_CF-None
'0C7E	'5.1	'No	'None	TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR	'౾	'౾	'౾	'3			Tr≠UCA	'0C7E	'0C7E	'0C7E	'0033	16. NFKC_CF-None
'0F2A	'2.0	'No	'None	TIBETAN DIGIT HALF ONE	'༪	'༪	'༪	'1			Tr≠UCA	'0F2A	'0F2A	'0F2A	'0031	16. NFKC_CF-None
'0F2B	'2.0	'No	'None	TIBETAN DIGIT HALF TWO	'༫	'༫	'༫	'2			Tr≠UCA	'0F2B	'0F2B	'0F2B	'0032	16. NFKC_CF-None
'0F2C	'2.0	'No	'None	TIBETAN DIGIT HALF THREE	'༬	'༬	'༬	'3			Tr≠UCA	'0F2C	'0F2C	'0F2C	'0033	16. NFKC_CF-None
'0F2D	'2.0	'No	'None	TIBETAN DIGIT HALF FOUR	'༭	'༭	'༭	'4			Tr≠UCA	'0F2D	'0F2D	'0F2D	'0034	16. NFKC_CF-None
'0F2E	'2.0	'No	'None	TIBETAN DIGIT HALF FIVE	'༮	'༮	'༮	'5			Tr≠UCA	'0F2E	'0F2E	'0F2E	'0035	16. NFKC_CF-None
'0F2F	'2.0	'No	'None	TIBETAN DIGIT HALF SIX	'༯	'༯	'༯	'6			Tr≠UCA	'0F2F	'0F2F	'0F2F	'0036	16. NFKC_CF-None
'0F30	'2.0	'No	'None	TIBETAN DIGIT HALF SEVEN	'༰	'༰	'༰	'7			Tr≠UCA	'0F30	'0F30	'0F30	'0037	16. NFKC_CF-None
'0F31	'2.0	'No	'None	TIBETAN DIGIT HALF EIGHT	'༱	'༱	'༱	'8			Tr≠UCA	'0F31	'0F31	'0F31	'0038	16. NFKC_CF-None
'0F32	'2.0	'No	'None	TIBETAN DIGIT HALF NINE	'༲	'༲	'༲	'9			Tr≠UCA	'0F32	'0F32	'0F32	'0039	16. NFKC_CF-None
'0F33	'2.0	'No	'None	TIBETAN DIGIT HALF ZERO	'༳	'༳	'༳	'0			Tr≠UCA	'0F33	'0F33	'0F33	'0030	16. NFKC_CF-None
'10107	'4.0	'No	'None	AEGEAN NUMBER ONE	'𐄇	'𐄇	'𐄇	'1			Tr≠UCA	'10107	'10107	'10107	'0031	16. NFKC_CF-None
'10108	'4.0	'No	'None	AEGEAN NUMBER TWO	'𐄈	'𐄈	'𐄈	'2			Tr≠UCA	'10108	'10108	'10108	'0032	16. NFKC_CF-None
'10109	'4.0	'No	'None	AEGEAN NUMBER THREE	'𐄉	'𐄉	'𐄉	'3			Tr≠UCA	'10109	'10109	'10109	'0033	16. NFKC_CF-None
'1010A	'4.0	'No	'None	AEGEAN NUMBER FOUR	'𐄊	'𐄊	'𐄊	'4			Tr≠UCA	'1010A	'1010A	'1010A	'0034	16. NFKC_CF-None
'1010B	'4.0	'No	'None	AEGEAN NUMBER FIVE	'𐄋	'𐄋	'𐄋	'5			Tr≠UCA	'1010B	'1010B	'1010B	'0035	16. NFKC_CF-None
'1010C	'4.0	'No	'None	AEGEAN NUMBER SIX	'𐄌	'𐄌	'𐄌	'6			Tr≠UCA	'1010C	'1010C	'1010C	'0036	16. NFKC_CF-None
'1010D	'4.0	'No	'None	AEGEAN NUMBER SEVEN	'𐄍	'𐄍	'𐄍	'7			Tr≠UCA	'1010D	'1010D	'1010D	'0037	16. NFKC_CF-None
'1010E	'4.0	'No	'None	AEGEAN NUMBER EIGHT	'𐄎	'𐄎	'𐄎	'8			Tr≠UCA	'1010E	'1010E	'1010E	'0038	16. NFKC_CF-None
'1010F	'4.0	'No	'None	AEGEAN NUMBER NINE	'𐄏	'𐄏	'𐄏	'9			Tr≠UCA	'1010F	'1010F	'1010F	'0039	16. NFKC_CF-None
'1018A	'4.1	'No	'None	GREEK ZERO SIGN	'𐆊	'𐆊	'𐆊	'0			Tr≠UCA	'1018A	'1018A	'1018A	'0030	16. NFKC_CF-None
'102E1	'7.0	'No	'None	COPTIC EPACT DIGIT ONE	'𐋡	'𐋡	'𐋡	'1			Tr≠UCA	'102E1	'102E1	'102E1	'0031	16. NFKC_CF-None
'102E2	'7.0	'No	'None	COPTIC EPACT DIGIT TWO	'𐋢	'𐋢	'𐋢	'2			Tr≠UCA	'102E2	'102E2	'102E2	'0032	16. NFKC_CF-None
'102E3	'7.0	'No	'None	COPTIC EPACT DIGIT THREE	'𐋣	'𐋣	'𐋣	'3			Tr≠UCA	'102E3	'102E3	'102E3	'0033	16. NFKC_CF-None
'102E4	'7.0	'No	'None	COPTIC EPACT DIGIT FOUR	'𐋤	'𐋤	'𐋤	'4			Tr≠UCA	'102E4	'102E4	'102E4	'0034	16. NFKC_CF-None
'102E5	'7.0	'No	'None	COPTIC EPACT DIGIT FIVE	'𐋥	'𐋥	'𐋥	'5			Tr≠UCA	'102E5	'102E5	'102E5	'0035	16. NFKC_CF-None
'102E6	'7.0	'No	'None	COPTIC EPACT DIGIT SIX	'𐋦	'𐋦	'𐋦	'6			Tr≠UCA	'102E6	'102E6	'102E6	'0036	16. NFKC_CF-None
'102E7	'7.0	'No	'None	COPTIC EPACT DIGIT SEVEN	'𐋧	'𐋧	'𐋧	'7			Tr≠UCA	'102E7	'102E7	'102E7	'0037	16. NFKC_CF-None
'102E8	'7.0	'No	'None	COPTIC EPACT DIGIT EIGHT	'𐋨	'𐋨	'𐋨	'8			Tr≠UCA	'102E8	'102E8	'102E8	'0038	16. NFKC_CF-None
'102E9	'7.0	'No	'None	COPTIC EPACT DIGIT NINE	'𐋩	'𐋩	'𐋩	'9			Tr≠UCA	'102E9	'102E9	'102E9	'0039	16. NFKC_CF-None
'10320	'3.1	'No	'None	OLD ITALIC NUMERAL ONE	'𐌠	'𐌠	'𐌠	'1			Tr≠UCA	'10320	'10320	'10320	'0031	16. NFKC_CF-None
'10321	'3.1	'No	'None	OLD ITALIC NUMERAL FIVE	'𐌡	'𐌡	'𐌡	'5			Tr≠UCA	'10321	'10321	'10321	'0035	16. NFKC_CF-None
'10858	'5.2	'No	'None	IMPERIAL ARAMAIC NUMBER ONE	'𐡘	'𐡘	'𐡘	'1			Tr≠UCA	'10858	'10858	'10858	'0031	16. NFKC_CF-None
'10859	'5.2	'No	'None	IMPERIAL ARAMAIC NUMBER TWO	'𐡙	'𐡙	'𐡙	'2			Tr≠UCA	'10859	'10859	'10859	'0032	16. NFKC_CF-None
'1085A	'5.2	'No	'None	IMPERIAL ARAMAIC NUMBER THREE	'𐡚	'𐡚	'𐡚	'3			Tr≠UCA	'1085A	'1085A	'1085A	'0033	16. NFKC_CF-None
'10879	'7.0	'No	'None	PALMYRENE NUMBER ONE	'𐡹	'𐡹	'𐡹	'1			Tr≠UCA	'10879	'10879	'10879	'0031	16. NFKC_CF-None
'1087A	'7.0	'No	'None	PALMYRENE NUMBER TWO	'𐡺	'𐡺	'𐡺	'2			Tr≠UCA	'1087A	'1087A	'1087A	'0032	16. NFKC_CF-None
'1087B	'7.0	'No	'None	PALMYRENE NUMBER THREE	'𐡻	'𐡻	'𐡻	'3			Tr≠UCA	'1087B	'1087B	'1087B	'0033	16. NFKC_CF-None
'1087C	'7.0	'No	'None	PALMYRENE NUMBER FOUR	'𐡼	'𐡼	'𐡼	'4			Tr≠UCA	'1087C	'1087C	'1087C	'0034	16. NFKC_CF-None
'1087D	'7.0	'No	'None	PALMYRENE NUMBER FIVE	'𐡽	'𐡽	'𐡽	'5			Tr≠UCA	'1087D	'1087D	'1087D	'0035	16. NFKC_CF-None
'108A7	'7.0	'No	'None	NABATAEAN NUMBER ONE	'𐢧	'𐢧	'𐢧	'1			Tr≠UCA	'108A7	'108A7	'108A7	'0031	16. NFKC_CF-None
'108A8	'7.0	'No	'None	NABATAEAN NUMBER TWO	'𐢨	'𐢨	'𐢨	'2			Tr≠UCA	'108A8	'108A8	'108A8	'0032	16. NFKC_CF-None
'108A9	'7.0	'No	'None	NABATAEAN NUMBER THREE	'𐢩	'𐢩	'𐢩	'3			Tr≠UCA	'108A9	'108A9	'108A9	'0033	16. NFKC_CF-None
'108AA	'7.0	'No	'None	NABATAEAN NUMBER FOUR	'𐢪	'𐢪	'𐢪	'4			Tr≠UCA	'108AA	'108AA	'108AA	'0034	16. NFKC_CF-None
'108AB	'7.0	'No	'None	NABATAEAN CRUCIFORM NUMBER FOUR	'𐢫	'𐢫	'𐢫	'4			Tr≠UCA	'108AB	'108AB	'108AB	'0034	16. NFKC_CF-None
'108AC	'7.0	'No	'None	NABATAEAN NUMBER FIVE	'𐢬	'𐢬	'𐢬	'5			Tr≠UCA	'108AC	'108AC	'108AC	'0035	16. NFKC_CF-None
'108FB	'8.0	'No	'None	HATRAN NUMBER ONE	'𐣻	'𐣻	'𐣻	'1			Tr≠UCA	'108FB	'108FB	'108FB	'0031	16. NFKC_CF-None
'108FC	'8.0	'No	'None	HATRAN NUMBER FIVE	'𐣼	'𐣼	'𐣼	'5			Tr≠UCA	'108FC	'108FC	'108FC	'0035	16. NFKC_CF-None
'10916	'5.0	'No	'None	PHOENICIAN NUMBER ONE	'𐤖	'𐤖	'𐤖	'1			Tr≠UCA	'10916	'10916	'10916	'0031	16. NFKC_CF-None
'1091A	'5.2	'No	'None	PHOENICIAN NUMBER TWO	'𐤚	'𐤚	'𐤚	'2			Tr≠UCA	'1091A	'1091A	'1091A	'0032	16. NFKC_CF-None
'1091B	'5.2	'No	'None	PHOENICIAN NUMBER THREE	'𐤛	'𐤛	'𐤛	'3			Tr≠UCA	'1091B	'1091B	'1091B	'0033	16. NFKC_CF-None
'109C0	'8.0	'No	'None	MEROITIC CURSIVE NUMBER ONE	'𐧀	'𐧀	'𐧀	'1			Tr≠UCA	'109C0	'109C0	'109C0	'0031	16. NFKC_CF-None
'109C1	'8.0	'No	'None	MEROITIC CURSIVE NUMBER TWO	'𐧁	'𐧁	'𐧁	'2			Tr≠UCA	'109C1	'109C1	'109C1	'0032	16. NFKC_CF-None
'109C2	'8.0	'No	'None	MEROITIC CURSIVE NUMBER THREE	'𐧂	'𐧂	'𐧂	'3			Tr≠UCA	'109C2	'109C2	'109C2	'0033	16. NFKC_CF-None
'109C3	'8.0	'No	'None	MEROITIC CURSIVE NUMBER FOUR	'𐧃	'𐧃	'𐧃	'4			Tr≠UCA	'109C3	'109C3	'109C3	'0034	16. NFKC_CF-None
'109C4	'8.0	'No	'None	MEROITIC CURSIVE NUMBER FIVE	'𐧄	'𐧄	'𐧄	'5			Tr≠UCA	'109C4	'109C4	'109C4	'0035	16. NFKC_CF-None
