;Radical Number,Status,Unified Ideo,Hex,Radical,Hex,Name,Conf. Char,Hex,Unified Ideo. has NO Remaining Strokes in Unihan
1,Main,一,U+4E00,⼀,U+2F00,ONE
2,Main,丨,U+4E28,⼁,U+2F01,LINE
3,Main,丶,U+4E36,⼂,U+2F02,DOT
4,Main,丿,U+4E3F,⼃,U+2F03,SLASH,,,乀乁
5,Main,乙,U+4E59,⼄,U+2F04,SECOND,,,乚乛𠃉𠃊𠃋𠃌𠃍𠃎𠃑
5,Variant,乚,X-4E5A,⺃,U+2E83,SECOND_TWO
5,Variant,乛,X-4E5B,⺂,U+2E82,SECOND_ONE
5,Variant,,!VALUE!,⺄,U+2E84,SECOND_THREE
6,Main,亅,U+4E85,⼅,U+2F05,HOOK,,,𠄌
7,Main,二,U+4E8C,⼆,U+2F06,TWO,,,𠄞𠄟𠄠
8,Main,亠,U+4EA0,⼇,U+2F07,LID
9,Main,人,U+4EBA,⼈,U+2F08,MAN,,,亻𠆢
9,Variant,亻,X-4EBB,⺅,U+2E85,PERSON
10,Main,儿,U+513F,⼉,U+2F09,LEGS
11,Main,入,U+5165,⼊,U+2F0A,ENTER
12,Main,八,U+516B,⼋,U+2F0B,EIGHT
13,Main,冂,U+5182,⼌,U+2F0C,DOWN_BOX
13,Variant,,!VALUE!,⺆,U+2E86,BOX
14,Main,冖,U+5196,⼍,U+2F0D,COVER
15,Main,冫,U+51AB,⼎,U+2F0E,ICE
16,Main,几,U+51E0,⼏,U+2F0F,TABLE,,,𠘧𠘨
16,Variant,𠘨,X-20628,⺇,U+2E87,TABLE
17,Main,凵,U+51F5,⼐,U+2F10,OPEN_BOX,,,𠙴
18,Main,刀,U+5200,⼑,U+2F11,KNIFE,,,刁刂𠚣
18,Variant,刂,X-5202,⺉,U+2E89,KNIFE_TWO
18,Variant,,!VALUE!,⺈,U+2E88,KNIFE_ONE
19,Main,力,U+529B,⼒,U+2F12,POWER
20,Main,勹,U+52F9,⼓,U+2F13,WRAP
21,Main,匕,U+5315,⼔,U+2F14,SPOON,,,𠤎
