5C58	401.01
5C7B	401.07
5D56	401.10
5E0E	402.03
5FDF	402.07
6010	402.08
6036	403.01
60D7	403.06
61B5	404.04
61B8	404.06
6219	405.03 405.04
6264	406.02 406.03
6271	406.05 406.06 406.07 406.08
6272	406.04
627B	407.01 407.02
628C	406.10
62A6	407.03
62AF	408.04
62B0	407.07
62B3	407.10
62EB	408.10
6303	409.04
630D	408.05
630F	409.03
6318	409.02
632D	410.01 410.02
6366	412.06
6375	413.05
6379	411.05 411.06
637C	413.06
6385	411.07
639F	411.08
63A4	413.03
63B0	413.01
63B9	413.02
63C3	417.02
63C5	419.05
63C7	416.01
63D7	416.03
63DE	413.07
63E2	415.02
63E6	415.04 415.05 415.06 415.07
63EC	415.01
63EF	412.05
63F0	413.09
63F8	416.06 416.07 417.01
63FC	414.01 414.02 414.03 414.04 414.05
6407	417.04 417.05
6423	418.04
6430	419.03
6432	419.01
6435	419.02
644F	421.08
6455	420.01
6459	420.08 420.09
645A	421.09
645D	421.02
6471	421.03
6475	420.02
6477	419.09 419.10
647C	420.06
648D	413.08
6498	422.04
64B4	422.03
64BB	423.07 423.08
64BC	424.03
64CF	424.02
64D9	423.05
64DD	424.09 424.10
64EA	425.04
64F3	427.04
64F8	426.02 426.03 426.04 426.05 426.06 426.07 426.08
650B	427.06
651E	428.01 428.02
6530	345.03
6534	428.07
66C0	429.07
66F1	429.09
68EF	430.04
68F9	430.05
69D3	430.09
6A16	430.10
6A7A	431.02
6AC8	431.06
6B39	431.09
6B3C	431.08
6B70	431.10
6BC8	432.02 432.03
6BFB	432.07
6C39	338.05 338.06 339.01
6C3D	341.05
6C8A	432.10
6C95	433.02
6CAC	433.03
6D56	433.08
6D6D	433.07
6DE5	433.11
6DF0	433.12
6E27	434.02
6E46	434.03
6E74	433.10
6E9A	435.02
6ED0	434.06
6ED8	434.05
6EEE	434.08
6F07	435.01
6F16	434.09
7004	435.03
7052	435.06
7086	435.07
70A0	435.09
70DA	436.01 436.02
7105	436.04
7113	436.06
7117	436.05
712B	436.08
713E	436.09
7140	436.10
7141	437.01
7171	437.02
7172	340.08
719D	437.06
71C2	437.08
71D8	437.07
71F6	437.09
7229	438.05
730B	438.10
7373	438.11
7424	439.01
743C	438.13
74F9	439.05
7502	439.06
7534	429.10
7540	439.07
7593	439.08
75FE	440.04
7650	441.04
7666	441.06
766A	441.07
7744	444.02
7747	444.03
7769	444.05
7778	444.09
777A	444.06
7793	445.01
77CB	446.03
77F4	446.07
77FA	447.02
7810	447.01
7835	447.03
785F	447.05 447.06
78E2	447.09
79A1	448.02
79DD	448.04
7A89	448.07
7A8A	448.09
7AC9	449.02
7B13	449.05
7BF8	449.07
7BFC	449.08
7C15	449.09
7CCD	449.13
7F39	450.06
80B6	451.06
80B9	451.05
80F5	451.08
810C	451.07
8117	451.12
8137	451.11
813D	452.09
814D	452.06
8169	452.11
816C	452.10
8181	453.06
8187	453.03
8189	453.05
818D	453.04
81A5	453.08
81AA	454.03
81B1	454.01
81B6	453.11
820B	454.09
8226	455.05
823E	455.06
8254	455.07
825C	455.08
83FB	456.02
847E	456.03
849F	456.05
84E2	456.06
84EA	457.04
84FB	457.05
8503	457.02
8534	457.03
85B3	467.08
8692	457.09
86D3	458.03
875E	458.08
8786	458.09
87DD	458.10
87E7	458.11
8804	458.12
88C7	459.06
8971	459.10
8A4F	460.05
8D03	461.02
8D0B	346.03
8D8C	461.04
8D9C	461.06
8DB7	461.09 461.10
8DC0	461.12 462.01
8DC1	462.02
8DD4	462.05
8E0E	463.02
8E2D	463.04
8E46	463.11
8E58	464.03
8E68	464.08
8E7E	464.04
8E80	464.05
8E82	464.09
8E9D	465.04
8EAD	465.07
8EBD	466.02
8EDA	466.07
8EED	466.11
8F0B	402.01
8FFE	467.02
9033	467.04
90A8	467.09
90C1	468.01
9176	468.02
9212	468.05
922A	468.04
924E	468.06
927C	468.07
935F	468.09
9385	468.08
93D7	468.10
93F9	468.11
944A	469.03
9462	469.04
95AA	469.08
9628	470.03
975A	470.06
9794	470.09
97CC	471.03
9815	471.05
9835	471.07
98F5	471.12
9938	472.03
9AB2	472.09
9AB9	472.10
9AE7	473.01
9B05	473.03
9B20	473.04
9B2D	473.07
9BED	474.01
9BFF	474.02
9C02	474.03
9C45	474.05
9C72	474.06
9ED0	474.09
9F3C	474.12
9FC3	444.01
9FCD	395.05
201A9	339.03
20325	340.07
20341	340.10
204FC	341.06
20544	341.08
2070E	344.03
20731	344.06
2076D	344.07
20779	344.05
20BA8	347.02
20BA9	346.07 346.08
20BCB	348.11
20BE6	348.07
20BFD	349.06
20C0B	350.07
20C32	351.09
20C41	351.11
20C42	349.10 350.01
20C43	351.06 351.07
20C53	352.03
20C65	350.03 350.04
20C77	355.02
20C78	355.04
20C96	353.08
20C9C	365.01
20CB5	356.05
20CCF	355.09 356.01
20CD5	355.07
20CD6	352.05
20D15	358.01
20D30	361.05
20D33	359.02 359.03
20D46	360.01
20D47	363.01
20D48	363.09
20D49	362.08
20D69	362.04
20D6F	362.06
20D7C	363.06 363.07
20D7E	364.06
20D7F	364.02 364.03 364.04
20D9C	365.02
20DA7	360.06
20DB2	361.02 361.03 361.04
20E09	368.04
20E0A	369.01 369.02 369.03
20E0E	368.07
20E0F	367.02
20E10	368.05
20E11	368.09
20E12	365.10
20E4C	372.10 372.11 373.01 373.02
20E6D	372.08
20E73	371.08
20E77	370.08
20E78	372.07
20E79	373.03
20E7A	373.08
20E7B	374.06
20E8C	372.02
20E98	373.05 373.06
20E9D	371.07
20EA2	371.05 371.06
20EAA	372.04 372.05
20EAB	373.04
20EAC	372.03
20ED7	377.02
20ED8	379.08
20EF4	373.07
20EFA	374.09
20EFB	375.01
20F15	378.02
20F17	379.05
20F2D	375.03
20F2E	374.07
20F30	376.09
20F31	377.03 377.04
20F3B	376.03 376.04
20F43	379.06
20F4C	379.02
20F52	378.01
20F64	382.01 382.02 382.03
20F8D	381.10 381.11
20F8F	381.04
20FAD	382.09
20FB4	380.08 380.09
20FB5	382.10 383.01 383.02
20FB6	381.09
20FBC	381.05
20FEA	383.09
20FEB	385.05
20FEC	385.06
20FED	385.07
2101D	385.02
2101E	384.06 384.07
21029	384.10
2104F	386.03
2105C	386.01
2106F	387.03
21075	387.04
21076	387.09
21077	387.01 387.02
21078	387.06
2107B	388.02
21088	386.06
21096	389.04
2109D	390.03
210C0	380.03
210C1	389.07 389.08
210C7	388.03
210C8	389.01 389.02
210C9	388.07
210CF	388.06
210D3	388.04
210E4	391.03 391.04
210F4	390.08
210F5	390.05 390.06
210F6	391.10
2111F	391.12
2112F	392.01
21135	393.04
2113D	393.03
21148	392.08
2114F	392.03
21180	393.09
21187	394.03
211D9	394.07
21681	397.04
216A6	397.08
21731	398.03
2197C	399.06
21C2A	400.09
21CA2	401.03
21CAC	401.04
220C7	402.04
221A1	400.02
22208	402.05
22605	446.05
22696	403.03
226F4	403.05
226F5	403.08
22775	471.10
227B5	471.11
22803	404.01
22939	404.08
22982	405.02
22A66	405.05 405.06
22ACF	407.08
22AD5	408.01 408.02 408.03
22AE8	408.07
22AEB	409.01
22B3F	410.06 411.01
22B43	409.07 409.08 409.09
22B91	412.08
22BCA	411.10
22BCE	411.04
22C38	416.05
22C51	416.04
22C55	414.06
22C62	418.07
22C88	417.06
22CA1	417.07 417.08 417.09
22CA9	415.03
22CB2	418.03
22CB5	420.03
22CB7	419.06
22CB8	421.01
22CC2	417.03
22CC6	419.08
22D08	420.04
22D12	421.07
22D44	422.02
22D4C	422.05
22D53	423.03
22D67	422.07
22D8D	425.01
22D9C	423.06
22DA0	425.02
22DA4	424.05 424.06
22DAF	424.08
22DEE	425.05
22E51	427.09
22E8B	428.03
22EB3	428.04 428.05
22F74	429.02
233B4	338.01 338.02
233F4	430.02
233FE	430.01
23595	430.07
2361A	430.11
23695	431.04
236BA	431.03
239C2	432.01
23CB7	433.04
23CFC	433.06
241A3	435.08
24292	436.07
2430D	437.04
244D3	438.04
245C8	438.07
24674	438.08
2472F	438.09
24DB8	440.02
24DC7	440.05
24DEA	440.03
24E3B	440.07 440.08
24E50	440.09
24EA7	441.03
24FC2	442.01
24FEA	442.05
2502C	443.02
25052	443.04
2510E	443.07
2512B	443.06
25148	443.08
25160	443.09
2517E	443.10
251E3	444.04
25232	444.08
25236	444.10
2528C	445.03
25299	445.05
252C7	445.06
252D8	445.09
2531B	446.04
25531	137.09
2553F	447.08
25945	448.05
259F9	448.10
25E49	449.12
26097	450.03
260A5	450.02
26258	450.09
265BF	451.02
26629	451.03
266DA	452.02
26716	452.04
267CC	453.07
26846	454.04
2688A	454.07
26893	454.06
268C7	454.08
26926	438.12
269F2	454.11 455.01
269FA	455.04
26ED0	457.07
27285	458.01
272B6	458.02
272CA	458.05
272E6	458.04
27307	458.06
27574	459.02
27639	459.04
27685	459.07
27694	459.08
2775E	459.09
2789D	460.01
278C8	460.02
2797A	460.04
279A0	460.03
279DD	460.06
27A0A	460.08
27A3E	460.09
27D2F	460.11
27D84	461.01
27ED9	461.05
27FD2	461.11
27FEB	462.03
28023	462.06
28024	462.07
28048	463.01
28090	463.03
280BD	463.05
280BE	463.07
280E9	463.10
2814F	464.07
2815D	464.06
281AA	465.03
281AF	465.02
28207	465.06
28256	470.01
2827C	466.05
2829B	466.06
282CD	466.08
282E2	466.09
28B4C	469.01 469.02
28CCA	469.06
28CCD	469.05
28CD2	469.07
28D99	470.02
294E5	471.06
295F4	471.09
29720	472.02
297D4	472.05
2994B	472.08
29A4D	472.11
29B0E	473.02
2A400	474.08
2A4AC	474.10
2A601	475.02
2A632	475.03
2A65B	475.04
2A6A9	391.01
2B736	453.10
2B8F9	341.01 341.02
2B90A	341.03
2B91A	340.06
2B923	341.04
2B93A	342.07
2B94B	343.05
2B977	343.06
2B97E	344.02
2B98F	344.08
2B99F	345.02
2B9BC	450.10
2B9F1	345.09
2B9F2	345.10
2B9F3	345.11
2B9F5	346.01
2B9F6	346.02
2BA25	346.04
2BA39	346.05
2BA4E	346.06
2BA5D	348.08
2BA66	351.08
2BA7F	356.02
2BA88	356.08
2BA93	363.08
2BA9E	359.04
2BAAC	363.03 363.04
2BAB2	365.09
2BAB3	366.01
2BAB4	366.02
2BAB5	367.10
2BAB6	369.04
2BAB7	368.06
2BABB	359.07
2BAC1	366.04
2BAC4	370.03
2BAC5	370.09
2BAC8	375.02
2BACB	372.09
2BAD0	434.07
2BAD3	375.09
2BAD4	376.05
2BAD5	379.04
2BADC	375.04
2BADD	378.10 378.11
2BADF	379.03
2BAE0	379.01
2BAE1	374.08
2BAE2	378.03 378.04 378.05
2BAE9	382.04
2BAF6	384.09
2BAF7	386.02
2BAF8	471.01
2BAFC	383.07
2BB02	384.08
2BB08	386.07
2BB09	387.05
2BB0F	387.07
2BB13	389.03
2BB17	388.08
2BB1C	391.02
2BB1D	391.08
2BB1E	391.11
2BB24	391.05 391.06
2BB26	386.08
2BB27	391.09
2BB28	390.04
2BB2C	392.04
2BB35	392.05
2BB36	393.02
2BB37	392.07
2BB3A	393.06
2BB3C	393.05
2BB3E	393.10
2BB3F	393.07 393.08
2BB41	394.04
2BB43	394.06
2BB49	394.08 395.01
2BB4A	395.02
2BB9A	396.06
2BBE3	397.03
2BBFD	397.05
2BBFE	397.06
2BC03	397.07
2BC2A	398.04
2BCA5	399.03
2BCAD	400.01
2BCD7	400.05 400.06
2BCF4	400.07
2BD71	401.06
2BD92	402.02
2BE34	338.03
2BE96	403.07
2BF1D	407.04
2BF38	410.04 410.05
2BF39	409.05
2BF3A	411.02
2C028	429.06
2C095	432.08
2C0FF	430.08
2C18C	431.11
2C25F	435.05
2C283	436.03
2C2A9	437.03
2C2D0	437.10
2C2D9	438.03
2C381	439.02 439.03
2C3ED	439.10
2C3FE	441.05
2C401	441.08
2C415	442.04
2C416	442.07
2C45F	445.02
2C494	447.04
2C4A1	447.10
2C580	449.10
2C5B2	450.01
2C5F8	450.05
2C685	450.11
2C6BB	452.03
2C6C1	452.01
2C70D	455.02
2C710	455.03
2C771	456.04
2C775	457.01
2C785	467.05
2C810	458.07
2C849	459.03
2C850	459.05
2C8A9	460.07
2C8BF	460.10
2C9A0	461.07
2C9B2	462.10
2C9C4	463.09
2C9CA	464.02
2C9CD	463.12
2C9CE	464.01
2C9DD	465.05
2C9E5	465.09
2C9E6	466.01
2C9EB	466.03
2C9EF	466.04
2C9F4	466.10
2CA22	467.01
2CA26	467.03
2CA51	467.06 467.07
2CAF9	468.03
2CBC7	470.04
2CC94	472.01
2CCDD	472.07
2CD2F	473.05
2CD30	473.06
2CDD0	474.07
2CE76	475.01
2F907	433.05
3021D	374.01
3053A	427.05
