50CE	2013:7696
50CF	2013:2961
50D4	2013:7695
50D6	2013:5755
50DA	2013:3126
50E6	2013:7694
50E7	2013:3127
50EC	2013:7693
50ED	2013:5758
50EE	2013:5760
50F0	2013:5671
50F3	2013:5757
50F5	2013:3269
50FB	2013:3271
5106	2013:5756
5107	2013:7792
510B	2013:5961
5112	2013:3361
5121	2013:6262
5126	2013:7954
5133	2013:8039
5134	2013:8040
513F	2013:12
5140	2013:3503
5141	2013:183
5143	2013:80
5144	2013:250
5145	2013:525
5146	2013:489
5148	2013:446
5149	2013:417
514B	2013:675
514D	2013:810
5151	2013:850
5154	2013:1195
5155	2013:3718
5156	2013:4000
515A	2013:1885
515C	2013:2336
5162	2013:3077
5165	2013:11
5168	2013:485
516B	2013:9
516C	2013:148
516D	2013:160
516E	2013:3518
5170	2013:306
5171	2013:371
5173	2013:532
5174	2013:544
5175	2013:768
5176	2013:996
5177	2013:1077
5178	2013:1092
5179	2013:1653
517B	2013:1641
517C	2013:2056
517D	2013:2407
5180	2013:3340
5181	2013:8023
5185	2013:116
5188	2013:115
5189	2013:258
518C	2013:290
518D	2013:382
518F	2013:6598
5192	2013:1486
5194	2013:6988
5195	2013:4825
5197	2013:172
5199	2013:316
519B	2013:552
519C	2013:558
51A0	2013:1705
51A2	2013:4669
51A4	2013:2124
51A5	2013:2121
51AC	2013:295
51AE	2013:6514
51AF	2013:303
51B0	2013:513
51B1	2013:6544
51B2	2013:511
51B3	2013:523
51B5	2013:830
51B6	2013:843
51B7	2013:838
51BB	2013:827
51BC	2013:3995
51BD	2013:3994
51C0	2013:1221
51C4	2013:2015
51C6	2013:2024
51C7	2013:4610
51C9	2013:2040
51CB	2013:4623
51CC	2013:2014
51CF	2013:2375
51D1	2013:2374
51D3	2013:7412
51D8	2013:7713
51DB	2013:3284
51DD	2013:3370
51E0	2013:14
51E1	2013:50
51E4	2013:159
51EB	2013:3620
51ED	2013:1148
51EF	2013:1112
51F0	2013:2368
51F3	2013:3186
51F6	2013:145
51F8	2013:229
51F9	2013:260
51FA	2013:330
51FB	2013:195
51FC	2013:3595
51FD	2013:1322
51FF	2013:2605
5200	2013:18
5201	2013:16
5203	2013:68
5206	2013:146
5207	2013:107
5208	2013:3519
520A	2013:191
520D	2013:3550
520E	2013:3616
5211	2013:351
5212	2013:407
5216	2013:3613
5217	2013:399
5218	2013:517
5219	2013:440
521A	2013:441
521B	2013:494
521D	2013:889
5220	2013:815
5224	2013:849
5228	2013:821
5229	2013:763
522B	2013:751
522C	2013:6559
522D	2013:3818
522E	2013:1129
5230	2013:1063
5233	2013:3888
5236	2013:1121
5237	2013:1310
5238	2013:1230
5239	2013:1167
523A	2013:1039
523B	2013:1224
523D	2013:3971
523F	2013:3930
5240	2013:3933
5241	2013:3982
5242	2013:1216
5243	2013:1661
5245	2013:6805
524A	2013:1475
524B	2013:4134
524C	2013:4161
524D	2013:1650
5250	2013:4216
5251	2013:1587
5254	2013:1896
5255	2013:6980
5256	2013:2042
525C	2013:4667
525E	2013:4482
525F	2013:7092
5261	2013:4641
5265	2013:2129
5267	2013:2132
5269	2013:2675
526A	2013:2406
526F	2013:2234
5272	2013:2779
527D	2013:5410
