4F5A	481I
4F5B	252D
4F5C	150C
4F5E	552I
4F5F	541H
4F60	121A
4F69	557E
4F6C	189I
4F6F	151F
4F73	51D
4F75	35G
4F7B	383I
4F7F	170A
4F83	694K
4F86	484A
4F88	269F
4F8B	279C
4F8D	46E
4F91	184I
4F96	439K
4F9B	95D
4F9D	367B
4FAE	572G
4FAF	478F
4FB5	675D
4FB6	749G
4FBF	834B
4FC2	887F
4FC3	133F
4FC4	338E
4FC5	524K
4FCA	542D
4FCE	623K
4FCF	124G
4FD0	511D
4FD1	594G
4FD7	710A
4FD8	408H
4FDA	827I
4FDD	758C
4FDE	619K
4FDF	477H
4FE0	455G
4FE1	740A
4FEE	549A
4FEF	20C
4FF6	123I
4FF8	470E
4FFA	810F
4FFE	807F
5006	562F
5009	679E
500D	89C
500F	549G
5011	635A
5012	220A
5014	666H
5018	584D
5019	478A
501A	452C
501C	730H
501D	17P
501F	799A
5021	803D
5023	261E
5026	467D
5028	706I
502A	684G
502B	439C
502D	512G
5036	625E
503C	842B
5043	555K
5047	639A
5048	239K
5049	764F
504F	566C
5055	318D
505A	702A
505C	3C
5065	670D
5074	858F
5075	857I
5076	575C
5077	619C
507D	260E
5080	808H
5085	598D
508D	262C
5091	273F
5096	679H
5098	429D
5099	596B
509A	531H
50A2	286A
50AC	53B
50AD	595D
50B2	264C
50B3	839C
50B4	696H
50B5	83C
50B7	238C
50BB	542F
50BE	867E
50C2	790I
50C5	106D
50C9	440G
50CF	291B
50D1	583G
50D5	156D
50DA	454I
50E5	391G
50E7	832F
50ED	801F
50F5	812I
50F9	856B
50FB	158G
5100	339D
5102	357I
5104	91G
5108	833I
5109	440E
510A	492I
510C	551G
5112	613D
5114	66I
5115	421F
5118	607H
511F	588C
5121	814I
512A	412D
5132	192G
5133	386H
5137	320H
5139	40D
513C	630H
513E	369I
513F	382K
5140	387K
5141	869D
5143	388C
5144	755A
5145	870C
5146	383D
5147	651D
5148	39A
5149	390A
514B	704E
514C	756C
514D	384B
5152	684A
5154	385E
5157	756G
515C	693B
5162	704E
5165	443C
5167	444B
5168	78B
5169	562A
516B	392A
516C	392B
516D	80A
516E	240G
5171	95B
5175	213C
5176	102B
5177	625D
5178	819B
517C	671F
5180	98G
5182	556K
5189	600D
518B	578K
518C	565D
518D	600A
5190	845E
5193	601K
5195	384D
5196	556K
5198	176P
51A0	388E
51A2	292I
51A5	797G
51AB	520K
51AC	541A
51B2	784D
51B5	755C
51B6	718G
51B7	438A
51C6	51D
51CB	730G
51CC	543D
51CD	504C
51DA	492H
51DB	769I
51DD	479F
51DF	864E
51E0	396F
51E1	397B
51F0	74H
51F1	732F
51F3	733C
51F5	650K
51F6	651E
51F8..51F9	650G
51FA	665A
51FD	652F
5200	219A
5201	219F
5203	222E
5206	395A
5207	326B
5208	528H
520B	32C
5211	34aC
5217	279C
521D	219A
5220	565E
5224	144B
5225	224aA
5227	44G
5228	225C
5229	511A
522E	707B
5230	220A
5234	216aG
5236	221D
5237	557B
5239	511H
523A	500C
523B	874A
5243	249C
5247	858C
5249	432G
524A	124B
524B	704H
524C	501D
524D	620A
5254	235E
5256	89E
525B	592E
525C	272E
525D	525E
5269	25B
526A	620B
526E	581K
526F	816B
5272	146B
5275	679C
527E	696I
5283	669A
5287	290I
5288	158C
5289	309G
528A	833H
528E	440D
5290	58H
5291	421H
529B	223B
529F	8D
52A0	716C
52A3	223F
52A4	209H
52A9	624A
52AA	553E
52AC	227I
52B5	466D
52B9	531C
52BE	874K
52C1	427G
52C3	113I
52C5	501G
52C7	594aC
52C9	384B
52D2	105D
52D5	27A
52D8	104I
52D9	116B
52DD	468C
52DE	449A
52E2	305D
52E4	106B
52E6	508I
52F3	28G
52F5	577C
52F8	60B
52F9	225K
52FA	231E
52FE	225aD
52FF	233B
5300	232D
5305	225A
5309	36G
530D	597H
5310	816H
5315	317K
5316	327C
5317	321A
5319	139A
531A	640K
5320	209C
5321	72H
5323	825B
532A	418E
532F	52E
5335	864H
5338	645K
5339	645C
533E	566F
533F	183F
5340	696D
5341	13A
5342	397aP
5343	24A
5347	414C
5348	37A
5349	416G
534A	144A
5351	807C
5352	14D
5353	15K
5354	223C
5357	591A
535A	598C
535C	119D
5360	720D
5361	119G
5366	49E
536C	308K
536F	309G
5370	306B
5371	197E
5374	44B
5375	309I
5377	467D
5378	307D
537A	522A
537D	364C
537F	364G
5382	193K
5384	196H
5398	497F
539A	193B
539D	799I
539F	194C
53A5	662G
53AD	195D
53AE	103G
53B2	577F
53B6	868K
53BB	44C
53C3	282F
53C8	532A
53C9	538A
53CA	218B
53CB	186A
53CD	215B
53D4	123D
53D5	534P
53D6	627B
53D7	410B
53DA	639K
53DB	144C
53DF	681B
53E2	627G
53E3	694A
53E4	702B
53E5	227A
53E6	224D
53E8	219G
53E9	694D
53EA	757A
53EB	23A
53EC	715D
53ED	392F
53EE	2F
53EF	699A
53F1	317K
53F2	169C
53F3	181B
53F5	640K
53F6	13I
53F8	701D
53FC	219E
5401	30K
5403	298A
5404	712B
5406	876E
5408	708B
5409	729E
540A	557B
540C	580A
540D	270B
540E	721F
540F	170D
5410	43D
5411	579B
541B	678C
541D	546E
541F	434H
5420	457G
5423	377H
5426	120F
5427	312E
5429	395C
542B	437D
542E	869H
5431	539K
5433	761F
5435	122D
5438	218E
5439	441C
543B	233G
543C	297G
543E	763E
543F	717A
5440	165A
5442	749I
5446	732F
5448	69F
5451	462D
5462	725A
5466	876H
5468	730C
546A	755C
5471	407I
5473	495A
5475	699I
5478	120I
547B	824I
547C	29D
547D	438B
5482	557F
5485	89P
5486	225E
5489	483K
548B	150K
548C	510A
548E	714G
548F	521G
5490	19C
5495	702I
54A0	631K
54A2	243I
54A7	279H
54A8	442H
54A9	151H
54AB	757K
54AF	712I
54B1	852A
54B3	874D
54B5	242K
54B7	383F
54B8	344F
54BC	581K
54BD	771D
54C0	367C
54C1	695C
54C2	775G
54C4	95D
54C7	48H
54C8	708F
54C9	334F
54CE	528A
54E1	760D
54E5	699A
54E6	338I
54E8	124E
54E9	827F
54EA	143A
54ED	457A
54F0	38I
54F2	210D
54F5	224H
54FA	597I
54FC	742G
54FD	834K
5506	542E
5507	355C
5509	477F
5510	723F
5527	364I
552C	203H
552E	52G
552F	52F
5531	803B
5533	458K
5535	810K
553C	85H
553E	26E
5544	292K
5546	578B
5547	590K
554C	10H
554F	635A
5550	14H
5553	728D
555A	767K
555C	534K
555E	247E
5561	418G
5563	307F
5564	807G
557B	88I
557C	88E
5583	591G
5584	152B
5587	501D
5589	478D
558A	344C
5598	614E
5599	287K
559A	774C
559C	739B
559D	239A
55A7	795E
55A9	619C
55AA	352aB
55AC	583H
55AE	826A
55B3	793G
55B5	817H
55BF	697B
55C5	852G
55C6	679I
55C7	770E
55C9	886G
55CE	255C
55D0	146H
55D3	533E
55D4	843G
55DC	189F
55DF	178K
55E1	392K
55E3	701E
55E4	664G
55F6	825B
55F9	837H
55FD	502B
5601	123I
5606	107D
5608	820H
5609	716E
560B	191K
560E	331G
5611	203H
5614	696E
5616	83H
5617	584A
561B	494I
561F	192H
5620	331G
562C	628I
562E	449H
5630	346B
5632	16H
5634	129C
564D	56I
564E	734I
5653	206I
5658	662H
5659	547K
565D	886H
5664	492K
5665	357H
5666	132I
5668	457B
5669	76K
566B	91G
566F	411G
5674	417E
5678	376F
5680	2I
5687	424A
568E	285G
568F	137F
5695	258H
56A8	315D
56AE	579G
56B4	630B
56B7	369E
56BC	851D
56C2	694K
56C9	63G
56CA	369E
56D1	788D
56D3	147K
56D4	369I
56D7	765K
56DA	429D
56DB	773A
56DE	765A
56E0	771A
56E4	376G
56EB	233H
56EE	327K
56F0	772A
56F9	438K
56FA	703C
56FF	184G
5703	597H
5704	763I
5707	439H
5708	467C
570B	333A
570D	764D
5712	370C
5713	760B
5716	767B
5718	839B
571D	888I
571F	43A
5728	166A
572D	48F
5730	301A
5740	126E
5747	232B
574A	261F
574D	570F
574E	441B
5750	432A
5751	398C
5761	537C
5764	824F
5766	793E
576F	120E
5774	47P
577C	214I
5782	26E
578B	34aF
579C	216aK
57A2	721I
57A3	795E
57A4	883H
57C3	477D
57CB	827C
57CE	347A
57DF	333F
57E0	752G
57F6	305P
57F7	304C
57F9	89C
57FA	102B
5802	585A
5805	643C
5806	52C
5807	106K
581E	110H
5821	758H
5824	139F
582A	104D
582F	391F
5831	159A
5835	192C
584A	808A
584B	448F
584C	296D
5851	661G
5854	709D
5857	31B
5858	723F
585A	292G
585E	100A
5861	843E
5862	253I
5872	238C
5875	319E
587E	744F
5881	849F
5883	94C
5885	827I
5888	104I
5889	595K
588A	304B
5893	453C
589C	288F
589E	832C
58A3	156*
58A8	831A
58A9	746I
58AE	180F
58B3	417D
58BE	360F
58C1	158F
58C5	62G
58C7	768E
58D1	710K
58D3	195D
58D5	285H
58D8	814E
58D9	823H
58DE	368A
58E4	369G
58E9	105I
58EB	65C
58EC	67F
58EF	163D
58FA	247A
58FB	140E
58FD	66C
5902	540K
5906	148K
590A	540K
590B	542K
590C	543P
590D	544P
590F	854A
5915	267G
5916	267A
5917	271K
5919	277H
591A	269A
591C	268A
5922	276B
5925	507B
5927	451A
5929	462A
592A	451A
592B	465A
592C	482K
592D	463G
592E	483F
5931	481C
5937	251F
5938	242K
593E	455B
5942	774K
5944	810K
5947	452C
5948	451C
5949	470B
594E	48K
594F	471F
5951	147E
5954	416C
5955	422H
5957	451B
5958	163E
595A	881G
5960	782F
5962	192E
5967	519E
5969	696I
596A	451D
596E	809E
5973	552A
5974	553C
5976	216A
5978	32F
597D	552A
5981	231K
5982	554B
5983	311H
598D	34H
5992	728D
5993	539F
5996	463G
5997	434K
5999	122D
599E	676H
59A3	317I
59A5	409B
59A8	261D
59AE	725H
59AF	818G
59B9	495A
59BB	668C
59BE	85G
59C6	571G
59CA	250D
59CB	718D
59D0	623A
59D1	702A
59D2	431K
59D3	41A
59D4	512D
59DA	383H
59DC	151H
59E5	189G
59E6	552E
59E8	251F
59EA	883D
59FB	771D
59FF	442H
5A01	552C
5A03	48E
5A0C	827G
5A13	375I
5A18	361A
5A1B	761G
5A20	355K
5A23	249H
5A29	384H
5A36	627B
5A3C	803F
