F996	U+7DF4
F997	U+806F
F998	U+8F26
F999	U+84EE
F99A	U+9023
F99B	U+934A
F99C	U+5217
F99D	U+52A3
F99E	U+54BD
F99F	U+70C8
F9A0	U+88C2
F9A1	U+8AAA
F9A2	U+5EC9
F9A3	U+5FF5
F9A4	U+637B
F9A5	U+6BAE
F9A6	U+7C3E
F9A7	U+7375
F9A8	U+4EE4
F9A9	U+56F9
F9AA	U+5BE7
F9AB	U+5DBA
F9AC	U+601C
F9AD	U+73B2
F9AE	U+7469
F9AF	U+7F9A
F9B0	U+8046
F9B1	U+9234
F9B2	U+96F6
F9B3	U+9748
F9B4	U+9818
F9B5	U+4F8B
F9B6	U+79AE
F9B7	U+91B4
F9B8	U+96B8
F9B9	U+60E1
F9BA	U+4E86
F9BB	U+50DA
F9BC	U+5BEE
F9BD	U+5C3F
F9BE	U+6599
F9BF	U+6A02
F9C0	U+71CE
F9C1	U+7642
F9C2	U+84FC
F9C3	U+907C
F9C4	U+9F8D
F9C5	U+6688
F9C6	U+962E
F9C7	U+5289
F9C8	U+677B
F9C9	U+67F3
F9CA	U+6D41
F9CB	U+6E9C
F9CC	U+7409
F9CD	U+7559
F9CE	U+786B
F9CF	U+7D10
F9D0	U+985E
F9D1	U+516D
F9D2	U+622E
F9D3	U+9678
F9D4	U+502B
F9D5	U+5D19
F9D6	U+6DEA
F9D7	U+8F2A
F9D8	U+5F8B
F9D9	U+6144
F9DA	U+6817
F9DB	U+7387
F9DC	U+9686
F9DD	U+5229
F9DE	U+540F
F9DF	U+5C65
F9E0	U+6613
F9E1	U+674E
F9E2	U+68A8
F9E3	U+6CE5
F9E4	U+7406
F9E5	U+75E2
F9E6	U+7F79
F9E7	U+88CF
F9E8	U+88E1
F9E9	U+91CC
F9EA	U+96E2
F9EB	U+533F
F9EC	U+6EBA
F9ED	U+541D
F9EE	U+71D0
F9EF	U+7498
F9F0	U+85FA
F9F1	U+96A3
F9F2	U+9C57
F9F3	U+9E9F
F9F4	U+6797
F9F5	U+6DCB
F9F6	U+81E8
F9F7	U+7ACB
F9F8	U+7B20
F9F9	U+7C92
F9FA	U+72C0
F9FB	U+7099
F9FC	U+8B58
F9FD	U+4EC0
F9FE	U+8336
F9FF	U+523A
FA00	U+5207
FA01	U+5EA6
FA02	U+62D3
FA03	U+7CD6
FA04	U+5B85
FA05	U+6D1E
FA06	U+66B4
FA07	U+8F3B
FA08	U+884C
FA09	U+964D
FA0A	U+898B
FA0B	U+5ED3
FA0C	U+5140
FA0D	U+55C0
FA10	U+585A
FA12	U+6674
FA15	U+51DE
FA16	U+732A
FA17	U+76CA
FA18	U+793C
FA19	U+795E
FA1A	U+7965
FA1B	U+798F
FA1C	U+9756
FA1D	U+7CBE
FA1E	U+7FBD
FA20	U+8612
FA22	U+8AF8
FA25	U+9038
FA26	U+90FD
FA2A	U+98EF
FA2B	U+98FC
FA2C	U+9928
FA2D	U+9DB4
FA2E	U+90DE
FA2F	U+96B7
FA30	U+4FAE
FA31	U+50E7
FA32	U+514D
FA33	U+52C9
FA34	U+52E4
FA35	U+5351
FA36	U+559D
FA37	U+5606
FA38	U+5668
FA39	U+5840
FA3A	U+58A8
FA3B	U+5C64
FA3C	U+5C6E
FA3D	U+6094
FA3E	U+6168
FA3F	U+618E
FA40	U+61F2
FA41	U+654F
FA42	U+65E2
FA43	U+6691
FA44	U+6885
FA45	U+6D77
FA46	U+6E1A
FA47	U+6F22
FA48	U+716E
FA49	U+722B
FA4A	U+7422
FA4B	U+7891
FA4C	U+793E
FA4D	U+7949
FA4E	U+7948
FA4F	U+7950
FA50	U+7956
FA51	U+795D
FA52	U+798D
FA53	U+798E
FA54	U+7A40
FA55	U+7A81
FA56	U+7BC0
FA57	U+7DF4
FA58	U+7E09
FA59	U+7E41
FA5A	U+7F72
FA5B	U+8005
FA5C	U+81ED
FA5D..FA5E	U+8279
FA5F	U+8457
FA60	U+8910
FA61	U+8996
