5638	030/12;ROTF;mou1
563A	030/12;RHKB;kiu2
5643	030/12;RHDW;bo3
5649	030/11;RMJK;gam2,gum2
564F	030/12;ROMM;[ng]ap1
5652	030/12;RFDQ;leon1
5654	030/12;RNOT;dang6
565A	030/12;RSMI;cam4
5672	030/13;ROMA;gui6
567C	030/13;RSRJ;pek1,pet1,pet6
5689	030/14;RTGI;deoi3
568A	030/14;RHUL;be6,bei6
568C	030/14;RYX;zai6
569F	030/15;RHHE;lai2,lai4,lei4
56A1	030/15;RTJG;haai4
56A4	030/15;RIDQ;mo1
56AB	030/16;RYDU;can1
56AC	030/16;RYHC;pan4
56B1	030/17;RYTI;hei3
56B9	030/17;ROUD;laa4
56BF	030/18;RTOX;gau6
56C4	030/18;;lei4
56D6	030/22;RHWG;lo1
577A	032/05;GIKK;pet6
57BD	032/07;ELG;[ng]an6
57D5	032/07;GRHG;cing4
57D7	032/07;GYLH;bou6
57DD	032/08;GONP;nap1
57DE	032/08;GJMO;deng6
57F2	032/08;GQKQ;bung6
5873	032/11;GYHJ;bung6,pung1
5898	032/11;GJJN;kang3,keng4
58C6	032/13;HBG;bok3
5940	037/04;MFK;[ng]an1
59A0	038/04;VOB;laap3
59E9	038/06;;nin1
5A44	038/08;VYTR;pau3
5AF2	038/11;VIDD;maa4
5AFD	038/12;VKCF;liu4
5B32	038/14;WSVWS;lau1,nau1
5B56	039/03;NDND;maa1
5B6D	039/07;NDBUC;me1
5B7B	039/14;NDLMT;laai1
5C58	044/07;SUND;mei1
5C7B	046/03;;jan6
5D56	046/09;UDAM;zaa6
5E0E	050/04;;zam2
5FDF	061/04;PYK;mang2
6010	061/05;PPR;[ng]au6
6036	061/05;;pe5
60D7	061/08;PONP;nam2
61B5	061/13;SJP;bik1
61B8	061/13;POMO;zim1
6219	062/06;BRI;dung6
6264	064/03;QMU;[ng]aat6,[ng]at1
6271	064/04;QNHE;[ng]ap6,gip1,kap1,kap6
6272	064/04;QOIN;[ng]am4
627B	064/04;QNO;ham2,kam2
628C	064/04;QLBU;dam2
62A6	064/05;QMOB;bing2
62AF	064/05;QBM;zaa1
62B0	064/05;QLBK;joeng2
62B3	064/05;QSP;nai4
62EB	064/06;QAV;hang4
6303	064/06;QMIG;zat1
630D	064/06;QYCK;[ng]aau1
630F	064/06;QBMR;tung2
6318	064/06;QFHS;lyut3
632D	064/07;QMLK;gaang3
6366	064/08;;kam4
6375	064/08;QTBC;nin2
6379	064/08;QKJT;ban3,fang6,fing6
637C	064/08;QHDV;no4
6385	064/08;QQMB;cing3
639F	064/08;QJMO;deng3
63A4	064/08;QBB;mang1
63B0	064/08;;maak3
63B9	064/08;QNDT;maang1,mang1,mang3
63C3	064/09;QTBN;zin1
63C5	064/11;MTQ;[ng]aan4
63C7	064/09;QJBJ;naam3
63D7	064/09;QHJU;tan4
63DE	064/09;QYTA;[ng]am2
63E2	064/09;QJHR;kak1
63E6	064/09;QDLN;laa2,laa3,laa5
63EC	064/09;;dat1
63EF	064/08;QPMM;hang4
63F0	064/09;QHJG;cung3
63F8	064/09;QDAM;zaa1,zaa2
63FC	064/09;QMRE;dam1,dam2,dam3,dam4,dap6
6407	064/10;QOIV;gam6,kam2
6423	064/10;QIHF;mit1
6430	064/10;QBBB;wat6
6432	064/10;QJCO;waa2,we2
6435	064/10;QWOT;wan2
644F	064/11;;sung1
6455	064/11;;cai3
6459	064/11;QYJJ;lin5
645A	064/11;QFBG;tong3
645D	064/11;QIXP;luk1
6471	064/11;QAWE;maan1
6475	064/11;QIHF;cik1
6477	064/11;QVVD;caau3,ziu6
647C	064/11;QSEG;hang1
648D	064/09;QMUA;cim4
6498	064/12;QHOR;dap6
64B4	064/12;QYDK;dan3
64BB	064/13;QYGQ;daat3,taat3/1
64BC	064/13;QIRP;ham5
64CF	064/13;QTRK;geng6
64D9	064/13;QHBK;[ng]ou1
64DD	064/13;QABT;mang1,mang3
64EA	064/14;MKQ;[ng]aap3
64F3	046/15;;zit1
64F8	064/15;QVVV;laap3,laap6,lip3
650B	064/16;;laai6
651E	064/19;QWLG;lo1,lo2
6530	019/04;JEKS;gui6
6534	066/00;YE;bok1
66C0	072/12;AGBT;[ng]ai3
66F1	073/01;AL;gaap3,gaat6,gat6
68EF	075/08;DOIP;nim1
68F9	075/08;DYAJ;zaau6
69D3	075/10;DMBC;lung5
6A16	075/11;OMRR;po1
6A7A	075/12;DANA;gaan3
6AC8	075/14;DNON;dang3
6B39	076/08;KRNO;kei1
