# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1
# Generated: 2010-04-13, 01:33:09 GMT
# Checkin: $Revision: 1.29 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
#  All code points not explicitly listed 
#  have the values: restricted; not-chars
# @missing: 0000..10FFFF; restricted ; not-chars


#	Status/Type:	allowed ; inclusion

002D..002E    ; allowed ; inclusion            #  [2] (-...)  HYPHEN-MINUS..FULL STOP
2C5A  ; restricted ; historic          # (ⱚ)  GLAGOLITIC SMALL LETTER FITA
2C5B  ; restricted ; historic          # (ⱛ)  GLAGOLITIC SMALL LETTER IZHITSA
2C5C  ; restricted ; historic          # (ⱜ)  GLAGOLITIC SMALL LETTER SHTAPIC
2C5D  ; restricted ; historic          # (ⱝ)  GLAGOLITIC SMALL LETTER TROKUTASTI A
2C5E  ; restricted ; historic          # (ⱞ)  GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C6D  ; restricted ; historic          # (Ɑ)  LATIN CAPITAL LETTER ALPHA
2C6E  ; restricted ; historic          # (Ɱ)  LATIN CAPITAL LETTER M WITH HOOK
2C6F  ; restricted ; historic          # (Ɐ)  LATIN CAPITAL LETTER TURNED A
2C70  ; restricted ; historic          # (Ɒ)  LATIN CAPITAL LETTER TURNED ALPHA
2C71  ; restricted ; historic          # (ⱱ)  LATIN SMALL LETTER V WITH RIGHT HOOK
2C72  ; restricted ; historic          # (Ⱳ)  LATIN CAPITAL LETTER W WITH HOOK
2C73  ; restricted ; historic          # (ⱳ)  LATIN SMALL LETTER W WITH HOOK
2C74  ; restricted ; historic          # (ⱴ)  LATIN SMALL LETTER V WITH CURL
2C75  ; restricted ; historic          # (Ⱶ)  LATIN CAPITAL LETTER HALF H
2C76  ; restricted ; historic          # (ⱶ)  LATIN SMALL LETTER HALF H
2C7E  ; restricted ; historic          # (Ȿ)  LATIN CAPITAL LETTER S WITH SWASH TAIL
2C7F  ; restricted ; historic          # (Ɀ)  LATIN CAPITAL LETTER Z WITH SWASH TAIL
2C80  ; restricted ; historic          # (Ⲁ)  COPTIC CAPITAL LETTER ALFA
2C81  ; restricted ; historic          # (ⲁ)  COPTIC SMALL LETTER ALFA
2C82  ; restricted ; historic          # (Ⲃ)  COPTIC CAPITAL LETTER VIDA
2C83  ; restricted ; historic          # (ⲃ)  COPTIC SMALL LETTER VIDA
2C84  ; restricted ; historic          # (Ⲅ)  COPTIC CAPITAL LETTER GAMMA
2C85  ; restricted ; historic          # (ⲅ)  COPTIC SMALL LETTER GAMMA
2C86  ; restricted ; historic          # (Ⲇ)  COPTIC CAPITAL LETTER DALDA
2C87  ; restricted ; historic          # (ⲇ)  COPTIC SMALL LETTER DALDA
2C88  ; restricted ; historic          # (Ⲉ)  COPTIC CAPITAL LETTER EIE
2C89  ; restricted ; historic          # (ⲉ)  COPTIC SMALL LETTER EIE
2C8A  ; restricted ; historic          # (Ⲋ)  COPTIC CAPITAL LETTER SOU
2C8B  ; restricted ; historic          # (ⲋ)  COPTIC SMALL LETTER SOU
2C8C  ; restricted ; historic          # (Ⲍ)  COPTIC CAPITAL LETTER ZATA
2C8D  ; restricted ; historic          # (ⲍ)  COPTIC SMALL LETTER ZATA
2C8E  ; restricted ; historic          # (Ⲏ)  COPTIC CAPITAL LETTER HATE
2C8F  ; restricted ; historic          # (ⲏ)  COPTIC SMALL LETTER HATE
2C90  ; restricted ; historic          # (Ⲑ)  COPTIC CAPITAL LETTER THETHE
2C91  ; restricted ; historic          # (ⲑ)  COPTIC SMALL LETTER THETHE
2C92  ; restricted ; historic          # (Ⲓ)  COPTIC CAPITAL LETTER IAUDA
2C93  ; restricted ; historic          # (ⲓ)  COPTIC SMALL LETTER IAUDA
2C94  ; restricted ; historic          # (Ⲕ)  COPTIC CAPITAL LETTER KAPA
2C95  ; restricted ; historic          # (ⲕ)  COPTIC SMALL LETTER KAPA
2C96  ; restricted ; historic          # (Ⲗ)  COPTIC CAPITAL LETTER LAULA
2C97  ; restricted ; historic          # (ⲗ)  COPTIC SMALL LETTER LAULA
2C98  ; restricted ; historic          # (Ⲙ)  COPTIC CAPITAL LETTER MI
2C99  ; restricted ; historic          # (ⲙ)  COPTIC SMALL LETTER MI
2C9A  ; restricted ; historic          # (Ⲛ)  COPTIC CAPITAL LETTER NI
2C9B  ; restricted ; historic          # (ⲛ)  COPTIC SMALL LETTER NI
2C9C  ; restricted ; historic          # (Ⲝ)  COPTIC CAPITAL LETTER KSI
2C9D  ; restricted ; historic          # (ⲝ)  COPTIC SMALL LETTER KSI
2C9E  ; restricted ; historic          # (Ⲟ)  COPTIC CAPITAL LETTER O
2C9F  ; restricted ; historic          # (ⲟ)  COPTIC SMALL LETTER O
2CA0  ; restricted ; historic          # (Ⲡ)  COPTIC CAPITAL LETTER PI
2CA1  ; restricted ; historic          # (ⲡ)  COPTIC SMALL LETTER PI
2CA2  ; restricted ; historic          # (Ⲣ)  COPTIC CAPITAL LETTER RO
2CA3  ; restricted ; historic          # (ⲣ)  COPTIC SMALL LETTER RO
2CA4  ; restricted ; historic          # (Ⲥ)  COPTIC CAPITAL LETTER SIMA
2CA5  ; restricted ; historic          # (ⲥ)  COPTIC SMALL LETTER SIMA
2CA6  ; restricted ; historic          # (Ⲧ)  COPTIC CAPITAL LETTER TAU
2CA7  ; restricted ; historic          # (ⲧ)  COPTIC SMALL LETTER TAU
2CA8  ; restricted ; historic          # (Ⲩ)  COPTIC CAPITAL LETTER UA
2CA9  ; restricted ; historic          # (ⲩ)  COPTIC SMALL LETTER UA
2CAA  ; restricted ; historic          # (Ⲫ)  COPTIC CAPITAL LETTER FI
2CAB  ; restricted ; historic          # (ⲫ)  COPTIC SMALL LETTER FI
2CAC  ; restricted ; historic          # (Ⲭ)  COPTIC CAPITAL LETTER KHI
2CAD  ; restricted ; historic          # (ⲭ)  COPTIC SMALL LETTER KHI
2CAE  ; restricted ; historic          # (Ⲯ)  COPTIC CAPITAL LETTER PSI
2CAF  ; restricted ; historic          # (ⲯ)  COPTIC SMALL LETTER PSI
2CB0  ; restricted ; historic          # (Ⲱ)  COPTIC CAPITAL LETTER OOU
2CB1  ; restricted ; historic          # (ⲱ)  COPTIC SMALL LETTER OOU
2CB2  ; restricted ; historic          # (Ⲳ)  COPTIC CAPITAL LETTER DIALECT-P ALEF
2CB3  ; restricted ; historic          # (ⲳ)  COPTIC SMALL LETTER DIALECT-P ALEF
2CB4  ; restricted ; historic          # (Ⲵ)  COPTIC CAPITAL LETTER OLD COPTIC AIN
2CB5  ; restricted ; historic          # (ⲵ)  COPTIC SMALL LETTER OLD COPTIC AIN
2CB6  ; restricted ; historic          # (Ⲷ)  COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
2CB7  ; restricted ; historic          # (ⲷ)  COPTIC SMALL LETTER CRYPTOGRAMMIC EIE
2CB8  ; restricted ; historic          # (Ⲹ)  COPTIC CAPITAL LETTER DIALECT-P KAPA
2CB9  ; restricted ; historic          # (ⲹ)  COPTIC SMALL LETTER DIALECT-P KAPA
2CBA  ; restricted ; historic          # (Ⲻ)  COPTIC CAPITAL LETTER DIALECT-P NI
2CBB  ; restricted ; historic          # (ⲻ)  COPTIC SMALL LETTER DIALECT-P NI
2CBC  ; restricted ; historic          # (Ⲽ)  COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
2CBD  ; restricted ; historic          # (ⲽ)  COPTIC SMALL LETTER CRYPTOGRAMMIC NI
2CBE  ; restricted ; historic          # (Ⲿ)  COPTIC CAPITAL LETTER OLD COPTIC OOU
2CBF  ; restricted ; historic          # (ⲿ)  COPTIC SMALL LETTER OLD COPTIC OOU
2CC0  ; restricted ; historic          # (Ⳁ)  COPTIC CAPITAL LETTER SAMPI
2CC1  ; restricted ; historic          # (ⳁ)  COPTIC SMALL LETTER SAMPI
2CC2  ; restricted ; historic          # (Ⳃ)  COPTIC CAPITAL LETTER CROSSED SHEI
2CC3  ; restricted ; historic          # (ⳃ)  COPTIC SMALL LETTER CROSSED SHEI
2CC4  ; restricted ; historic          # (Ⳅ)  COPTIC CAPITAL LETTER OLD COPTIC SHEI
2CC5  ; restricted ; historic          # (ⳅ)  COPTIC SMALL LETTER OLD COPTIC SHEI
2CC6  ; restricted ; historic          # (Ⳇ)  COPTIC CAPITAL LETTER OLD COPTIC ESH
2CC7  ; restricted ; historic          # (ⳇ)  COPTIC SMALL LETTER OLD COPTIC ESH
2CC8  ; restricted ; historic          # (Ⳉ)  COPTIC CAPITAL LETTER AKHMIMIC KHEI
2CC9  ; restricted ; historic          # (ⳉ)  COPTIC SMALL LETTER AKHMIMIC KHEI
2CCA  ; restricted ; historic          # (Ⳋ)  COPTIC CAPITAL LETTER DIALECT-P HORI
2CCB  ; restricted ; historic          # (ⳋ)  COPTIC SMALL LETTER DIALECT-P HORI
2CCC  ; restricted ; historic          # (Ⳍ)  COPTIC CAPITAL LETTER OLD COPTIC HORI
2CCD  ; restricted ; historic          # (ⳍ)  COPTIC SMALL LETTER OLD COPTIC HORI
2CCE  ; restricted ; historic          # (Ⳏ)  COPTIC CAPITAL LETTER OLD COPTIC HA
2CCF  ; restricted ; historic          # (ⳏ)  COPTIC SMALL LETTER OLD COPTIC HA
2CD0  ; restricted ; historic          # (Ⳑ)  COPTIC CAPITAL LETTER L-SHAPED HA
2CD1  ; restricted ; historic          # (ⳑ)  COPTIC SMALL LETTER L-SHAPED HA
2CD2  ; restricted ; historic          # (Ⳓ)  COPTIC CAPITAL LETTER OLD COPTIC HEI
2CD3  ; restricted ; historic          # (ⳓ)  COPTIC SMALL LETTER OLD COPTIC HEI
2CD4  ; restricted ; historic          # (Ⳕ)  COPTIC CAPITAL LETTER OLD COPTIC HAT
2CD5  ; restricted ; historic          # (ⳕ)  COPTIC SMALL LETTER OLD COPTIC HAT
2CD6  ; restricted ; historic          # (Ⳗ)  COPTIC CAPITAL LETTER OLD COPTIC GANGIA
2CD7  ; restricted ; historic          # (ⳗ)  COPTIC SMALL LETTER OLD COPTIC GANGIA
2CD8  ; restricted ; historic          # (Ⳙ)  COPTIC CAPITAL LETTER OLD COPTIC DJA
2CD9  ; restricted ; historic          # (ⳙ)  COPTIC SMALL LETTER OLD COPTIC DJA
2CDA  ; restricted ; historic          # (Ⳛ)  COPTIC CAPITAL LETTER OLD COPTIC SHIMA
2CDB  ; restricted ; historic          # (ⳛ)  COPTIC SMALL LETTER OLD COPTIC SHIMA
2CDC  ; restricted ; historic          # (Ⳝ)  COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
2CDD  ; restricted ; historic          # (ⳝ)  COPTIC SMALL LETTER OLD NUBIAN SHIMA
2CDE  ; restricted ; historic          # (Ⳟ)  COPTIC CAPITAL LETTER OLD NUBIAN NGI
2CDF  ; restricted ; historic          # (ⳟ)  COPTIC SMALL LETTER OLD NUBIAN NGI
2CE0  ; restricted ; historic          # (Ⳡ)  COPTIC CAPITAL LETTER OLD NUBIAN NYI
2CE1  ; restricted ; historic          # (ⳡ)  COPTIC SMALL LETTER OLD NUBIAN NYI
2CE2  ; restricted ; historic          # (Ⳣ)  COPTIC CAPITAL LETTER OLD NUBIAN WAU
2CE3  ; restricted ; historic          # (ⳣ)  COPTIC SMALL LETTER OLD NUBIAN WAU
2CE4  ; restricted ; historic          # (ⳤ)  COPTIC SYMBOL KAI
2CEB  ; restricted ; historic          # (Ⳬ)  COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI
2CEC  ; restricted ; historic          # (ⳬ)  COPTIC SMALL LETTER CRYPTOGRAMMIC SHEI
2CED  ; restricted ; historic          # (Ⳮ)  COPTIC CAPITAL LETTER CRYPTOGRAMMIC GANGIA
2CEE  ; restricted ; historic          # (ⳮ)  COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
2CEF  ; restricted ; historic          # (⳯)  COPTIC COMBINING NI ABOVE
2CF0  ; restricted ; historic          # (⳰)  COPTIC COMBINING SPIRITUS ASPER
2CF1  ; restricted ; historic          # (⳱)  COPTIC COMBINING SPIRITUS LENIS
2D00  ; restricted ; historic          # (ⴀ)  GEORGIAN SMALL LETTER AN
2D01  ; restricted ; historic          # (ⴁ)  GEORGIAN SMALL LETTER BAN
2D02  ; restricted ; historic          # (ⴂ)  GEORGIAN SMALL LETTER GAN
2D03  ; restricted ; historic          # (ⴃ)  GEORGIAN SMALL LETTER DON
2D04  ; restricted ; historic          # (ⴄ)  GEORGIAN SMALL LETTER EN
2D05  ; restricted ; historic          # (ⴅ)  GEORGIAN SMALL LETTER VIN
2D06  ; restricted ; historic          # (ⴆ)  GEORGIAN SMALL LETTER ZEN
2D07  ; restricted ; historic          # (ⴇ)  GEORGIAN SMALL LETTER TAN
2D08  ; restricted ; historic          # (ⴈ)  GEORGIAN SMALL LETTER IN
2D09  ; restricted ; historic          # (ⴉ)  GEORGIAN SMALL LETTER KAN
2D0A  ; restricted ; historic          # (ⴊ)  GEORGIAN SMALL LETTER LAS
2D0B  ; restricted ; historic          # (ⴋ)  GEORGIAN SMALL LETTER MAN
2D0C  ; restricted ; historic          # (ⴌ)  GEORGIAN SMALL LETTER NAR
2D0D  ; restricted ; historic          # (ⴍ)  GEORGIAN SMALL LETTER ON
2D0E  ; restricted ; historic          # (ⴎ)  GEORGIAN SMALL LETTER PAR
2D0F  ; restricted ; historic          # (ⴏ)  GEORGIAN SMALL LETTER ZHAR
2D10  ; restricted ; historic          # (ⴐ)  GEORGIAN SMALL LETTER RAE
2D11  ; restricted ; historic          # (ⴑ)  GEORGIAN SMALL LETTER SAN
2D12  ; restricted ; historic          # (ⴒ)  GEORGIAN SMALL LETTER TAR
2D13  ; restricted ; historic          # (ⴓ)  GEORGIAN SMALL LETTER UN
2D14  ; restricted ; historic          # (ⴔ)  GEORGIAN SMALL LETTER PHAR
2D15  ; restricted ; historic          # (ⴕ)  GEORGIAN SMALL LETTER KHAR
2D16  ; restricted ; historic          # (ⴖ)  GEORGIAN SMALL LETTER GHAN
2D17  ; restricted ; historic          # (ⴗ)  GEORGIAN SMALL LETTER QAR
2D18  ; restricted ; historic          # (ⴘ)  GEORGIAN SMALL LETTER SHIN
2D19  ; restricted ; historic          # (ⴙ)  GEORGIAN SMALL LETTER CHIN
2D1A  ; restricted ; historic          # (ⴚ)  GEORGIAN SMALL LETTER CAN
2D1B  ; restricted ; historic          # (ⴛ)  GEORGIAN SMALL LETTER JIL
2D1C  ; restricted ; historic          # (ⴜ)  GEORGIAN SMALL LETTER CIL
2D1D  ; restricted ; historic          # (ⴝ)  GEORGIAN SMALL LETTER CHAR
2D1E  ; restricted ; historic          # (ⴞ)  GEORGIAN SMALL LETTER XAN
2D1F  ; restricted ; historic          # (ⴟ)  GEORGIAN SMALL LETTER JHAN
2D20  ; restricted ; historic          # (ⴠ)  GEORGIAN SMALL LETTER HAE
2D21  ; restricted ; historic          # (ⴡ)  GEORGIAN SMALL LETTER HE
2D22  ; restricted ; historic          # (ⴢ)  GEORGIAN SMALL LETTER HIE
2D23  ; restricted ; historic          # (ⴣ)  GEORGIAN SMALL LETTER WE
2D24  ; restricted ; historic          # (ⴤ)  GEORGIAN SMALL LETTER HAR
2D25  ; restricted ; historic          # (ⴥ)  GEORGIAN SMALL LETTER HOE
2DE0  ; restricted ; historic          # (ⷠ)  COMBINING CYRILLIC LETTER BE
2DE1  ; restricted ; historic          # (ⷡ)  COMBINING CYRILLIC LETTER VE
2DE2  ; restricted ; historic          # (ⷢ)  COMBINING CYRILLIC LETTER GHE
2DE3  ; restricted ; historic          # (ⷣ)  COMBINING CYRILLIC LETTER DE
2DE4  ; restricted ; historic          # (ⷤ)  COMBINING CYRILLIC LETTER ZHE
2DE5  ; restricted ; historic          # (ⷥ)  COMBINING CYRILLIC LETTER ZE
2DE6  ; restricted ; historic          # (ⷦ)  COMBINING CYRILLIC LETTER KA
2DE7  ; restricted ; historic          # (ⷧ)  COMBINING CYRILLIC LETTER EL
2DE8  ; restricted ; historic          # (ⷨ)  COMBINING CYRILLIC LETTER EM
2DE9  ; restricted ; historic          # (ⷩ)  COMBINING CYRILLIC LETTER EN
2DEA  ; restricted ; historic          # (ⷪ)  COMBINING CYRILLIC LETTER O
2DEB  ; restricted ; historic          # (ⷫ)  COMBINING CYRILLIC LETTER PE
2DEC  ; restricted ; historic          # (ⷬ)  COMBINING CYRILLIC LETTER ER
2DED  ; restricted ; historic          # (ⷭ)  COMBINING CYRILLIC LETTER ES
2DEE  ; restricted ; historic          # (ⷮ)  COMBINING CYRILLIC LETTER TE
2DEF  ; restricted ; historic          # (ⷯ)  COMBINING CYRILLIC LETTER HA
2DF0  ; restricted ; historic          # (ⷰ)  COMBINING CYRILLIC LETTER TSE
2DF1  ; restricted ; historic          # (ⷱ)  COMBINING CYRILLIC LETTER CHE
2DF2  ; restricted ; historic          # (ⷲ)  COMBINING CYRILLIC LETTER SHA
2DF3  ; restricted ; historic          # (ⷳ)  COMBINING CYRILLIC LETTER SHCHA
2DF4  ; restricted ; historic          # (ⷴ)  COMBINING CYRILLIC LETTER FITA
2DF5  ; restricted ; historic          # (ⷵ)  COMBINING CYRILLIC LETTER ES-TE
2DF6  ; restricted ; historic          # (ⷶ)  COMBINING CYRILLIC LETTER A
2DF7  ; restricted ; historic          # (ⷷ)  COMBINING CYRILLIC LETTER IE
2DF8  ; restricted ; historic          # (ⷸ)  COMBINING CYRILLIC LETTER DJERV
2DF9  ; restricted ; historic          # (ⷹ)  COMBINING CYRILLIC LETTER MONOGRAPH UK
2DFA  ; restricted ; historic          # (ⷺ)  COMBINING CYRILLIC LETTER YAT
2DFB  ; restricted ; historic          # (ⷻ)  COMBINING CYRILLIC LETTER YU
2DFC  ; restricted ; historic          # (ⷼ)  COMBINING CYRILLIC LETTER IOTIFIED A
2DFD  ; restricted ; historic          # (ⷽ)  COMBINING CYRILLIC LETTER LITTLE YUS
2DFE  ; restricted ; historic          # (ⷾ)  COMBINING CYRILLIC LETTER BIG YUS
2DFF  ; restricted ; historic          # (ⷿ)  COMBINING CYRILLIC LETTER IOTIFIED BIG YUS
A610  ; restricted ; historic          # (ꘐ)  VAI SYLLABLE NDOLE FA
A611  ; restricted ; historic          # (ꘑ)  VAI SYLLABLE NDOLE KA
A612  ; restricted ; historic          # (ꘒ)  VAI SYLLABLE NDOLE SOO
A62A  ; restricted ; historic          # (ꘪ)  VAI SYLLABLE NDOLE MA
A62B  ; restricted ; historic          # (ꘫ)  VAI SYLLABLE NDOLE DO
A640  ; restricted ; historic          # (Ꙁ)  CYRILLIC CAPITAL LETTER ZEMLYA
A641  ; restricted ; historic          # (ꙁ)  CYRILLIC SMALL LETTER ZEMLYA
A642  ; restricted ; historic          # (Ꙃ)  CYRILLIC CAPITAL LETTER DZELO
A643  ; restricted ; historic          # (ꙃ)  CYRILLIC SMALL LETTER DZELO
A644  ; restricted ; historic          # (Ꙅ)  CYRILLIC CAPITAL LETTER REVERSED DZE
A645  ; restricted ; historic          # (ꙅ)  CYRILLIC SMALL LETTER REVERSED DZE
A646  ; restricted ; historic          # (Ꙇ)  CYRILLIC CAPITAL LETTER IOTA
A647  ; restricted ; historic          # (ꙇ)  CYRILLIC SMALL LETTER IOTA
A648  ; restricted ; historic          # (Ꙉ)  CYRILLIC CAPITAL LETTER DJERV
A649  ; restricted ; historic          # (ꙉ)  CYRILLIC SMALL LETTER DJERV
A64A  ; restricted ; historic          # (Ꙋ)  CYRILLIC CAPITAL LETTER MONOGRAPH UK
A64B  ; restricted ; historic          # (ꙋ)  CYRILLIC SMALL LETTER MONOGRAPH UK
A64C  ; restricted ; historic          # (Ꙍ)  CYRILLIC CAPITAL LETTER BROAD OMEGA
A64D  ; restricted ; historic          # (ꙍ)  CYRILLIC SMALL LETTER BROAD OMEGA
A64E  ; restricted ; historic          # (Ꙏ)  CYRILLIC CAPITAL LETTER NEUTRAL YER
A64F  ; restricted ; historic          # (ꙏ)  CYRILLIC SMALL LETTER NEUTRAL YER
A650  ; restricted ; historic          # (Ꙑ)  CYRILLIC CAPITAL LETTER YERU WITH BACK YER
A651  ; restricted ; historic          # (ꙑ)  CYRILLIC SMALL LETTER YERU WITH BACK YER
A652  ; restricted ; historic          # (Ꙓ)  CYRILLIC CAPITAL LETTER IOTIFIED YAT
A653  ; restricted ; historic          # (ꙓ)  CYRILLIC SMALL LETTER IOTIFIED YAT
A654  ; restricted ; historic          # (Ꙕ)  CYRILLIC CAPITAL LETTER REVERSED YU
A655  ; restricted ; historic          # (ꙕ)  CYRILLIC SMALL LETTER REVERSED YU
A656  ; restricted ; historic          # (Ꙗ)  CYRILLIC CAPITAL LETTER IOTIFIED A
A657  ; restricted ; historic          # (ꙗ)  CYRILLIC SMALL LETTER IOTIFIED A
A658  ; restricted ; historic          # (Ꙙ)  CYRILLIC CAPITAL LETTER CLOSED LITTLE YUS
A659  ; restricted ; historic          # (ꙙ)  CYRILLIC SMALL LETTER CLOSED LITTLE YUS
A65A  ; restricted ; historic          # (Ꙛ)  CYRILLIC CAPITAL LETTER BLENDED YUS
A65B  ; restricted ; historic          # (ꙛ)  CYRILLIC SMALL LETTER BLENDED YUS
A65C  ; restricted ; historic          # (Ꙝ)  CYRILLIC CAPITAL LETTER IOTIFIED CLOSED LITTLE YUS
A65D  ; restricted ; historic          # (ꙝ)  CYRILLIC SMALL LETTER IOTIFIED CLOSED LITTLE YUS
A65E  ; restricted ; historic          # (Ꙟ)  CYRILLIC CAPITAL LETTER YN
A65F  ; restricted ; historic          # (ꙟ)  CYRILLIC SMALL LETTER YN
A662  ; restricted ; historic          # (Ꙣ)  CYRILLIC CAPITAL LETTER SOFT DE
A663  ; restricted ; historic          # (ꙣ)  CYRILLIC SMALL LETTER SOFT DE
A664  ; restricted ; historic          # (Ꙥ)  CYRILLIC CAPITAL LETTER SOFT EL
A665  ; restricted ; historic          # (ꙥ)  CYRILLIC SMALL LETTER SOFT EL
A666  ; restricted ; historic          # (Ꙧ)  CYRILLIC CAPITAL LETTER SOFT EM
A667  ; restricted ; historic          # (ꙧ)  CYRILLIC SMALL LETTER SOFT EM
A668  ; restricted ; historic          # (Ꙩ)  CYRILLIC CAPITAL LETTER MONOCULAR O
A669  ; restricted ; historic          # (ꙩ)  CYRILLIC SMALL LETTER MONOCULAR O
A66A  ; restricted ; historic          # (Ꙫ)  CYRILLIC CAPITAL LETTER BINOCULAR O
A66B  ; restricted ; historic          # (ꙫ)  CYRILLIC SMALL LETTER BINOCULAR O
A66C  ; restricted ; historic          # (Ꙭ)  CYRILLIC CAPITAL LETTER DOUBLE MONOCULAR O
A66D  ; restricted ; historic          # (ꙭ)  CYRILLIC SMALL LETTER DOUBLE MONOCULAR O
A66E  ; restricted ; historic          # (ꙮ)  CYRILLIC LETTER MULTIOCULAR O
A680  ; restricted ; historic          # (Ꚁ)  CYRILLIC CAPITAL LETTER DWE
A681  ; restricted ; historic          # (ꚁ)  CYRILLIC SMALL LETTER DWE
A682  ; restricted ; historic          # (Ꚃ)  CYRILLIC CAPITAL LETTER DZWE
A683  ; restricted ; historic          # (ꚃ)  CYRILLIC SMALL LETTER DZWE
A684  ; restricted ; historic          # (Ꚅ)  CYRILLIC CAPITAL LETTER ZHWE
A685  ; restricted ; historic          # (ꚅ)  CYRILLIC SMALL LETTER ZHWE
A686  ; restricted ; historic          # (Ꚇ)  CYRILLIC CAPITAL LETTER CCHE
A687  ; restricted ; historic          # (ꚇ)  CYRILLIC SMALL LETTER CCHE
A688  ; restricted ; historic          # (Ꚉ)  CYRILLIC CAPITAL LETTER DZZE
A689  ; restricted ; historic          # (ꚉ)  CYRILLIC SMALL LETTER DZZE
A68A  ; restricted ; historic          # (Ꚋ)  CYRILLIC CAPITAL LETTER TE WITH MIDDLE HOOK
A68B  ; restricted ; historic          # (ꚋ)  CYRILLIC SMALL LETTER TE WITH MIDDLE HOOK
A68C  ; restricted ; historic          # (Ꚍ)  CYRILLIC CAPITAL LETTER TWE
A68D  ; restricted ; historic          # (ꚍ)  CYRILLIC SMALL LETTER TWE
A68E  ; restricted ; historic          # (Ꚏ)  CYRILLIC CAPITAL LETTER TSWE
A68F  ; restricted ; historic          # (ꚏ)  CYRILLIC SMALL LETTER TSWE
A690  ; restricted ; historic          # (Ꚑ)  CYRILLIC CAPITAL LETTER TSSE
A691  ; restricted ; historic          # (ꚑ)  CYRILLIC SMALL LETTER TSSE
A692  ; restricted ; historic          # (Ꚓ)  CYRILLIC CAPITAL LETTER TCHE
A693  ; restricted ; historic          # (ꚓ)  CYRILLIC SMALL LETTER TCHE
A694  ; restricted ; historic          # (Ꚕ)  CYRILLIC CAPITAL LETTER HWE
A695  ; restricted ; historic          # (ꚕ)  CYRILLIC SMALL LETTER HWE
A696  ; restricted ; historic          # (Ꚗ)  CYRILLIC CAPITAL LETTER SHWE
A697  ; restricted ; historic          # (ꚗ)  CYRILLIC SMALL LETTER SHWE
A722  ; restricted ; historic          # (Ꜣ)  LATIN CAPITAL LETTER EGYPTOLOGICAL ALEF
A723  ; restricted ; historic          # (ꜣ)  LATIN SMALL LETTER EGYPTOLOGICAL ALEF
A724  ; restricted ; historic          # (Ꜥ)  LATIN CAPITAL LETTER EGYPTOLOGICAL AIN
A725  ; restricted ; historic          # (ꜥ)  LATIN SMALL LETTER EGYPTOLOGICAL AIN
A726  ; restricted ; historic          # (Ꜧ)  LATIN CAPITAL LETTER HENG
A727  ; restricted ; historic          # (ꜧ)  LATIN SMALL LETTER HENG
A728  ; restricted ; historic          # (Ꜩ)  LATIN CAPITAL LETTER TZ
A729  ; restricted ; historic          # (ꜩ)  LATIN SMALL LETTER TZ
A72A  ; restricted ; historic          # (Ꜫ)  LATIN CAPITAL LETTER TRESILLO
A72B  ; restricted ; historic          # (ꜫ)  LATIN SMALL LETTER TRESILLO
A72C  ; restricted ; historic          # (Ꜭ)  LATIN CAPITAL LETTER CUATRILLO
A72D  ; restricted ; historic          # (ꜭ)  LATIN SMALL LETTER CUATRILLO
A72E  ; restricted ; historic          # (Ꜯ)  LATIN CAPITAL LETTER CUATRILLO WITH COMMA
A72F  ; restricted ; historic          # (ꜯ)  LATIN SMALL LETTER CUATRILLO WITH COMMA
A730  ; restricted ; historic          # (ꜰ)  LATIN LETTER SMALL CAPITAL F
A731  ; restricted ; historic          # (ꜱ)  LATIN LETTER SMALL CAPITAL S
A732  ; restricted ; historic          # (Ꜳ)  LATIN CAPITAL LETTER AA
A733  ; restricted ; historic          # (ꜳ)  LATIN SMALL LETTER AA
A734  ; restricted ; historic          # (Ꜵ)  LATIN CAPITAL LETTER AO
A735  ; restricted ; historic          # (ꜵ)  LATIN SMALL LETTER AO
A736  ; restricted ; historic          # (Ꜷ)  LATIN CAPITAL LETTER AU
A737  ; restricted ; historic          # (ꜷ)  LATIN SMALL LETTER AU
A738  ; restricted ; historic          # (Ꜹ)  LATIN CAPITAL LETTER AV
A739  ; restricted ; historic          # (ꜹ)  LATIN SMALL LETTER AV
A73A  ; restricted ; historic          # (Ꜻ)  LATIN CAPITAL LETTER AV WITH HORIZONTAL BAR
A73B  ; restricted ; historic          # (ꜻ)  LATIN SMALL LETTER AV WITH HORIZONTAL BAR
A73C  ; restricted ; historic          # (Ꜽ)  LATIN CAPITAL LETTER AY
A73D  ; restricted ; historic          # (ꜽ)  LATIN SMALL LETTER AY
A73E  ; restricted ; historic          # (Ꜿ)  LATIN CAPITAL LETTER REVERSED C WITH DOT
A73F  ; restricted ; historic          # (ꜿ)  LATIN SMALL LETTER REVERSED C WITH DOT
A740  ; restricted ; historic          # (Ꝁ)  LATIN CAPITAL LETTER K WITH STROKE
A741  ; restricted ; historic          # (ꝁ)  LATIN SMALL LETTER K WITH STROKE
