# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
#  All code points not explicitly listed 
#  have the values: Restricted; Not-Characters
# @missing: 0000..10FFFF; Restricted ; Not-Characters


#	Status/Type:	Recommended

038C          ; Allowed ; Recommended          #      (Ό)  GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..03A1    ; Allowed ; Recommended          # [20] (Ύ..Ρ)  GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER RHO
03A3..03CE    ; Allowed ; Recommended          # [44] (Σ..ώ)  GREEK CAPITAL LETTER SIGMA..GREEK SMALL LETTER OMEGA WITH TONOS
03FC..045F    ; Allowed ; Recommended          # [100] (ϼ..џ)  GREEK RHO WITH STROKE SYMBOL..CYRILLIC SMALL LETTER DZHE
048A..0529    ; Allowed ; Recommended          # [160] (Ҋ..ԩ)  CYRILLIC CAPITAL LETTER SHORT I WITH TAIL..CYRILLIC SMALL LETTER EN WITH LEFT HOOK
052E..052F    ; Allowed ; Recommended          #  [2] (Ԯ..ԯ)  CYRILLIC CAPITAL LETTER EL WITH DESCENDER..CYRILLIC SMALL LETTER EL WITH DESCENDER
0531..0556    ; Allowed ; Recommended          # [38] (Ա..Ֆ)  ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
0559          ; Allowed ; Recommended          #      (ՙ)  ARMENIAN MODIFIER LETTER LEFT HALF RING
0561..0586    ; Allowed ; Recommended          # [38] (ա..ֆ)  ARMENIAN SMALL LETTER AYB..ARMENIAN SMALL LETTER FEH
05B4          ; Allowed ; Recommended          #      (ִ)  HEBREW POINT HIRIQ
05D0..05EA    ; Allowed ; Recommended          # [27] (א..ת)  HEBREW LETTER ALEF..HEBREW LETTER TAV
05F0..05F2    ; Allowed ; Recommended          #  [3] (װ..ײ)  HEBREW LIGATURE YIDDISH DOUBLE VAV..HEBREW LIGATURE YIDDISH DOUBLE YOD
0620..063F    ; Allowed ; Recommended          # [32] (ؠ..ؿ)  ARABIC LETTER KASHMIRI YEH..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0641..0655    ; Allowed ; Recommended          # [21] (ف..ٕ)  ARABIC LETTER FEH..ARABIC HAMZA BELOW
0660..0669    ; Allowed ; Recommended          # [10] (٠..٩)  ARABIC-INDIC DIGIT ZERO..ARABIC-INDIC DIGIT NINE
0670..0672    ; Allowed ; Recommended          #  [3] (ٰ..ٲ)  ARABIC LETTER SUPERSCRIPT ALEF..ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
0674          ; Allowed ; Recommended          #      (ٴ)  ARABIC LETTER HIGH HAMZA
0679..068D    ; Allowed ; Recommended          # [21] (ٹ..ڍ)  ARABIC LETTER TTEH..ARABIC LETTER DDAHAL
068F..06D3    ; Allowed ; Recommended          # [69] (ڏ..ۓ)  ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5          ; Allowed ; Recommended          #      (ە)  ARABIC LETTER AE
06E5..06E6    ; Allowed ; Recommended          #  [2] (ۥ..ۦ)  ARABIC SMALL WAW..ARABIC SMALL YEH
