# DRAFT emoji-data.txt
# For details about the format and other information, see /../../../reports/tr51/index.html#Data_Files.
#
# Format
# Code ;	Default Style ;	Ordering ;	Annotations ;	Sources	# Version Char Name
#
U+1F475 ;	emoji ;	66 ;	fitz-minimal, human, old, person, woman ;	j 	# V6.0 (👵) older woman
U+1F476 ;	emoji ;	67 ;	baby, fitz-minimal, human, person ;	j 	# V6.0 (👶) baby
U+1F471 ;	emoji ;	68 ;	blond, fitz-minimal, human, person ;	j 	# V6.0 (👱) person with blond hair
U+1F46E ;	emoji ;	69 ;	cop, fitz-minimal, human, officer, person, police ;	j 	# V6.0 (👮) police officer
U+1F472 ;	emoji ;	70 ;	fitz-minimal, gua, human, man, mao, person, pi ;	j 	# V6.0 (👲) man with gua pi mao
U+1F473 ;	emoji ;	71 ;	fitz-minimal, human, man, person, turban ;	j 	# V6.0 (👳) man with turban
U+1F477 ;	emoji ;	72 ;	construction, fitz-minimal, human, person, worker ;	j 	# V6.0 (👷) construction worker
U+1F478 ;	emoji ;	73 ;	fairy tale, fantasy, fitz-minimal, human, person, princess ;	j 	# V6.0 (👸) princess
U+1F482 ;	emoji ;	74 ;	fitz-minimal, guard, guardsman, human, person ;	j 	# V6.0 (💂) guardsman
U+1F385 ;	emoji ;	75 ;	activity, celebration, christmas, fantasy, father, fitz-minimal, human, person, santa ;	j 	# V6.0 (🎅) father christmas
U+1F47C ;	emoji ;	76 ;	angel, baby, face, fairy tale, fantasy, fitz-minimal, human ;	j 	# V6.0 (👼) baby angel
U+1F575 ;	text ;	77 ;	human, person, sleuth, spy ;	w 	# V7.0 (🕵) sleuth or spy
U+1F46F ;	emoji ;	78 ;	bunny, dancers, ear, fitz-minimal, girl, human, person, woman ;	j 	# V6.0 (👯) woman with bunny ears
U+1F486 ;	emoji ;	79 ;	face, fitz-minimal, human, massage, person, salon ;	j 	# V6.0 (💆) face massage
U+1F487 ;	emoji ;	80 ;	barber, beauty, fitz-minimal, haircut, human, parlor, person ;	j 	# V6.0 (💇) haircut
U+1F470 ;	emoji ;	81 ;	bride, fitz-minimal, human, person, veil, wedding ;	j 	# V6.0 (👰) bride with veil
U+1F64D ;	emoji ;	82 ;	fitz-minimal, frowning, gesture, human, person ;	j 	# V6.0 (🙍) person frowning
U+1F64E ;	emoji ;	83 ;	face, fitz-minimal, gesture, human, person, pouting ;	j 	# V6.0 (🙎) person with pouting face
U+1F645 ;	emoji ;	84 ;	face, fitz-minimal, forbidden, gesture, human, no, not, person, prohibited ;	j 	# V6.0 (🙅) face with no good gesture
U+1F646 ;	emoji ;	85 ;	face, fitz-minimal, gesture, human, ok, person ;	j 	# V6.0 (🙆) face with ok gesture
U+1F481 ;	emoji ;	86 ;	fitz-minimal, help, human, information, person ;	j 	# V6.0 (💁) information desk person
U+1F64B ;	emoji ;	87 ;	fitz-minimal, gesture, hand, happy, human, person, raise ;	j 	# V6.0 (🙋) happy person raising one hand
U+1F647 ;	emoji ;	88 ;	apology, bow, fitz-minimal, gesture, human, person, sorry ;	j 	# V6.0 (🙇) person bowing deeply
U+1F64C ;	emoji ;	89 ;	body, celebration, fitz-optional, gesture, hand, hooray, human, person, raise ;	j 	# V6.0 (🙌) person raising both hands in celebration
U+1F64F ;	emoji ;	90 ;	ask, body, fitz-optional, folded, gesture, hand, human, person, please, pray, prayer, praying, thanks ;	j 	# V6.0 (🙏) person with folded hands
U+1F5E3 ;	text ;	91 ;	face, head, human, person, rating, silhouette, speaking ;	w 	# V7.0 (🗣) speaking head in silhouette
U+1F464 ;	emoji ;	92 ;	bust, person, silhouette ;	j 	# V6.0 (👤) bust in silhouette
U+1F465 ;	emoji ;	93 ;	bust, person, silhouette ;	x 	# V6.0 (👥) busts in silhouette
U+1F6B6 ;	emoji ;	94 ;	fitz-optional, hiker, hiking, human, pedestrian, person, travel, walk, walker, walking ;	j 	# V6.0 (🚶) pedestrian
U+1F3C3 ;	emoji ;	95 ;	fitz-optional, human, marathon, person, runner, running, sport ;	j 	# V6.0 (🏃) runner
U+1F483 ;	emoji ;	96 ;	dancer, fitz-optional, human, person ;	j 	# V6.0 (💃) dancer
U+1F574 ;	text ;	97 ;	business, human, man, person, suit ;	w 	# V7.0 (🕴) man in business suit levitating
U+1F48F ;	emoji ;	98 ;	couplekiss, human, kiss, person, romance ;	j 	# V6.0 (💏) kiss
U+1F491 ;	emoji ;	99 ;	couple, heart, human, person, romance ;	j 	# V6.0 (💑) couple with heart
U+1F46A ;	emoji ;	100 ;	child, family, father, human, mother, person ;	jw 	# V6.0 (👪) family
U+1F46B ;	emoji ;	101 ;	couple, hand, hold, human, man, person, woman ;	j 	# V6.0 (👫) man and woman holding hands
U+1F46C ;	emoji ;	102 ;	couple, hand, hold, human, men, person ;	x 	# V6.0 (👬) two men holding hands
U+1F46D ;	emoji ;	103 ;	couple, hand, hold, human, person, woman ;	x 	# V6.0 (👭) two women holding hands
U+1F448 ;	emoji ;	104 ;	backhand, body, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👈) white left pointing backhand index
U+1F449 ;	emoji ;	105 ;	backhand, body, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👉) white right pointing backhand index
U+261D ;	text ;	106 ;	body, finger, fitz-optional, hand, human, index, point, up ;	jw 	# V1.1 (☝) white up pointing index
U+1F446 ;	emoji ;	107 ;	backhand, body, finger, fitz-optional, hand, human, index, point, up ;	jw 	# V6.0 (👆) white up pointing backhand index
U+1F595 ;	emoji ;	108 ;	body, extended, finger, fitz-optional, hand, human ;	x 	# V7.0 (🖕) reversed hand with middle finger extended
U+1F447 ;	emoji ;	109 ;	backhand, body, down, finger, fitz-optional, hand, human, index, point ;	jw 	# V6.0 (👇) white down pointing backhand index
U+270C ;	text ;	110 ;	body, fitz-optional, hand, human, v, victory ;	zjw 	# V1.1 (✌) victory hand
U+1F596 ;	emoji ;	111 ;	body, finger, fitz-optional, hand, human, part, spock, vulcan ;	x 	# V7.0 (🖖) raised hand with part between middle and ring fingers
U+270A ;	emoji ;	112 ;	body, fist, fitz-optional, hand, human ;	j 	# V6.0 (✊) raised fist
U+270B ;	emoji ;	113 ;	body, fitz-optional, hand, human ;	j 	# V6.0 (✋) raised hand
U+1F44A ;	emoji ;	114 ;	body, clenched, facepunch, fist, fitz-optional, hand, human, punch ;	j 	# V6.0 (👊) fisted hand sign
U+1F44B ;	emoji ;	115 ;	body, fitz-optional, hand, human, wave, waving ;	j 	# V6.0 (👋) waving hand sign
U+1F44C ;	emoji ;	116 ;	body, fitz-optional, hand, human, ok ;	j 	# V6.0 (👌) ok hand sign
U+1F44D ;	emoji ;	117 ;	+1, body, fitz-optional, hand, human, thumb, thumbs’s up, up ;	jw 	# V6.0 (👍) thumbs up sign
U+1F44E ;	emoji ;	118 ;	-1, body, down, fitz-optional, hand, human, thumb, thumb’s down ;	jw 	# V6.0 (👎) thumbs down sign
U+1F44F ;	emoji ;	119 ;	body, clap, fitz-optional, hand, human ;	j 	# V6.0 (👏) clapping hands sign
U+1F450 ;	emoji ;	120 ;	body, fitz-optional, hand, human, open ;	j 	# V6.0 (👐) open hands sign
U+270D ;	text ;	121 ;	body, fitz-optional, hand, human, writing ;	zw 	# V1.1 (✍) writing hand
U+1F590 ;	text ;	122 ;	body, finger, fitz-optional, hand, human, splayed ;	w 	# V7.0 (🖐) raised hand with fingers splayed
U+1F485 ;	emoji ;	123 ;	body, care, cosmetics, fitz-optional, human, manicure, nail, polish ;	j 	# V6.0 (💅) nail polish
U+1F4AA ;	emoji ;	124 ;	biceps, body, comic, fitz-optional, flex, human, muscle ;	j 	# V6.0 (💪) flexed biceps
U+1F463 ;	emoji ;	125 ;	body, clothing, footprint, footprints, print ;	j 	# V6.0 (👣) footprints
U+1F440 ;	emoji ;	126 ;	body, eyes, face, fitz-optional, human ;	j 	# V6.0 (👀) eyes
U+1F441 ;	text ;	127 ;	body, eye, fitz-optional, human ;	w 	# V7.0 (👁) eye
U+1F442 ;	emoji ;	128 ;	body, ear, fitz-optional, human ;	jw 	# V6.0 (👂) ear
U+1F443 ;	emoji ;	129 ;	body, fitz-optional, human, nose ;	j 	# V6.0 (👃) nose
U+1F445 ;	emoji ;	130 ;	body, fitz-optional, human, tongue ;	j 	# V6.0 (👅) tongue
U+1F480 ;	emoji ;	131 ;	body, face, fairy tale, skull ;	j 	# V6.0 (💀) skull
U+2620 ;	text ;	132 ;	body, crossbones, face, skull ;	x 	# V1.1 (☠) skull and crossbones
U+1F48B ;	emoji ;	133 ;	emotion, fitz-optional, heart, human, kiss, lips, mark, romance ;	j 	# V6.0 (💋) kiss mark
U+1F444 ;	emoji ;	134 ;	body, fitz-optional, human, lips, mouth ;	j 	# V6.0 (👄) mouth
U+1F498 ;	emoji ;	135 ;	arrow, cupid, emotion, heart ;	j 	# V6.0 (💘) heart with arrow
U+2764 ;	text ;	136 ;	emotion, heart ;	zj 	# V1.1 (❤) heavy black heart
U+1F493 ;	emoji ;	137 ;	beating, emotion, heart, heartbeat, pulsating ;	j 	# V6.0 (💓) beating heart
U+1F494 ;	emoji ;	138 ;	break, broken, emotion, heart ;	j 	# V6.0 (💔) broken heart
U+1F495 ;	emoji ;	139 ;	emotion, heart, love ;	j 	# V6.0 (💕) two hearts
U+1F496 ;	emoji ;	140 ;	emotion, excited, heart, sparkle, sparkler ;	j 	# V6.0 (💖) sparkling heart
U+1F497 ;	emoji ;	141 ;	emotion, excited, growing, heart, heartpulse, nervous ;	j 	# V6.0 (💗) growing heart
U+1F499 ;	emoji ;	142 ;	blue, emotion, heart ;	j 	# V6.0 (💙) blue heart
U+1F49A ;	emoji ;	143 ;	emotion, green, heart ;	j 	# V6.0 (💚) green heart
U+1F49B ;	emoji ;	144 ;	emotion, heart, yellow ;	j 	# V6.0 (💛) yellow heart
U+1F49C ;	emoji ;	145 ;	emotion, heart, purple ;	j 	# V6.0 (💜) purple heart
U+1F49D ;	emoji ;	146 ;	emotion, heart, ribbon, valentine ;	j 	# V6.0 (💝) heart with ribbon
U+1F49E ;	emoji ;	147 ;	emotion, heart, revolving ;	j 	# V6.0 (💞) revolving hearts
U+1F49F ;	emoji ;	148 ;	emotion, heart ;	j 	# V6.0 (💟) heart decoration
U+2763 ;	text ;	149 ;	emotion, exclamation, heart, mark ;	z 	# V1.1 (❣) heavy heart exclamation mark ornament
U+1F48C ;	emoji ;	150 ;	emotion, heart, letter, love, mail, romance ;	j 	# V6.0 (💌) love letter
U+1F4A7 ;	emoji ;	151 ;	cold, comic, drop, droplet, emotion, object, sweat, weather ;	j 	# V6.0 (💧) droplet
U+1F4A4 ;	emoji ;	152 ;	comic, emotion, sleeping, sleepy, word, zzz ;	j 	# V6.0 (💤) sleeping symbol
U+1F4A2 ;	emoji ;	153 ;	anger, angry, comic, emotion ;	j 	# V6.0 (💢) anger symbol
U+1F4A3 ;	emoji ;	154 ;	bomb, comic, emotion, object ;	jw 	# V6.0 (💣) bomb
U+1F4A5 ;	emoji ;	155 ;	boom, collision, comic, emotion ;	j 	# V6.0 (💥) collision symbol
U+1F4A6 ;	emoji ;	156 ;	comic, emotion, object, splashing, sweat ;	j 	# V6.0 (💦) splashing sweat symbol
U+1F4A8 ;	emoji ;	157 ;	comic, dash, emotion, object, running ;	j 	# V6.0 (💨) dash symbol
U+1F4AB ;	emoji ;	158 ;	comic, dizzy, emotion, star ;	j 	# V6.0 (💫) dizzy symbol
U+1F4AC ;	emoji ;	159 ;	balloon, bubble, comic, dialog, emotion, speech ;	j 	# V6.0 (💬) speech balloon
U+1F4AD ;	emoji ;	160 ;	balloon, bubble, comic, emotion, thought ;	x 	# V6.0 (💭) thought balloon
U+1F573 ;	text ;	161 ;	emotion, hole ;	w 	# V7.0 (🕳) hole
U+1F5EF ;	text ;	162 ;	anger, angry, balloon, bubble, emotion ;	w 	# V7.0 (🗯) right anger bubble
U+1F453 ;	emoji ;	163 ;	clothing, eye, eyeglasses, glasses ;	jw 	# V6.0 (👓) eyeglasses
U+1F576 ;	text ;	164 ;	dark, eye, glasses, object, sunglasses ;	w 	# V7.0 (🕶) dark sunglasses
U+1F454 ;	emoji ;	165 ;	clothing, necktie ;	j 	# V6.0 (👔) necktie
U+1F455 ;	emoji ;	166 ;	clothing, shirt, tshirt ;	j 	# V6.0 (👕) t-shirt
U+1F456 ;	emoji ;	167 ;	clothing, jeans, pants, trousers ;	j 	# V6.0 (👖) jeans
U+1F457 ;	emoji ;	168 ;	clothing, dress ;	j 	# V6.0 (👗) dress
U+1F458 ;	emoji ;	169 ;	clothing, kimono ;	j 	# V6.0 (👘) kimono
U+1F459 ;	emoji ;	170 ;	bikini, clothing ;	j 	# V6.0 (👙) bikini
U+1F45A ;	emoji ;	171 ;	clothes, clothing, woman ;	j 	# V6.0 (👚) womans clothes
U+1F45B ;	emoji ;	172 ;	clothing, coin, purse ;	j 	# V6.0 (👛) purse
U+1F45C ;	emoji ;	173 ;	bag, clothing, handbag ;	j 	# V6.0 (👜) handbag
U+1F45D ;	emoji ;	174 ;	bag, clothing, pouch ;	j 	# V6.0 (👝) pouch
U+1F45E ;	emoji ;	175 ;	clothing, man, shoe ;	j 	# V6.0 (👞) mans shoe
U+1F45F ;	emoji ;	176 ;	athletic, clothing, shoe, sneaker ;	j 	# V6.0 (👟) athletic shoe
U+1F460 ;	emoji ;	177 ;	clothing, heel, shoe ;	j 	# V6.0 (👠) high-heeled shoe
U+1F461 ;	emoji ;	178 ;	clothing, sandal, woman ;	j 	# V6.0 (👡) womans sandal
U+1F462 ;	emoji ;	179 ;	boot, clothing, woman ;	j 	# V6.0 (👢) womans boots
U+1F451 ;	emoji ;	180 ;	clothing, crown ;	j 	# V6.0 (👑) crown
U+1F452 ;	emoji ;	181 ;	clothing, hat, woman ;	j 	# V6.0 (👒) womans hat
U+1F3A9 ;	emoji ;	182 ;	activity, entertainment, hat, object, top, tophat ;	j 	# V6.0 (🎩) top hat
U+26D1 ;	text ;	183 ;	cross, helmet, travel ;	a 	# V5.2 (⛑) helmet with white cross
U+1F435 ;	emoji ;	184 ;	animal, face, monkey, nature ;	j 	# V6.0 (🐵) monkey face
U+1F648 ;	emoji ;	185 ;	evil, face, forbidden, gesture, monkey, no, not, prohibited, see ;	j 	# V6.0 (🙈) see-no-evil monkey
U+1F649 ;	emoji ;	186 ;	evil, face, forbidden, gesture, hear, monkey, no, not, prohibited ;	j 	# V6.0 (🙉) hear-no-evil monkey
U+1F64A ;	emoji ;	187 ;	evil, face, forbidden, gesture, monkey, no, not, prohibited, speak ;	j 	# V6.0 (🙊) speak-no-evil monkey
U+1F412 ;	emoji ;	188 ;	animal, monkey, nature ;	j 	# V6.0 (🐒) monkey
U+1F436 ;	emoji ;	189 ;	animal, dog, face, nature ;	j 	# V6.0 (🐶) dog face
U+1F415 ;	emoji ;	190 ;	animal, dog, nature ;	w 	# V6.0 (🐕) dog
U+1F429 ;	emoji ;	191 ;	animal, nature, poodle ;	j 	# V6.0 (🐩) poodle
U+1F43A ;	emoji ;	192 ;	animal, face, nature, wolf ;	j 	# V6.0 (🐺) wolf face
U+1F431 ;	emoji ;	193 ;	animal, cat, face, nature ;	j 	# V6.0 (🐱) cat face
U+1F638 ;	emoji ;	194 ;	animal, cat, eye, face, grin, grinning, nature, smile, smiley, smiling ;	j 	# V6.0 (😸) grinning cat face with smiling eyes
U+1F639 ;	emoji ;	195 ;	animal, cat, face, joy, nature, tears ;	j 	# V6.0 (😹) cat face with tears of joy
U+1F63A ;	emoji ;	196 ;	animal, cat, face, mouth, nature, open, smile, smiley, smiling ;	j 	# V6.0 (😺) smiling cat face with open mouth
U+1F63B ;	emoji ;	197 ;	animal, cat, eye, face, heart, love, nature, smile, smiley, smiling ;	j 	# V6.0 (😻) smiling cat face with heart-shaped eyes
U+1F63C ;	emoji ;	198 ;	animal, cat, face, ironic, nature, smile, smiley, smiling, wry ;	j 	# V6.0 (😼) cat face with wry smile
U+1F63D ;	emoji ;	199 ;	animal, cat, eye, face, kiss, nature ;	j 	# V6.0 (😽) kissing cat face with closed eyes
U+1F63E ;	emoji ;	200 ;	animal, cat, face, nature, pouting ;	j 	# V6.0 (😾) pouting cat face
U+1F63F ;	emoji ;	201 ;	animal, cat, cry, face, nature, sad, tear ;	j 	# V6.0 (😿) crying cat face
U+1F640 ;	emoji ;	202 ;	animal, cat, face, nature, oh, surprised, weary ;	j 	# V6.0 (🙀) weary cat face
U+1F408 ;	emoji ;	203 ;	animal, cat, nature ;	w 	# V6.0 (🐈) cat
U+1F42F ;	emoji ;	204 ;	animal, face, nature, tiger ;	j 	# V6.0 (🐯) tiger face
U+1F405 ;	emoji ;	205 ;	animal, nature, tiger ;	x 	# V6.0 (🐅) tiger
U+1F406 ;	emoji ;	206 ;	animal, leopard, nature ;	x 	# V6.0 (🐆) leopard
U+1F434 ;	emoji ;	207 ;	animal, face, horse, nature ;	j 	# V6.0 (🐴) horse face
U+1F40E ;	emoji ;	208 ;	animal, horse, nature, racehorse ;	j 	# V6.0 (🐎) horse
U+1F42E ;	emoji ;	209 ;	animal, cow, face, nature ;	j 	# V6.0 (🐮) cow face
U+1F402 ;	emoji ;	210 ;	animal, nature, ox ;	x 	# V6.0 (🐂) ox
U+1F403 ;	emoji ;	211 ;	animal, buffalo, nature, water ;	x 	# V6.0 (🐃) water buffalo
U+1F404 ;	emoji ;	212 ;	animal, cow, nature ;	x 	# V6.0 (🐄) cow
U+1F437 ;	emoji ;	213 ;	animal, face, nature, pig ;	j 	# V6.0 (🐷) pig face
U+1F416 ;	emoji ;	214 ;	animal, nature, pig ;	x 	# V6.0 (🐖) pig
U+1F417 ;	emoji ;	215 ;	animal, boar, nature ;	j 	# V6.0 (🐗) boar
U+1F43D ;	emoji ;	216 ;	animal, face, nature, nose, pig ;	j 	# V6.0 (🐽) pig nose
U+1F40F ;	emoji ;	217 ;	animal, nature, ram, sheep ;	x 	# V6.0 (🐏) ram
U+1F411 ;	emoji ;	218 ;	animal, nature, sheep ;	j 	# V6.0 (🐑) sheep
U+1F410 ;	emoji ;	219 ;	animal, goat, nature ;	x 	# V6.0 (🐐) goat
U+1F42A ;	emoji ;	220 ;	animal, camel, dromedary, hump, nature ;	x 	# V6.0 (🐪) dromedary camel
U+1F42B ;	emoji ;	221 ;	animal, bactrian, camel, hump, nature ;	j 	# V6.0 (🐫) bactrian camel
U+1F418 ;	emoji ;	222 ;	animal, elephant, nature ;	j 	# V6.0 (🐘) elephant
U+1F42D ;	emoji ;	223 ;	animal, face, mouse, nature ;	j 	# V6.0 (🐭) mouse face
U+1F401 ;	emoji ;	224 ;	animal, mouse, nature ;	x 	# V6.0 (🐁) mouse
U+1F400 ;	emoji ;	225 ;	animal, nature, rat ;	x 	# V6.0 (🐀) rat
U+1F439 ;	emoji ;	226 ;	animal, face, hamster, nature ;	j 	# V6.0 (🐹) hamster face
U+1F430 ;	emoji ;	227 ;	animal, bunny, face, nature, rabbit ;	j 	# V6.0 (🐰) rabbit face
U+1F407 ;	emoji ;	228 ;	animal, bunny, nature, rabbit ;	x 	# V6.0 (🐇) rabbit
