#Unicode code point	English annotation
U+01F623	blew it, i blew it face, persevering face, persevering, face
U+01F624	look of triumph, i won it face, i won, triumph, face
U+01F625	whew!, disappointed but relieved, relieved, disappointed, face
U+01F626	frowning face, frowning with open mouth, frowning, open mouth, face
U+01F627	anguished, anguished face, suffering, face
U+01F628	fearful, scared, scared face, face
U+01F629	weary, tired, weary face, face
U+01F62A	sleepy, sleepy face, face
U+01F62B	tired, tired face, face
U+01F62C	grimace, grimacing face, grimacing, face
U+01F62D	loudly crying, tears, crying, cry, face
U+01F62E	open mouth face, open mouth, mouth, face
U+01F62F	hushed face, stunned, surprised, face
U+01F630	rushed face, blue face with cold sweat, open mouth, cold sweat, face
U+01F631	fearful face, screaming in fear, face screaming in fear, fear, fearful, scared, face
U+01F632	astonished face, astonished, totally shocked, shocked, face
U+01F633	flushed, flushed face, in a daze, dazed, face
U+01F634	sleeping, sleeping face, face
U+01F635	dizzy, dizzy face, face
U+01F636	no mouth face, no mouth, face
U+01F637	face with mask, cold, under the weather, medical mask, mask, face
U+01F638	grinning cat face, grinning, cat face with grin and smiling eyes, cat face, cat, face
U+01F639	tears of joy, cat face, cat face with tears of joy, cat, face
U+01F63A	smiling cat face, smiling cat face with open mouth, cat face, open mouth, open. mouth, cat, face
U+01F63B	smiling cat face, smiling cat with heart-shaped eyes, in love, love, heart, eyes, cat face, cat, face
U+01F63C	wry cat face, wry, ironic smile, cat face, cat, face
U+01F63D	kissing cat, eyes closed, kissing, kiss, eyes, closed, cat, face
U+01F63E	pouting cat face, pouting, cat face, cat, face
U+01F63F	crying cat face, crying, cry, cat face, cat, face
U+01F640	weary cat face, oh my god, real surprised, cat, face
U+01F645	No good gesture, no good, no, prohibited, gesture, face
U+01F646	OK gesture, all right, gesture, face
U+01F647	i'm sorry, deeply bowing, sorry, bowing, gesture, person
U+01F648	see no evil, see no evil monkey, monkey
U+01F649	hear no evil, hear no evil monkey, monkey
U+01F64A	speak no evil, speak no evil monkey, monkey
U+01F64B	happy person, raising hand, person raising hand, happy, person, gesture
U+01F64C	hooray, raising both hands in celebration, both hands, celebration
U+01F64D	frowning, frowning person, person, gesture
U+01F64E	pouting, person pouting, person, gesture
U+01F64F	folded hands, prayer, praying, pray, hand, gesture
U+01F680	rocket, vehicle
U+01F681	helicopter, vehicle
U+01F682	steam locomotive, locomotive, train, vehicle
U+01F683	train, electric train, railway car, electric, railway, tram,vehicle
U+01F684	high-speed train,shinkansen, train, vehicle
U+01F685	high-speed train,  bullet nose, shinkansen with bullet nose, shinkansen, train, vehicle
U+01F686	train, railway, vehicle
U+01F687	subway, metro, vehicle
U+01F688	light rail, light, rail, vehicle
U+01F689	train station, train, station
U+01F68A	tram, vehicle
U+01F68B	tram car, tram, car, vehicle
U+01F68C	bus, vehicle
U+01F68D	oncoming bus, bus, oncoming, vehicle
U+01F68E	trolleybus, bus, trolley, vehicle
U+01F68F	bus stop, stop, bus
U+01F690	minibus, bus, vehicle
U+01F691	ambulance, vehicle
U+01F692	fire engine, fire truck, fire, engine, vehicle
U+01F693	police car, patrol car, police, vehicle
U+01F694	oncoming police car, police car, police, vehicle
U+01F695	taxi, vehicle
U+01F696	oncoming taxi, taxi, vehicle
U+01F697	car, automobile, vehicle
U+01F698	oncoming car, oncoming automobile, car, automobile, oncoming, vehicle
U+01F699	RV, recreational vehicle, car, vehicle
U+01F69A	delivery truck, truck, vehicle
U+01F69B	lorry, semi, articulated lorry, truck, trailer, vehicle
U+01F69C	tractor, vehicle
U+01F69D	monorail, vehicle
U+01F69E	mountain railway, mountain cable car, mountain, railway, car, vehicle
U+01F69F	suspension railway, railway, suspension, vehicle
U+01F6A0	mountain cableway, mountain cable car, cable, car, mountain, vehicle
U+01F6A1	cable car, aerial tramway, ropeway, aerial, tramway, gondola, vehicle
U+01F6A2	ship, vehicle
U+01F6A3	rowboat, boat, vehicle
U+01F6A4	speedboat, boat, vehicle
U+01F6A5	traffic lights, horizontal traffic light, traffic signals, light, traffic
U+01F6A6	traffic lights, vertical traffic light, traffic signals, light, traffic
U+01F6A7	under construction, construction sign, construction, sign
U+01F6A8	revolving light, police light, police beacon, police car
U+01F6A9	location flag, location info flag, triangular location flag, triangular flag, flag, location
U+01F6AA	door
U+01F6AB	No entry sign, No entry, sign
U+01F6AC	smoking sign,, smoking permitted, smoking, sign
U+01F6AD	no smoking sign, no smoking, sign
U+01F6AE	litterbox sign, put litter in its place, litter box, sign
U+01F6AF	don't litter sign, do not litter, no littering, sign
U+01F6B0	drinking water, potable water, drinking water sign
U+01F6B1	non-drinking water, non-potable water, water, non-drinking
U+01F6B2	bike, bicycle, vehicle
U+01F6B3	no bike, no bicycle, bicycle not allowed, bike, vehicle
U+01F6B4	bicyclist, cyclist, bike
U+01F6B5	mountain bicyclist, bike, cyclist, mountain
U+01F6B6	pedestrian, walker
U+01F6B7	no pedestrians, pedestrians not allowed, pedestrian, walker, sign
U+01F6B8	children crossing, children, crossing, sign
U+01F6B9	Men sign, Men's room, Men's symbol, sign
U+01F6BA	Women sign, Women's room, Women's symbol, sign
U+01F6BB	restroom sign, restroom, lavatory, wc
U+01F6BC	baby sign, baby on board, baby changing station, baby
U+01F6BD	toilet
U+01F6BE	water closet, WC, restroom, lavatory
U+01F6BF	shower
U+01F6C0	bath
U+01F6C1	bathtub
U+01F6C2	passport control, passport, control
U+01F6C3	customs
U+01F6C4	baggage claim, baggage
U+01F6C5	left luggage, baggage service, luggage, baggage
U+01F1EFU+01F1F5	flag of Japan, Japan, flag
U+01F1FAU+01F1F8	flag of the US, the US, USA, flag
U+01F1EBU+01F1F7	flag of France, France, flag
U+01F1E9U+01F1EA	flag of Germany, Germany, flag
U+01F1EEU+01F1F9	flag of Italy, Italy, flag
U+01F1ECU+01F1E7	flag of Great Britain, Great Britain, flag
U+01F1EAU+01F1F8	flag of Spain, Spain, flag
U+01F1F7U+01F1FA	flag of Russia, Russia, flag
U+01F1E8U+01F1F3	flag of China, China, flag
U+01F1F0U+01F1F7	flag of Korea, Korea, flag
U+0FE82C	hash key
U+0FE82E	keycap 1
U+0FE82F	keycap 2
U+0FE830	keycap 3
U+0FE831	keycap 4
U+0FE832	keycap 5
U+0FE833	keycap 6
U+0FE834	keycap 7
U+0FE835	keycap 8
U+0FE836	keycap 9
U+0FE837	keycap 0
U+20E3	combining enclosing keycap
U+2122	trade mark sign, trade mark, sign
U+231A	watch, clock
U+231B	hourglass, sand
U+23E9	fast forward, double right arrow, right, arrow
U+23EA	rewind, double left arrow, left, arrow
U+23EB	up arrow, double up arrow, up, arrow
U+23EC	down arrow, double down arrow, down, arrow
U+23F0	alarm clock, alarm, clock
U+23F3	sand timer, sand hourglass, hourglass, timer
U+2601	cloud, weather
U+263A	smiling face, smiley, non-filled smiley face, face
U+2648	Aries, zodiac
U+2649	Taurus, zodiac
U+264A	Gemini, zodiac
U+264B	Cancer, zodiac
U+264C	Leo, zodiac
U+264D	Virgo, zodiac
U+264E	Libra, zodiac
U+264F	Scorpion, Scorpius, zodiac
U+2650	Sagittarius, zodiac
U+2651	Capricorn, zodiac
U+2652	Aquarius, zodiac
U+2653	Pisces, zodiac
U+267B	recycling symbol, solid universal recycling symbol, recycling, universal, sign
U+267F	wheelchair access, wheelchair, access, wheelchair symbol, sign
U+2693	anchor, sign
U+26A0	warning sign, warning, sign
U+26A1	high voltage, high voltage danger, high voltage sign, danger, high, voltage, sign
U+26BD	soccer ball, soccer, ball
U+26BE	baseball
U+26C4	snowman, snowman without snow, snow
U+26C5	sun behind clouds, sun with clouds, sun, cloud
U+26CE	Ophiuchus, zodiac
U+26D4	No entry sign, No entry, forbidden, no, sign
U+26EA	church, building
U+26F2	fountain
U+26F3	flag in hole, golf, golf flag, hole
U+26F5	sailboat, boat, yacht, sea resort, resort
U+26FA	tent, camping
U+26FD	gas station, fuel pump, fuel, gas, station
U+2705	check mark, check, heavy check mark
U+270A	rock, raised fist
U+270B	paper, raised hand
U+270C	scissor, victory hand, victory, yeah
U+2728	sparkles, sparkling stars, sparkler, stars
U+274C	cross mark, "X"
U+274E	cross mark, "X" in square
U+2753	question mark, solid question mark, question
U+2754	question mark, hollow question mark, question
U+2755	exclamation mark, hollow exclamation mark, exclamation
U+2795	plus, heavy plus sign, plus sign, sign
U+2796	minus, heavy minus sign, minus sign, sign
U+2797	division, heavy division sign, division sign, sign
U+27B0	curly loop, turn, loop
U+27BF	double curly loop, curly loop, Japan, free dial
U+3030	wavy dash, long sound mark, wavy, dash
