#Unicode code point	English annotation
U+01F306	city at dusk, dusk, evening, sunset, city, building, landscape
U+01F307	sunset, dusk, sunset over buildings, building
U+01F308	rainbow
U+01F309	night bridge, bridge at night, night
U+01F30A	wave, ocean wave, water wave
U+01F30B	volcano, volcanic eruption
U+01F30C	Milky Way, milky
U+01F30D	globe, earth, Europe, Africa
U+01F30E	globe, earth, the Americas, America
U+01F30F	globe, earth, Asia, Australia
U+01F310	globe, meridians
U+01F311	new moon, dark moon, dark, new, moon
U+01F312	crescent moon, crescent, waxing moon, waxing, moon
U+01F313	quarter moon, first quarter moon, moon, quarter
U+01F314	waxing moon, waxing, gibbous moon, gibbous, moon
U+01F315	full moon, full, bright moon, bright, moon
U+01F316	waning moon, waning, gibbous moon, gibbous, moon
U+01F317	quarter moon, quarter, last quarter moon, moon
U+01F318	crescent moon, crescent, waning moon, waning, moon
U+01F319	crescent moon, crescent, moon
U+01F31A	new moon face, new moon, new moon with a face, moon, face
U+01F31B	quarter moon face, quarter moon with a face, moon with a face, first quarter moon, quarter moon, moon, face
U+01F31C	quarter moon face, quarter moon with a face, moon with a face, last quarter moon, quarter moon, moon, face
U+01F31D	full moon face, full moon with a face, moon with a face, full moon, full, moon, face
U+01F31E	sun face, sun, face
U+01F31F	glowing star, shining, glittery, sparkler, sparkle, shining, star
U+01F320	shooting star, shooting, falling star, falling, star
U+01F330	chestnut
U+01F331	young plant, young, seedling
U+01F332	evergreen tree, evergreen, tree
U+01F333	shedding tree, shedding, deciduous, tree
U+01F334	palm tree, palm, tree
U+01F335	cactus, plant
U+01F337	tulip, flower
U+01F338	cherry blossom, cherry, flower viewing, flower
U+01F339	rose, flower
U+01F33A	hibiscus, flower
U+01F33B	sunflower, flower
U+01F33C	blossom, flower
U+01F33D	corn, ear, maize
U+01F33E	rice plant, ear of rice, rice, ear
U+01F33F	herb, leaf
U+01F340	four leaf clover, four, leaf, clover, lucky
U+01F341	maple leaf, fallen leaf, leaf
U+01F342	falling leaves, fallen leaves, falling, fallen, leaf, leaves
U+01F343	leaf in wind, wind blowing, leaf, wind, blowing
U+01F344	mushroom
U+01F345	tomato, vegetable
U+01F346	eggplant, aubergine, vegetable
U+01F347	grapes, fruit
U+01F348	melon, fruit
U+01F349	watermelon, fruit
U+01F34A	tangerine, orange, fruit
U+01F34B	lemon, citrus, fruit
U+01F34C	banana, fruit
U+01F34D	pineapple, fruit
U+01F34E	red apple, apple, red, fruit
U+01F34F	green apple, apple, green, fruit
U+01F350	pear, fruit
U+01F351	peach, fruit
U+01F352	cherry, fruit
U+01F353	strawberry, berry, fruit
U+01F354	hamburger, burger, restaurant
U+01F355	pizza slice, pizza, slice, restaurant
U+01F356	meat, meat on bone, restaurant
U+01F357	chicken leg, poultry, leg, restaurant
U+01F358	rice cracker, rice
U+01F359	rice ball, onigiri, rice, restaurant
U+01F35A	cooked rice, rice, restaurant
U+01F35B	curry and rice, curry, rice, restaurant
U+01F35C	ramen, bowl of noodles, noodle, steaming, bowl, noodles, restaurant
U+01F35D	spaghetti, pasta, restaurant
U+01F35E	bread, loaf of bread, restaurant
U+01F35F	fries, french fries, restaurant
U+01F360	roasted potato, sweet potato, roasted sweet potato, sweet, roasted, restaurant
U+01F361	mochi, mochi balls, mochi balls on stick, dango, restaurant
U+01F362	oden, seafood on stick, seafood, stick, restaurant
U+01F363	sushi, restaurant
U+01F364	fried shrimp, shrimp, restaurant
U+01F365	fish cake, fish cake with swirl, fish, restaurant
U+01F366	soft ice cream, ice cream, soft serve, cream, restaurant
U+01F367	shaved ice, ice, shaved, restaurant
U+01F368	ice cream, ice, cream, restaurant
U+01F369	donut, doughnut, restaurant
U+01F36A	cookie, restaurant
U+01F36B	chocolate, chocolate bar, bar, restaurant
U+01F36C	candy, restaurant
U+01F36D	lollipop, candy, restaurant
U+01F36E	custard, pudding, restaurant
U+01F36F	honeypot, honey, pot, restaurant
U+01F370	shortcake, sliced cake, cake, restaurant
U+01F371	bento, bento box, box, restaurant
U+01F372	stew, pot food, restaurant
U+01F373	frying pan, cooking, restaurant
U+01F374	fork and knife, fork, knife, restaurant
U+01F375	teacup, cup of tea, tea, drink
U+01F376	sake, sake bottle and cup, cup, bottle, drink, restaurant, bar
U+01F377	wine, glass of wine, wine glass, glass, drink, restaurant, bar
U+01F378	cocktail, cocktail glass, restaurant, bar
U+01F379	tropical drink, tropical, drink, restaurant, bar
U+01F37A	beer, beer mug, mug, restaurant, bar
U+01F37B	beer mugs, beer, mugs, mug, restaurant, bar
U+01F37C	baby bottle, milk, bottle, drink
U+01F380	ribbon, celebration
U+01F381	gift, present, wrapped present, wrapped, celebration
U+01F382	birthday cake, birthday, cake, celebration
U+01F383	jack-o-lantern, jack, lantern, Halloween, pumpkin, celebration
U+01F384	christmas tree, tree, celebration
U+01F385	santa, santa claus, father christmas, christmas, celebration
U+01F386	firework, celebration
U+01F387	sparkler, firework, firework sparkler, celebration
U+01F388	balloon, celebration
U+01F389	party popper, party, popper, celebration
U+01F38A	confetti, confetti ball, ball, celebration
U+01F38B	tree and paper strips, Star Festival, tree, paper strips, celebration
U+01F38C	crossed flags, crossed flags of Japan, crossed, flags, celebration
U+01F38D	pine decoration, New Year, Japanese, pine, celebration
U+01F38E	dolls, Dolls Festival, festival, Japanese, celebration
U+01F38F	carp streamer, streamer, celebration
U+01F390	wind chime, chime
U+01F391	moon viewing, moon viewing ceremony, moon, viewing, celebration
U+01F392	school bag, school satchel, satchel, school
U+01F393	graduation cap, cap, graduation, celebration
U+01F3A0	carousel, carousel horse, horse, entertainment
