# File: MathClassEx.txt
# Revision: 16.0
# Date: 2025-07-01
#
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr25/
#
# ------------------------------------------------
# This file is a classification of characters based on their usage in
# mathematical notation and providing a mapping to standard entity
# sets commonly used for SGML and MathML documents.
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time.
#
# This file is *NOT* formally part of the Unicode Character Database
# at this time.
#
# The character encoding of this plain-text file is UTF-8.
#
# The data consists of 8 fields. The number and type of fields may change
# in future versions of this file.
#
# 1: code point or range
#
# 2: class, one of:
#
#	N - Normal - includes all digits and symbols requiring only one form
#	A - Alphabetic
#	B - Binary
#	C - Closing - usually paired with opening delimiter
#	D - Diacritic
#	F - Fence - unpaired delimiter (often used as opening or closing)
#	G - Glyph_Part - piece of large operator
#	L - Large - n-ary or large operator, often takes limits
#	O - Opening - usually paired with closing delimiter
#	P - Punctuation
#	R - Relation - includes arrows
#	S - Space
#	U - Unary - operators that are only unary
#	V - Vary - operators that can be unary or binary depending on context
#	X - Special - characters not covered by other classes
#
# The C, O, and F operators are stretchy. In addition, some binary operators such
# as U+002F are stretchy as noted in the descriptive comments. The classes are
# also useful in determining extra spacing around the operators as discussed
# in UTR #25.
#
# 3: entity name
#
# 4: entity set
#
# 5: descriptive comments (of various types)
# The descriptive comments provide more information about a character,
# or its specific appearance. Some descriptions contain common macro
# names (with slash) but in the majority of cases, the description is
# simply the description of the entity in the published entity set, if
# different from the formal Unicode character name. Minor differences
# in word order, punctuation and verb forms have been ignored, but not
# systematic differences in terminology, such as filled vs. black.
# In principle this allows location of entities by their description.
#
# 6: Comment with Unicode General Category, character (UTf-8)
#    and Unicode character name or names
#    Character names are provided for ease of reference only.
#
# Fields are delimited by ';'.
# Spaces adjacent to the delimiter or the '#' are not significant
# Future versions of this file may use different amounts of whitespace.
#
# Some character positions in the Mathematical Alphanumeric Symbols block are
# reserved and have been mapped to the Letterlike Symbols block in Unicode.
# This is indicated in 24 special purpose comments.
#
# The character repertoire of this revision is the repertoire of Unicode
# Version 17.0. For more information see Revision 16 or later of UTR #25.
# ------------------------------------------------

#code point;class;entity;set;note/description # comment/Unicode name
007A;A;;; # Ll (z) LATIN SMALL LETTER Z
007B;O;lcub lbrace;HTML-MathML; # Ps ({) LEFT CURLY BRACKET
007C;F;verbar vert VerticalLine;HTML-MathML; # Sm (|) VERTICAL LINE
007D;C;rcub rbrace;HTML-MathML; # Pe (}) RIGHT CURLY BRACKET
007E;N;;; # Sm (~) TILDE
00A0;S;nbsp NonBreakingSpace;HTML-MathML; # Zs ( ) NO-BREAK SPACE
00A1;P;iexcl;HTML-MathML; # Po (¡) INVERTED EXCLAMATION MARK
00A2;N;cent;HTML-MathML; # Sc (¢) CENT SIGN
00A3;N;pound;HTML-MathML; # Sc (£) POUND SIGN
00A4;N;curren;HTML-MathML; # Sc (¤) CURRENCY SIGN
00A5;N;yen;HTML-MathML; # Sc (¥) YEN SIGN
00A6;N;brvbar;HTML-MathML;(vertical) # So (¦) BROKEN BAR
00A7;N;sect;HTML-MathML; # Po (§) SECTION SIGN
00A8;D;Dot die DoubleDot uml;HTML-MathML;/die, Alias for 0308 # Sk (¨) DIAERESIS
00AC;U;not;HTML-MathML;/neg /lnot # Sm (¬) NOT SIGN
00AF;D;macr strns;HTML-MathML;Alias for 0304 # Sk (¯) MACRON
00B0;N;deg;HTML-MathML; # So (°) DEGREE SIGN
00B1;V;plusmn pm PlusMinus;HTML-MathML; # Sm (±) PLUS-MINUS SIGN
00B2;N;sup2;HTML-MathML; # No (²) SUPERSCRIPT TWO
00B3;N;sup3;HTML-MathML; # No (³) SUPERSCRIPT THREE
00B4;N;acute DiacriticalAcute;HTML-MathML;Alias for 0301 # Sk (´) ACUTE ACCENT
00B5;N;micro;HTML-MathML; # Ll (µ) MICRO SIGN
00B6;N;para;HTML-MathML;(paragraph sign) # Po (¶) PILCROW SIGN
00B7;B;middot centerdot CenterDot;HTML-MathML;/centerdot # Po (·) MIDDLE DOT
00B9;N;sup1;HTML-MathML; # No (¹) SUPERSCRIPT ONE
00BC;N;frac14;HTML-MathML; # No (¼) VULGAR FRACTION ONE QUARTER
00BD;N;frac12 half;HTML-MathML; # No (½) VULGAR FRACTION ONE HALF
00BE;N;frac34;HTML-MathML; # No (¾) VULGAR FRACTION THREE QUARTERS
00BF;P;iquest;HTML-MathML; # Po (¿) INVERTED QUESTION MARK
00D7;B;times;HTML-MathML; # Sm (×) MULTIPLICATION SIGN
00F7;B;divide div;HTML-MathML; # Sm (÷) DIVISION SIGN
0131;A;imath inodot;HTML-MathML; # Ll (ı) LATIN SMALL LETTER DOTLESS I
0237;A;jmath;HTML-MathML; # Ll (ȷ) LATIN SMALL LETTER DOTLESS J
02C6;D;circ;HTML-MathML;Alias for 0302 # Lm (ˆ) MODIFIER LETTER CIRCUMFLEX ACCENT
02C7;D;caron Hacek;HTML-MathML;Alias for 030C # Lm (ˇ) CARON
02D8;D;breve Breve;HTML-MathML;Alias for 0306 # Sk (˘) BREVE
02D9;D;dot DiacriticalDot;HTML-MathML;Alias for 0307 # Sk (˙) DOT ABOVE
02DA;D;ring;HTML-MathML;Alias for 030A # Sk (˚) RING ABOVE
02DC;D;tilde DiacriticalTilde;HTML-MathML;Alias for 0303 # Sk (˜) SMALL TILDE
0300;D;;;MathML prefers 0060 # Mn (̀) COMBINING GRAVE ACCENT
0301;D;;;MathML prefers 00B4 # Mn (́) COMBINING ACUTE ACCENT
0302;D;;;MathML prefers 02C6 # Mn (̂) COMBINING CIRCUMFLEX ACCENT
0303;D;;;MathML prefers 02DC # Mn (̃) COMBINING TILDE
0304;D;;;MathML prefers 00AF # Mn (̄) COMBINING MACRON
0305;D;;; # Mn (̅) COMBINING OVERLINE
0306;D;;;MathML prefers 02D8 # Mn (̆) COMBINING BREVE
0307;D;;;MathML prefers 02D9 # Mn (̇) COMBINING DOT ABOVE
0308;D;;;MathML prefers 00A8 # Mn (̈) COMBINING DIAERESIS
030A;D;;;MathML prefers 02DA # Mn (̊) COMBINING RING ABOVE
030C;D;;;MathML prefers 02C7 # Mn (̌) COMBINING CARON
0311;D;DownBreve;HTML-MathML; # Mn (̑) COMBINING INVERTED BREVE
0323;D;;; # Mn (̣) COMBINING DOT BELOW
032C;D;;; # Mn (̬) COMBINING CARON BELOW
032D;D;;; # Mn (̭) COMBINING CIRCUMFLEX ACCENT BELOW
032E;D;;; # Mn (̮) COMBINING BREVE BELOW
032F;D;;; # Mn (̯) COMBINING INVERTED BREVE BELOW
0330;D;;; # Mn (̰) COMBINING TILDE BELOW
0331;D;;; # Mn (̱) COMBINING MACRON BELOW
0332;D;;; # Mn (̲) COMBINING LOW LINE
0333;D;;; # Mn (̳) COMBINING DOUBLE LOW LINE
0338;D;;;negation slash # Mn (̸) COMBINING LONG SOLIDUS OVERLAY
033A;D;;; # Mn (̺) COMBINING INVERTED BRIDGE BELOW
033F;D;;; # Mn (̿) COMBINING DOUBLE OVERLINE
0346;D;;; # Mn (͆) COMBINING BRIDGE ABOVE
0391;A;Alpha;HTML-MathML; # Lu (Α) GREEK CAPITAL LETTER ALPHA
0392;A;Beta;HTML-MathML; # Lu (Β) GREEK CAPITAL LETTER BETA
0393;A;Gamma;HTML-MathML; # Lu (Γ) GREEK CAPITAL LETTER GAMMA
0394;A;Delta;HTML-MathML; # Lu (Δ) GREEK CAPITAL LETTER DELTA
0395;A;Epsilon;HTML-MathML; # Lu (Ε) GREEK CAPITAL LETTER EPSILON
0396;A;Zeta;HTML-MathML; # Lu (Ζ) GREEK CAPITAL LETTER ZETA
0397;A;Eta;HTML-MathML; # Lu (Η) GREEK CAPITAL LETTER ETA
0398;A;Theta;HTML-MathML; # Lu (Θ) GREEK CAPITAL LETTER THETA
0399;A;Iota;HTML-MathML; # Lu (Ι) GREEK CAPITAL LETTER IOTA
039A;A;Kappa;HTML-MathML; # Lu (Κ) GREEK CAPITAL LETTER KAPPA
039B;A;Lambda;HTML-MathML; # Lu (Λ) GREEK CAPITAL LETTER LAMDA
039C;A;Mu;HTML-MathML; # Lu (Μ) GREEK CAPITAL LETTER MU
039D;A;Nu;HTML-MathML; # Lu (Ν) GREEK CAPITAL LETTER NU
039E;A;Xi;HTML-MathML; # Lu (Ξ) GREEK CAPITAL LETTER XI
039F;A;Omicron;HTML-MathML; # Lu (Ο) GREEK CAPITAL LETTER OMICRON
03A0;A;Pi;HTML-MathML; # Lu (Π) GREEK CAPITAL LETTER PI
03A1;A;Rho;HTML-MathML; # Lu (Ρ) GREEK CAPITAL LETTER RHO
03A3;A;Sigma;HTML-MathML; # Lu (Σ) GREEK CAPITAL LETTER SIGMA
03A4;A;Tau;HTML-MathML; # Lu (Τ) GREEK CAPITAL LETTER TAU
03A6;A;Phi;HTML-MathML; # Lu (Φ) GREEK CAPITAL LETTER PHI
03A7;A;Chi;HTML-MathML; # Lu (Χ) GREEK CAPITAL LETTER CHI
03A8;A;Psi;HTML-MathML; # Lu (Ψ) GREEK CAPITAL LETTER PSI
03A9;A;Omega ohm;HTML-MathML; # Lu (Ω) GREEK CAPITAL LETTER OMEGA
03B1;A;alpha;HTML-MathML; # Ll (α) GREEK SMALL LETTER ALPHA
03B2;A;beta;HTML-MathML; # Ll (β) GREEK SMALL LETTER BETA
03B3;A;gamma;HTML-MathML; # Ll (γ) GREEK SMALL LETTER GAMMA
03B4;A;delta;HTML-MathML; # Ll (δ) GREEK SMALL LETTER DELTA
03B5;A;epsi epsilon;HTML-MathML;rounded # Ll (ε) GREEK SMALL LETTER EPSILON
03B6;A;zeta;HTML-MathML; # Ll (ζ) GREEK SMALL LETTER ZETA
03B7;A;eta;HTML-MathML; # Ll (η) GREEK SMALL LETTER ETA
03B8;A;theta;HTML-MathML;straight theta # Ll (θ) GREEK SMALL LETTER THETA
03B9;A;iota;HTML-MathML; # Ll (ι) GREEK SMALL LETTER IOTA
03BA;A;kappa;HTML-MathML; # Ll (κ) GREEK SMALL LETTER KAPPA
03BB;A;lambda;HTML-MathML; # Ll (λ) GREEK SMALL LETTER LAMDA
03BC;A;mu;HTML-MathML; # Ll (μ) GREEK SMALL LETTER MU
03BD;A;nu;HTML-MathML; # Ll (ν) GREEK SMALL LETTER NU
03BE;A;xi;HTML-MathML; # Ll (ξ) GREEK SMALL LETTER XI
03BF;A;omicron;HTML-MathML; # Ll (ο) GREEK SMALL LETTER OMICRON
03C0;A;pi;HTML-MathML; # Ll (π) GREEK SMALL LETTER PI
03C1;A;rho;HTML-MathML; # Ll (ρ) GREEK SMALL LETTER RHO
03C3;A;sigma;HTML-MathML; # Ll (σ) GREEK SMALL LETTER SIGMA
03C4;A;tau;HTML-MathML; # Ll (τ) GREEK SMALL LETTER TAU
03C5;A;upsi upsilon;HTML-MathML; # Ll (υ) GREEK SMALL LETTER UPSILON
03C6;A;phi;HTML-MathML;\varphi # Ll (φ) GREEK SMALL LETTER PHI
03C7;A;chi;HTML-MathML; # Ll (χ) GREEK SMALL LETTER CHI
03C8;A;psi;HTML-MathML; # Ll (ψ) GREEK SMALL LETTER PSI
03C9;A;omega;HTML-MathML; # Ll (ω) GREEK SMALL LETTER OMEGA
03D0;A;;; # Ll (ϐ) GREEK BETA SYMBOL
03D1;A;thetav vartheta thetasym;HTML-MathML;\vartheta - curly or open small theta # Ll (ϑ) GREEK THETA SYMBOL
03D2;A;Upsi upsih;HTML-MathML; # Lu (ϒ) GREEK UPSILON WITH HOOK SYMBOL
03D5;A;straightphi phiv varphi;HTML-MathML; # Ll (ϕ) GREEK PHI SYMBOL
03D6;A;piv varpi;HTML-MathML;rounded (pomega) # Ll (ϖ) GREEK PI SYMBOL
03D8;N;;; # Lu (Ϙ) GREEK LETTER ARCHAIC KOPPA
03D9;N;;; # Ll (ϙ) GREEK SMALL LETTER ARCHAIC KOPPA
03DA;A;;;capital # Lu (Ϛ) GREEK LETTER STIGMA
03DB;A;;; # Ll (ϛ) GREEK SMALL LETTER STIGMA
03DC;A;Gammad;HTML-MathML;capital # Lu (Ϝ) GREEK LETTER DIGAMMA
03DD;A;gammad digamma;HTML-MathML;old # Ll (ϝ) GREEK SMALL LETTER DIGAMMA
03E0;A;;;capital # Lu (Ϡ) GREEK LETTER SAMPI
03E1;A;;; # Ll (ϡ) GREEK SMALL LETTER SAMPI
03F0;A;kappav varkappa;HTML-MathML;rounded # Ll (ϰ) GREEK KAPPA SYMBOL
03F1;A;rhov varrho;HTML-MathML;rounded # Ll (ϱ) GREEK RHO SYMBOL
03F4;A;;; # Lu (ϴ) GREEK CAPITAL THETA SYMBOL
03F5;A;epsiv straightepsilon varepsilon;HTML-MathML;straight # Ll (ϵ) GREEK LUNATE EPSILON SYMBOL
03F6;N;bepsi backepsilon;HTML-MathML; # Sm (϶) GREEK REVERSED LUNATE EPSILON SYMBOL
0428;A;SHcy;HTML-MathML; # Lu (Ш) CYRILLIC CAPITAL LETTER SHA
0606;L;;; # Sm (؆) ARABIC-INDIC CUBE ROOT
0607;L;;; # Sm (؇) ARABIC-INDIC FOURTH ROOT
0608;A;;; # Sm (؈) ARABIC RAY
0627;A;;; # Lo (ا) ARABIC LETTER ALEF
0628;A;;; # Lo (ب) ARABIC LETTER BEH
0629;A;;; # Lo (ة) ARABIC LETTER TEH MARBUTA
062A;A;;; # Lo (ت) ARABIC LETTER TEH
062B;A;;; # Lo (ث) ARABIC LETTER THEH
062C;A;;; # Lo (ج) ARABIC LETTER JEEM
062D;A;;; # Lo (ح) ARABIC LETTER HAH
062E;A;;; # Lo (خ) ARABIC LETTER KHAH
062F;A;;; # Lo (د) ARABIC LETTER DAL
0630;A;;; # Lo (ذ) ARABIC LETTER THAL
0631;A;;; # Lo (ر) ARABIC LETTER REH
0632;A;;; # Lo (ز) ARABIC LETTER ZAIN
0633;A;;; # Lo (س) ARABIC LETTER SEEN
0634;A;;; # Lo (ش) ARABIC LETTER SHEEN
0635;A;;; # Lo (ص) ARABIC LETTER SAD
0636;A;;; # Lo (ض) ARABIC LETTER DAD
0637;A;;; # Lo (ط) ARABIC LETTER TAH
0638;A;;; # Lo (ظ) ARABIC LETTER ZAH
0639;A;;; # Lo (ع) ARABIC LETTER AIN
063A;A;;; # Lo (غ) ARABIC LETTER GHAIN
1ACF;D;;; # Mn (᫏) COMBINING DOUBLE CARON
1AD0;D;;; # Mn (᫐) COMBINING VERTICAL-LINE-ACUTE
1AD1;D;;; # Mn (᫑) COMBINING GRAVE-VERTICAL-LINE
1AD2;D;;; # Mn (᫒) COMBINING VERTICAL-LINE-GRAVE
1AD3;D;;; # Mn (᫓) COMBINING ACUTE-VERTICAL-LINE
1AD4;D;;; # Mn (᫔) COMBINING VERTICAL-LINE-MACRON
1AD5;D;;; # Mn (᫕) COMBINING MACRON-VERTICAL-LINE
1AD6;D;;; # Mn (᫖) COMBINING VERTICAL-LINE-ACUTE-GRAVE
1AD7;D;;; # Mn (᫗) COMBINING VERTICAL-LINE-GRAVE-ACUTE
1AD8;D;;; # Mn (᫘) COMBINING MACRON-ACUTE-GRAVE
1AD9;D;;; # Mn (᫙) COMBINING SHARP SIGN
1ADA;D;;; # Mn (᫚) COMBINING FLAT SIGN
1ADB;D;;; # Mn (᫛) COMBINING DOWN TACK ABOVE
1ADC;D;;; # Mn (᫜) COMBINING DIAERESIS WITH RAISED LEFT DOT
1ADD;D;;; # Mn (᫝) COMBINING DOT-AND-RING BELOW
1AE0;D;;; # Mn (᫠) COMBINING LEFT TACK ABOVE
1AE1;D;;; # Mn (᫡) COMBINING RIGHT TACK ABOVE
1AE2;D;;; # Mn (᫢) COMBINING MINUS SIGN ABOVE
1AE3;D;;; # Mn (᫣) COMBINING INVERTED BRIDGE ABOVE
1AE4;D;;; # Mn (᫤) COMBINING SQUARE ABOVE
1AE5;D;;; # Mn (᫥) COMBINING SEAGULL ABOVE
1AE6;D;;; # Mn (᫦) COMBINING DOUBLE ARCH BELOW
1AE7;D;;; # Mn (᫧) COMBINING DOUBLE ARCH ABOVE
1AE8;D;;; # Mn (᫨) COMBINING EQUALS SIGN ABOVE
1AE9;D;;; # Mn (᫩) COMBINING LEFT ANGLE CENTRED ABOVE
1AEA;D;;; # Mn (᫪) COMBINING UPWARDS ARROW ABOVE
1AEB;D;;; # Mn (᫫) COMBINING DOUBLE RIGHTWARDS ARROW ABOVE
2000;S;;; # Zs ( ) EN QUAD
2001;S;;; # Zs ( ) EM QUAD
2002;S;ensp;HTML-MathML;(half an em) # Zs ( ) EN SPACE
2003;S;emsp;HTML-MathML; # Zs ( ) EM SPACE
2004;S;emsp13;HTML-MathML; # Zs ( ) THREE-PER-EM SPACE
2005;S;emsp14;HTML-MathML;mid space # Zs ( ) FOUR-PER-EM SPACE
2006;S;;; # Zs ( ) SIX-PER-EM SPACE
2007;S;numsp;HTML-MathML; # Zs ( ) FIGURE SPACE
2009;S;thinsp ThinSpace;HTML-MathML; # Zs ( ) THIN SPACE
200A;S;hairsp VeryThinSpace;HTML-MathML; # Zs ( ) HAIR SPACE
200B;S;ZeroWidthSpace NegativeVeryThinSpace NegativeThinSpace NegativeMediumSpace NegativeThickSpace;HTML-MathML; # Cf (​) ZERO WIDTH SPACE
2010;P;hyphen dash;HTML-MathML;(true graphic) # Pd (‐) HYPHEN
2012;P;;; # Pd (‒) FIGURE DASH
2013;P;ndash;HTML-MathML; # Pd (–) EN DASH
2014;P;mdash;HTML-MathML; # Pd (—) EM DASH
2016;F;Verbar Vert;HTML-MathML; # Po (‖) DOUBLE VERTICAL LINE
2020;R;dagger;HTML-MathML; # Po (†) DAGGER
2021;R;Dagger ddagger;HTML-MathML; # Po (‡) DOUBLE DAGGER
2022;B;bull bullet;HTML-MathML;/bullet round bullet, filled # Po (•) BULLET
2026;N;hellip mldr;HTML-MathML; # Po (…) HORIZONTAL ELLIPSIS
2032;N;prime;HTML-MathML;minute # Po (′) PRIME
2033;N;Prime;HTML-MathML;second # Po (″) DOUBLE PRIME
2034;N;tprime;HTML-MathML; # Po (‴) TRIPLE PRIME
2035;N;bprime backprime;HTML-MathML; # Po (‵) REVERSED PRIME
2036;N;;; # Po (‶) REVERSED DOUBLE PRIME
2037;N;;; # Po (‷) REVERSED TRIPLE PRIME
203B;N;;;Japanese kome # Po (※) REFERENCE MARK
203C;N;;;Factorial spacing # Po (‼) DOUBLE EXCLAMATION MARK
2040;B;;;z notation sequence concatenation # Pc (⁀) CHARACTER TIE
2044;B;frasl;HTML-MathML;stretchy # Sm (⁄) FRACTION SLASH
204E;B;;; # Po (⁎) LOW ASTERISK
204F;R;bsemi;HTML-MathML; # Po (⁏) REVERSED SEMICOLON
2050;R;;; # Po (⁐) CLOSE UP
2051;N;;; # Po (⁑) TWO ASTERISKS ALIGNED VERTICALLY
2052;N;;; # Sm (⁒) COMMERCIAL MINUS SIGN
2057;N;qprime;HTML-MathML; # Po (⁗) QUADRUPLE PRIME
205F;S;MediumSpace;HTML-MathML; # Zs ( ) MEDIUM MATHEMATICAL SPACE
2061;B;ApplyFunction af;HTML-MathML; # Cf (⁡) FUNCTION APPLICATION
2062;B;InvisibleTimes it;HTML-MathML; # Cf (⁢) INVISIBLE TIMES
2063;P;InvisibleComma ic;HTML-MathML; # Cf (⁣) INVISIBLE SEPARATOR
2064;X;;; # Cf (⁤) INVISIBLE PLUS
207A;N;;;superscript operators # Sm (⁺) SUPERSCRIPT PLUS SIGN
207B;N;;;superscript operators # Sm (⁻) SUPERSCRIPT MINUS
207C;N;;;superscript operators # Sm (⁼) SUPERSCRIPT EQUALS SIGN
207D;N;;;superscript operators # Ps (⁽) SUPERSCRIPT LEFT PARENTHESIS
207E;N;;;superscript operators # Pe (⁾) SUPERSCRIPT RIGHT PARENTHESIS
208A;N;;;subscript operators # Sm (₊) SUBSCRIPT PLUS SIGN
