# MathClass-9.txt 
# Last revised 2007-05-07
#
# This is a classification of characters based on their usage in 
# mathematical notation.
#
# Copyright (c) 1991-2007 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time. 
#
# This file is *NOT* formally part of the Unicode Character
# Database at this time.
#
# The file consists of 2 fields. The number and type of fields in
# this file may change in future versions.
#
# The character encoding of the file is UTF-8
#
# 0: code point or range
#       The code point field is not unique - where ISO entity sets overlap
#       the same code point may occur several times with different mappings
# 1: class
#    In this version of the file the class can be one of:
#        N - Normal      - Includes all digits and symbols requiring only one form
#        A - Alphabetic  - Alphabetic characters
#        B - Binary      - Binary operators
#        C - Closing     - Paired with opening delimiter
#        D - Diacritic
#        F - Fence       - Unpaired delimiter
#        G - Glyph_Part  - Piece of large operator
#        I - Invisible   - Invisible Operator
#        L - Large       - N-Ary or Large operator, often takes limits
#        O - Opening     - Paired with closing delimiter
#        P - Punctuation
#        R - Relation    - Includes arrows
#        S - Spane       - Spaces
#        U - Unary       - Unary operator
#        V - UnBin       - Unary or binary orperatos
#        X - Special     - any characters not covered by other classes
#                          including characters deprecated for math usage
#
# These fields are followed by # and the Unicode 'name' (or name range), in all
# caps. Unicode 'names' and name ranges are provided for ease of reference only.
# They are not normative and may not always match the official character names.
#
# Fields are delimited by ";". Spaces adjacent to the delimiter, or the "#" are
# not significant. Future versions of this file may use different amounts of
# whitespace.
#
# For more information see revision 9 or later of UTR#25
# --------------------------------------
# code point;class # [UTF-8] CHARACTER NAME
228F..2292;	R 	# ⊏..⊒	SQUARE IMAGE OF..ORIGINAL OF OR EQUAL TO
2293..22A1;	B 	# ⊓..⊡	SQUARE CAP..SQUARED DOT OPERATOR
22A2..22A3;	R 	# ⊢..⊣	RIGHT TACK..LEFT TACK
22A4..22A5;	N 	# ⊤..⊥	DOWN TACK..UP TACK
22A6..22B8;	R 	# ⊦..⊸	ASSERTION..MULTIMAP
22B9..22BD;	B 	# ⊹..⊽	HERMITIAN CONJUGATE MATRIX..NOR
22BE..22BF;	N 	# ⊾..⊿	RIGHT ANGLE WITH ARC..TRIANGLE
22C0..22C3;	L 	# ⋀..⋃	N-ARY LOGICAL AND..UNION
22C4..22C7;	B 	# ⋄..⋇	DIAMOND OPERATOR..DIVISION TIMES
22C8;	R 	# ⋈	BOWTIE
22C9..22CC;	B 	# ⋉..⋌	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT..RIGHT SEMIDIRECT PRODUCT
22CD;	R 	# ⋍	REVERSED TILDE EQUALS
22CE..22CF;	B 	# ⋎..⋏	CURLY LOGICAL OR..AND
22D0..22D1;	R 	# ⋐..⋑	DOUBLE SUBSET..SUPERSET
22D2..22D3;	B 	# ⋒..⋓	DOUBLE INTERSECTION..UNION
22D4..22FF;	R 	# ⋔..⋿	PITCHFORK..Z NOTATION BAG MEMBERSHIP
2300;	N 	# ⌀	DIAMETER SIGN
2302;	N 	# ⌂	HOUSE
2305..2306;	B 	# ⌅..⌆	PROJECTIVE..PERSPECTIVE
2308;	O 	# ⌈	LEFT CEILING
2309;	C 	# ⌉	RIGHT CEILING
230A;	O 	# ⌊	LEFT FLOOR
230B;	C 	# ⌋	RIGHT FLOOR
2310..2311;	N 	# ⌐..⌑	REVERSED NOT SIGN..SQUARE LOZENGE
2319;	N 	# ⌙	TURNED NOT SIGN
231C;	O 	# ⌜	TOP LEFT CORNER
231D;	C 	# ⌝	TOP RIGHT CORNER
231E;	O 	# ⌞	BOTTOM LEFT CORNER
231F;	C 	# ⌟	BOTTOM RIGHT CORNER
2320..2321;	G 	# ⌠..⌡	TOP HALF INTEGRAL..BOTTOM HALF INTEGRAL
2322..2323;	R 	# ⌢..⌣	FROWN..SMILE
2336;	N 	# ⌶	APL FUNCTIONAL SYMBOL I-BEAM
233D;	B 	# ⌽	APL FUNCTIONAL SYMBOL CIRCLE STILE
233F;	R 	# ⌿	APL FUNCTIONAL SYMBOL SLASH BAR
2394;	N 	# ⎔	SOFTWARE-FUNCTION SYMBOL
239B..23B3;	G 	# ⎛..⎳	LEFT PARENTHESIS UPPER HOOK..SUMMATION BOTTOM
23B4..23B6;	N 	# ⎴..⎶	TOP SQUARE BRACKET..BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET
23B7;	G 	# ⎷	RADICAL SYMBOL BOTTOM
23D0;	G 	# ⏐	VERTICAL LINE EXTENSION
23DC..23E7;	N 	# ⏜..⏧	TOP PARENTHESIS..ELECTRICAL INTERSECTION
24C8;	N 	# Ⓢ	CIRCLED LATIN CAPITAL LETTER S
25A0..25A1;	N 	# ■..□	BLACK SQUARE..WHITE SQUARE
25AA..25AB;	N 	# ▪..▫	BLACK SMALL SQUARE..WHITE SMALL SQUARE
25AD..25AF;	N 	# ▭..▯	WHITE RECTANGLE..VERTICAL RECTANGLE
25B1;	N 	# ▱	WHITE PARALLELOGRAM
25B2..25B9;	B 	# ▲..▹	BLACK UP-POINTING TRIANGLE..WHITE RIGHT-POINTING SMALL TRIANGLE
25BC..25C5;	B 	# ▼..◅	BLACK DOWN-POINTING TRIANGLE..WHITE LEFT-POINTING POINTER
25C6..25C9;	N 	# ◆..◉	BLACK DIAMOND..FISHEYE
25CA..25CB;	B 	# ◊..○	LOZENGE..WHITE CIRCLE
25CE..25CF;	N 	# ◎..●	BULLSEYE..BLACK CIRCLE
25D6..25D7;	N 	# ◖..◗	LEFT HALF BLACK CIRCLE..RIGHT HALF BLACK CIRCLE
25E2..25E5;	N 	# ◢..◥	BLACK LOWER RIGHT TRIANGLE..UPPER RIGHT TRIANGLE
25E6;	B 	# ◦	WHITE BULLET
25EB..25EC;	B 	# ◫..◬	WHITE SQUARE WITH VERTICAL BISECTING LINE..UP-POINTING TRIANGLE WITH DOT
25EF;	N 	# ◯	LARGE CIRCLE
25F8..25FF;	B 	# ◸..◿	UPPER LEFT TRIANGLE..LOWER RIGHT TRIANGLE
2605..2606;	B 	# ★..☆	BLACK STAR..WHITE STAR
2609;	N 	# ☉	SUN
260C;	N 	# ☌	CONJUNCTION
2612;	N 	# ☒	BALLOT BOX WITH X
263D..2644;	N 	# ☽..♄	FIRST QUARTER MOON..SATURN
2646..2649;	N 	# ♆..♉	NEPTUNE..TAURUS
2660..2667;	N 	# ♠..♧	BLACK SPADE SUIT..WHITE CLUB SUIT
2669;	N 	# ♩	QUARTER NOTE
266D..266F;	N 	# ♭..♯	MUSIC FLAT SIGN..SHARP SIGN
2680..2689;	N 	# ⚀..⚉	DIE FACE-1..BLACK CIRCLE WITH TWO WHITE DOTS
26AA..26AC;	N 	# ⚪..⚬	MEDIUM WHITE CIRCLE..SMALL WHITE CIRCLE
26B2;	N 	# ⚲	NEUTER
2713;	N 	# ✓	CHECK MARK
2720;	N 	# ✠	MALTESE CROSS
272A;	N 	# ✪	CIRCLED WHITE STAR
2736;	N 	# ✶	SIX POINTED BLACK STAR
2772;	O 	# ❲	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773;	C 	# ❳	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
27C0..27C1;	N 	# ⟀..⟁	THREE DIMENSIONAL ANGLE..WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE
27C2..27C9;	R 	# ⟂..⟉	PERPENDICULAR..SUPERSET PRECEDING SOLIDUS
27D0;	N 	# ⟐	WHITE DIAMOND WITH CENTRED DOT
27D1;	B 	# ⟑	AND WITH DOT
27D2..27D4;	R 	# ⟒..⟔	ELEMENT OF OPENING UPWARDS..UPPER LEFT CORNER WITH DOT
27D5..27D9;	L 	# ⟕..⟙	LEFT OUTER JOIN..LARGE DOWN TACK
27DA..27DF;	R 	# ⟚..⟟	LEFT AND RIGHT DOUBLE TURNSTILE..UP TACK WITH CIRCLE ABOVE
27E0..27E5;	B 	# ⟠..⟥	LOZENGE DIVIDED BY HORIZONTAL RULE..WHITE SQUARE WITH RIGHTWARDS TICK
27E6;	O 	# ⟦	MATHEMATICAL LEFT WHITE SQUARE BRACKET
27E7;	C 	# ⟧	MATHEMATICAL RIGHT WHITE SQUARE BRACKET
27E8;	O 	# ⟨	MATHEMATICAL LEFT ANGLE BRACKET
27E9;	C 	# ⟩	MATHEMATICAL RIGHT ANGLE BRACKET
27EA;	O 	# ⟪	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
27EB;	C 	# ⟫	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
27F0..27FF;	R 	# ⟰..⟿	UPWARDS QUADRUPLE ARROW..LONG RIGHTWARDS SQUIGGLE ARROW
2900..297F;	R 	# ⤀..⥿	RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE..DOWN FISH TAIL
2980;	F 	# ⦀	TRIPLE VERTICAL BAR DELIMITER
2981;	N 	# ⦁	Z NOTATION SPOT
2982;	F 	# ⦂	Z NOTATION TYPE COLON
2983;	O 	# ⦃	LEFT WHITE CURLY BRACKET
2984;	C 	# ⦄	RIGHT WHITE CURLY BRACKET
2985;	O 	# ⦅	LEFT WHITE PARENTHESIS
2986;	C 	# ⦆	RIGHT WHITE PARENTHESIS
2987;	O 	# ⦇	Z NOTATION LEFT IMAGE BRACKET
2988;	C 	# ⦈	Z NOTATION RIGHT IMAGE BRACKET
2989;	O 	# ⦉	Z NOTATION LEFT BINDING BRACKET
298A;	C 	# ⦊	Z NOTATION RIGHT BINDING BRACKET
298B;	O 	# ⦋	LEFT SQUARE BRACKET WITH UNDERBAR
298C;	C 	# ⦌	RIGHT SQUARE BRACKET WITH UNDERBAR
