4E2A	9FC4
4E2C	8BD4
4E2F	8C72
4E36	C6BF
4E37	8BF9
4E3D	8946
4E3F	C6C0
4E49	FAE5
4E5A	C87B
4E5B	8BC6
4E6A	9C57
4E78	9AFB
4E80	89D0
4E81	89CF
4E85	C6C1
4E87	89D1
4E89	89E2
4E98	927E
4E9A	9DBA
4EA0	C6C2
4EA3	8C6F
4EB7	FBF8
4EBB	8BC7
4EBC	926B
4EBF	89D2
4ECE	9FCF
4EEA	9DA9
4EEB	89D3
4EEE	99E2
4EF8	9267
4F03	92A4
4F17	8C73
4F1A	894E
4F28	894F
4F29	9278
4F32	91B6
4F37	89D4
4F39	9FD2
4F42	92A7
4F45	95A2
4F4B	926E
4F72	96EA
4F8A	926F
4FA2	92A3
4FA8	8950
4FAB	FA57
4FB0	9866
4FB4	8CF8
4FBD	89D6
4FC8	98B2
4FCC	92AB
4FE4	96DE
4FE5	92AC
4FF0	8C70
4FF2	9F6E
4FF9	8EF2
4FFD	9F6C
5003	89D8
5008	FA59
502E	92A8
5034	9163
503B	8C40
5056	9F73
5058	92AD
5066	9BE9
506C	92A9
5081	92AA
5088	89D9
5090	FD56
50A6	9FA8
50BC	8C71
50CD	92A1
50D0	90E3
50D9	A0A6
50DF	94AB
50E1	FC72
50F4	97C4
50FC	92AE
5101	FA67
510D	92A2
510E	FA69
512B	9268
5156	8951
5160	FA6F
516A	FA71
5174	8952
5179	945A
5182	C6C3
5186	89DD
5188	C8A2
5196	C6C4
519A	9E52
519C	8953
51A7	9E55
51A8	92BA
51AB	C6C5
51AE	8C5B
51B2	FA7D
51B3	FAA8
51B4	9A68
51B5	FA47
51B8	FA7E
51C3	92BB
51C7	FDB6
51C9	FAA2
51CF	FAA3
51D1	FAA4
51D2	9BB4
51D3	FAA6
51DB	89DF
51DF	FDDB
51E2	FAA9
51E4	8954
51ED	FAAB
51F4	FC7A
51FC	89E0
51FE	9F4F
5202	C87D
5205	89E1
520B	FAB0
521F	9FCD
5220	A0E7
5226	FAB1
5227	89A6
5234	9EFA
523C	FAB2
524F	87BC
5257	FAB4
5259	92C4
5260	9F6F
5268	8BB0
5273	9FAC
5279	89E3
528F	9BD3
5290	89E4
5294	FAB5
529A	9FD5
52A1	8955
52A4	92C5
52A8	8956
52B5	FAB3
52B9	FAB6
52C5	FAB7
52CC	9EDC
52D0	FBC4
52D1	9F71
52E0	FABA
52E1	92C7
52F9	C6C6
5301	9A4C
5324	8C68
5327	89E5
532C	9F7D
5332	A0A9
5333	FAC4
5338	C6C7
533B	8957
5342	FAAA
534E	8958
535D	8BE3
535F	8B61
5364	9AF1
5367	9EB7
5369	C6C8
536D	FAD1
5374	FAD2
537D	9EBA
537E	FAD4
5393	FAD9
53A0	FADB
53A2	9CE0
53A6	FBF7
53A8	FBFA
53A9	89E7
53AA	A07A
53AB	FADC
53AE	FADD
53B0	89E9
53B6	C6C9
53C1	FAE2
53C2	89EB
53C5	FAE3
53CC	90C8
53D0	92DA
53D1	8959
53D2	9CF5
53D8	895A
53D9	FAE7
53DA	9FA2
53E0	FAEA
53F6	FAED
53F7	8FAD
53FE	FB59
5413	FAEF
5414	96EF
5416	9DEC
541A	9DCA
5421	FD6D
5423	89EC
542F	FB44
5432	9DE2
5434	8C75
544B	9EC0
544C	87C5
544D	9E56
5469	9F79
546A	9AC7
546D	FAF4
5485	98A1
548F	FAF8
5493	89F0
5494	9E47
5497	9DF7
549C	9FD3
549E	9ACA
54A3	89F1
