# Emoji Data for UTR #52
#
# File:    emoji-tags.txt
# Version: 3.0
# Date:    2016-02-07
#
# Copyright (c) 2015 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation and usage, see http://www.unicode.org/reports/tr52/

# Format: 
# codepoint(s) ; property # version (character(s)) name 

# ================================================
# All omitted code points have Emoji_Flag_Base=No
# @missing: 0000..10FFFF  ; Emoji_Flag_Base ; No

1F3F3 ;	Emoji_Flag_Base	# 7.0 (🏳) WAVING WHITE FLAG
# total:	1
# uset: 	[🏳]

# All omitted code points have Emoji_Gender_Base=No
# @missing: 0000..10FFFF  ; Emoji_Gender_Base ; No

26F9 ;	Emoji_Gender_Base	# 5.2 (⛹) PERSON WITH BALL
1F3C3 ;	Emoji_Gender_Base	# 6.0 (🏃) RUNNER
1F3C4 ;	Emoji_Gender_Base	# 6.0 (🏄) SURFER
1F3CA ;	Emoji_Gender_Base	# 6.0 (🏊) SWIMMER
1F3CB ;	Emoji_Gender_Base	# 7.0 (🏋) WEIGHT LIFTER
1F464 ;	Emoji_Gender_Base	# 6.0 (👤) BUST IN SILHOUETTE
1F465 ;	Emoji_Gender_Base	# 6.0 (👥) BUSTS IN SILHOUETTE
1F46E ;	Emoji_Gender_Base	# 6.0 (👮) POLICE OFFICER
1F46F ;	Emoji_Gender_Base	# 6.0 (👯) WOMAN WITH BUNNY EARS
1F470 ;	Emoji_Gender_Base	# 6.0 (👰) BRIDE WITH VEIL
1F471 ;	Emoji_Gender_Base	# 6.0 (👱) PERSON WITH BLOND HAIR
1F472 ;	Emoji_Gender_Base	# 6.0 (👲) MAN WITH GUA PI MAO
1F473 ;	Emoji_Gender_Base	# 6.0 (👳) MAN WITH TURBAN
1F481 ;	Emoji_Gender_Base	# 6.0 (💁) INFORMATION DESK PERSON
1F482 ;	Emoji_Gender_Base	# 6.0 (💂) GUARDSMAN
1F486 ;	Emoji_Gender_Base	# 6.0 (💆) FACE MASSAGE
1F487 ;	Emoji_Gender_Base	# 6.0 (💇) HAIRCUT
1F574 ;	Emoji_Gender_Base	# 7.0 (🕴) MAN IN BUSINESS SUIT LEVITATING
1F575 ;	Emoji_Gender_Base	# 7.0 (🕵) SLEUTH OR SPY
1F5E3 ;	Emoji_Gender_Base	# 7.0 (🗣) SPEAKING HEAD IN SILHOUETTE
1F645 ;	Emoji_Gender_Base	# 6.0 (🙅) FACE WITH NO GOOD GESTURE
