# Source File for IDN Confusables
# File: formatted-arabic.txt
# Version: 3.0-draft
# Generated: 2012-05-07, 05:21:19 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
002A ;	066D	#* ( * ~ ‎٭‎ ) ASTERISK ~ ARABIC FIVE POINTED STAR

002E 002E 066A ;	060A	#* ( ..٪ ~ ؊ ) FULL STOP, FULL STOP, ARABIC PERCENT SIGN ~ ARABIC-INDIC PER TEN THOUSAND SIGN

002E 066A ;	0609	#* ( .٪ ~ ؉ ) FULL STOP, ARABIC PERCENT SIGN ~ ARABIC-INDIC PER MILLE SIGN

0056 ;	0667	# ( V ~ ‎٧‎ ) LATIN CAPITAL LETTER V ~ ARABIC-INDIC DIGIT SEVEN

005F ;	0640	# ( _ ~ ‎ـ‎ ) LOW LINE ~ ARABIC TATWEEL

006C ;	0661	# ( l ~ ‎١‎ ) LATIN SMALL LETTER L ~ ARABIC-INDIC DIGIT ONE

00A0 0348 ;	FBBC	#* (  ͈ ~ ‎﮼‎ ) NO-BREAK SPACE, COMBINING DOUBLE VERTICAL LINE BELOW ~ ARABIC SYMBOL DOUBLE VERTICAL BAR BELOW

00A0 0615 ;	FBC0	#* (  ؕ ~ ‎﯀‎ ) NO-BREAK SPACE, ARABIC SMALL HIGH TAH ~ ARABIC SYMBOL SMALL TAH ABOVE

00A0 0654 ;	0674	#* (  ٔ ~ ‎ٴ‎ ) NO-BREAK SPACE, ARABIC HAMZA ABOVE ~ ARABIC LETTER HIGH HAMZA

00A0 06DB ;	FBB6	#* (  ۛ ~ ‎﮶‎ ) NO-BREAK SPACE, ARABIC SMALL HIGH THREE DOTS ~ ARABIC SYMBOL THREE DOTS ABOVE

00A0 06E7 ;	06E6	#* (  ۧ ~ ‎ۦ‎ ) NO-BREAK SPACE, ARABIC SMALL HIGH YEH ~ ARABIC SMALL YEH

00A0 06EA ;	FBBF	#* (  ۪ ~ ‎﮿‎ ) NO-BREAK SPACE, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC SYMBOL RING

00A0 08EA ;	FBB2	#* (  ࣪ ~ ‎﮲‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT ABOVE ~ ARABIC SYMBOL DOT ABOVE

00A0 08EA 08EA ;	FBBD	#* (  ࣪࣪ ~ ‎﮽‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT ABOVE, ARABIC TONE ONE DOT ABOVE ~ ARABIC SYMBOL TWO DOTS VERTICALLY ABOVE

00A0 08EA 08EB ;	FBB8	#* (  ࣪࣫ ~ ‎﮸‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS ABOVE

00A0 08EB ;	FBB4	#* (  ࣫ ~ ‎﮴‎ ) NO-BREAK SPACE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC SYMBOL TWO DOTS ABOVE

00A0 08EB 08EB ;	FBBA	#* (  ࣫࣫ ~ ‎﮺‎ ) NO-BREAK SPACE, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC SYMBOL FOUR DOTS ABOVE

00A0 08ED ;	FBB3	#* (  ࣭ ~ ‎﮳‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT BELOW ~ ARABIC SYMBOL DOT BELOW

00A0 08ED 08ED ;	FBBE	#* (  ࣭࣭ ~ ‎﮾‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC SYMBOL TWO DOTS VERTICALLY BELOW

00A0 08ED 08EE ;	FBB7	#* (  ࣭࣮ ~ ‎﮷‎ ) NO-BREAK SPACE, ARABIC TONE ONE DOT BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC SYMBOL THREE DOTS BELOW

00A0 08EE ;	FBB5	#* (  ࣮ ~ ‎﮵‎ ) NO-BREAK SPACE, ARABIC TONE TWO DOTS BELOW ~ ARABIC SYMBOL TWO DOTS BELOW

00A0 08EE 08ED ;	FBB9	#* (  ࣮࣭ ~ ‎﮹‎ ) NO-BREAK SPACE, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS BELOW

00A0 08EE 08EE ;	FBBB	#* (  ࣮࣮ ~ ‎﮻‎ ) NO-BREAK SPACE, ARABIC TONE TWO DOTS BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC SYMBOL FOUR DOTS BELOW

00A0 08F3 ;	06E5	#* (  ࣳ ~ ‎ۥ‎ ) NO-BREAK SPACE, ARABIC SMALL HIGH WAW ~ ARABIC SMALL WAW

00B7 ;	0660	# ( · ~ ‎٠‎ ) MIDDLE DOT ~ ARABIC-INDIC DIGIT ZERO

0301 ;	064E	# ( ́ ~ َ ) COMBINING ACUTE ACCENT ~ ARABIC FATHA

