U+1303D	;	𓀽	;	noble squatting with {flagellum}
U+1303E	;	𓀾	;	standing mummy
U+1303F	;	𓀿	;	lying mummy
U+13040	;	𓁀	;	mummy on bed
U+13041	;	𓁁	;	seated man holding stick
U+13042	;	𓁂	;	man holding {loaf on mat}
U+13043	;	𓁃	;	man applying hoe to ground
U+13044	;	𓁄	;	man threatening with stick
U+13045	;	𓁅	;	man sowing seeds
U+13046	;	𓁆	;	man looking over his shoulder
U+13047	;	𓁇	;	Asiatic
U+13048	;	𓁈	;	king on throne holding staff
U+13049	;	𓁉	;	man sitting on heels holding forward {cup}
U+1304A	;	𓁊	;	unknown
U+1304B	;	𓁋	;	man holding {sistrum}
U+1304C	;	𓁌	;	dwarf
U+1304D	;	𓁍	;	man holding up knife
U+1304E	;	𓁎	;	seated man with raised right arm and left arm hanging down
U+1304F	;	𓁏	;	seated man with raised arms
U+13050	;	𓁐	;	seated woman
U+13051	;	𓁑	;	pregnant woman
U+13052	;	𓁒	;	woman giving birth
U+13053	;	𓁓	;	combination of {woman giving birth} and {three skins tied together}
U+13054	;	𓁔	;	woman suckling child
U+13055	;	𓁕	;	woman suckling child (simplified)
U+13056	;	𓁖	;	woman on chair with child on lap
U+13057	;	𓁗	;	queen wearing diadem and holding flower
U+13058	;	𓁘	;	woman holding {lotus flower}
U+13059	;	𓁙	;	woman holding {sistrum}
U+1305A	;	𓁚	;	god with {sun with uraeus}
U+1305B	;	𓁛	;	god with head of falcon with sun on head and holding {sandle-strap}
U+1305C	;	𓁜	;	god with head of falcon with sun on head
U+1305D	;	𓁝	;	{god with head of falcon with sun on head} reversed
U+1305E	;	𓁞	;	{god with head of falcon with sun on head and holding {sandle-strap}} reversed
U+1305F	;	𓁟	;	god with head of ibis
U+13060	;	𓁠	;	god with head of ram
U+13061	;	𓁡	;	god with head of ram holding {sandle-strap}
U+13062	;	𓁢	;	god with head of jackal
U+13063	;	𓁣	;	god with head of Seth-animal
U+13064	;	𓁤	;	ithyphallic god with {two plumes}, uplifted arm and {flagellum}
U+13065	;	𓁥	;	goddess with sun and horns
U+13066	;	𓁦	;	goddess with feather on head
U+13067	;	𓁧	;	goddess with feather on head holding {sandle-strap}
U+13068	;	𓁨	;	god with arms supporting (the sky) and {palm branch} on head
U+13069	;	𓁩	;	god with {two plumes} and {sceptre}
U+1306A	;	𓁪	;	{god with {two plumes} and {sceptre}} reversed
U+1306B	;	𓁫	;	god with {two plumes} and {scimitar}
U+1306C	;	𓁬	;	{god with {two plumes} and {scimitar}} reversed
U+1306D	;	𓁭	;	god wearing {red crown} with {sandle-strap}
U+1306E	;	𓁮	;	god with head of falcon and {two plumes}
U+1306F	;	𓁯	;	squatting god
U+13070	;	𓁰	;	mummy-shaped god
U+13071	;	𓁱	;	mummy-shaped god in shrine
U+13072	;	𓁲	;	Bes
